bank	batch	path	count	first	last
nouns	1	C:/Users/tamas/src/german/audit/batches/nouns_001.tsv	700	Jahr	Aufwand
nouns	2	C:/Users/tamas/src/german/audit/batches/nouns_002.tsv	700	Kommentar	Nachfolger
nouns	3	C:/Users/tamas/src/german/audit/batches/nouns_003.tsv	700	Sieger	Schreibtisch
nouns	4	C:/Users/tamas/src/german/audit/batches/nouns_004.tsv	700	Unabhängigkeit	Spanisch
nouns	5	C:/Users/tamas/src/german/audit/batches/nouns_005.tsv	700	Universum	Kandidatin
nouns	6	C:/Users/tamas/src/german/audit/batches/nouns_006.tsv	700	Kinderzimmer	Tutor
nouns	7	C:/Users/tamas/src/german/audit/batches/nouns_007.tsv	700	Universitätsbibliothek	Freilichtmuseum
nouns	8	C:/Users/tamas/src/german/audit/batches/nouns_008.tsv	700	Frische	Laute
nouns	9	C:/Users/tamas/src/german/audit/batches/nouns_009.tsv	700	Lebensabschnitt	Sondervermögen
nouns	10	C:/Users/tamas/src/german/audit/batches/nouns_010.tsv	700	Staatsbürger	Koffein
nouns	11	C:/Users/tamas/src/german/audit/batches/nouns_011.tsv	700	Kölner	Nachahmung
nouns	12	C:/Users/tamas/src/german/audit/batches/nouns_012.tsv	700	Naturkosmetik	Pastorin
nouns	13	C:/Users/tamas/src/german/audit/batches/nouns_013.tsv	700	Pflichtaufgabe	Kralle
nouns	14	C:/Users/tamas/src/german/audit/batches/nouns_014.tsv	700	Krisensituation	Reichstagsgebäude
nouns	15	C:/Users/tamas/src/german/audit/batches/nouns_015.tsv	700	Rentier	Motorsäge
nouns	16	C:/Users/tamas/src/german/audit/batches/nouns_016.tsv	700	Musikszene	Gier
nouns	17	C:/Users/tamas/src/german/audit/batches/nouns_017.tsv	700	Gießerei	Umkleidekabine
nouns	18	C:/Users/tamas/src/german/audit/batches/nouns_018.tsv	700	Umsatzplus	Fensterrahmen
nouns	19	C:/Users/tamas/src/german/audit/batches/nouns_019.tsv	700	Fernbus	Heizanlage
nouns	20	C:/Users/tamas/src/german/audit/batches/nouns_020.tsv	700	Helium	Grünflächenamt
nouns	21	C:/Users/tamas/src/german/audit/batches/nouns_021.tsv	700	Gulasch	Festspielhaus
nouns	22	C:/Users/tamas/src/german/audit/batches/nouns_022.tsv	700	Feststellungsklage	Arbeitspensum
nouns	23	C:/Users/tamas/src/german/audit/batches/nouns_023.tsv	700	Arbeitstempo	Sprachstörung
nouns	24	C:/Users/tamas/src/german/audit/batches/nouns_024.tsv	700	Spross	Kulturminister
nouns	25	C:/Users/tamas/src/german/audit/batches/nouns_025.tsv	700	Kümmerer	Betrunkene
nouns	26	C:/Users/tamas/src/german/audit/batches/nouns_026.tsv	700	Beutegreifer	Ostertag
nouns	27	C:/Users/tamas/src/german/audit/batches/nouns_027.tsv	700	Outing	Bohrhammer
nouns	28	C:/Users/tamas/src/german/audit/batches/nouns_028.tsv	700	Boje	Motette
nouns	29	C:/Users/tamas/src/german/audit/batches/nouns_029.tsv	700	Motorschaden	Aber
nouns	30	C:/Users/tamas/src/german/audit/batches/nouns_030.tsv	700	Abfalltonne	Hühnerstall
nouns	31	C:/Users/tamas/src/german/audit/batches/nouns_031.tsv	700	Hundertstel	Schwebebahn
nouns	32	C:/Users/tamas/src/german/audit/batches/nouns_032.tsv	700	Schweinebraten	Berechenbarkeit
nouns	33	C:/Users/tamas/src/german/audit/batches/nouns_033.tsv	700	Bergamt	Hörbücherei
nouns	34	C:/Users/tamas/src/german/audit/batches/nouns_034.tsv	700	Hormonbehandlung	Quotierung
nouns	35	C:/Users/tamas/src/german/audit/batches/nouns_035.tsv	700	Radiator	Start-up
nouns	36	C:/Users/tamas/src/german/audit/batches/nouns_036.tsv	700	Geschäftsidee	Vereinsgeist
nouns	37	C:/Users/tamas/src/german/audit/batches/nouns_037.tsv	700	Vereinsmeierei	Taucherbrille
nouns	38	C:/Users/tamas/src/german/audit/batches/nouns_038.tsv	86	Fanartikel	Kaufmannsfamilie
verbs	1	C:/Users/tamas/src/german/audit/batches/verbs_001.tsv	700	sein	unterschreiben
verbs	2	C:/Users/tamas/src/german/audit/batches/verbs_002.tsv	700	anziehen	einblenden
verbs	3	C:/Users/tamas/src/german/audit/batches/verbs_003.tsv	700	herkommen	pachten
verbs	4	C:/Users/tamas/src/german/audit/batches/verbs_004.tsv	700	pfeifen	kitzeln
verbs	5	C:/Users/tamas/src/german/audit/batches/verbs_005.tsv	700	kodieren	pflügen
verbs	6	C:/Users/tamas/src/german/audit/batches/verbs_006.tsv	700	picken	umtopfen
verbs	7	C:/Users/tamas/src/german/audit/batches/verbs_007.tsv	700	uniformieren	kahlschlagen
verbs	8	C:/Users/tamas/src/german/audit/batches/verbs_008.tsv	683	kapitalisieren	zurückfinden
adjectives	1	C:/Users/tamas/src/german/audit/batches/adjectives_001.tsv	700	neu	arm
adjectives	2	C:/Users/tamas/src/german/audit/batches/adjectives_002.tsv	700	tierisch	formell
adjectives	3	C:/Users/tamas/src/german/audit/batches/adjectives_003.tsv	700	fortschrittlich	thüringisch
adjectives	4	C:/Users/tamas/src/german/audit/batches/adjectives_004.tsv	700	überproportional	riesengroß
adjectives	5	C:/Users/tamas/src/german/audit/batches/adjectives_005.tsv	700	schöpferisch	reformatorisch
adjectives	6	C:/Users/tamas/src/german/audit/batches/adjectives_006.tsv	700	reichweitenstark	nasskalt
adjectives	7	C:/Users/tamas/src/german/audit/batches/adjectives_007.tsv	700	nebenamtlich	aerob
adjectives	8	C:/Users/tamas/src/german/audit/batches/adjectives_008.tsv	700	affin	stromlinienförmig
adjectives	9	C:/Users/tamas/src/german/audit/batches/adjectives_009.tsv	700	stufig	unterbesetzt
adjectives	10	C:/Users/tamas/src/german/audit/batches/adjectives_010.tsv	700	unterentwickelt	puritanisch
adjectives	11	C:/Users/tamas/src/german/audit/batches/adjectives_011.tsv	700	purpurfarben	erdbebengefährdet
adjectives	12	C:/Users/tamas/src/german/audit/batches/adjectives_012.tsv	700	ereignisarm	propädeutisch
adjectives	13	C:/Users/tamas/src/german/audit/batches/adjectives_013.tsv	700	proppevoll	zutiefst
adjectives	14	C:/Users/tamas/src/german/audit/batches/adjectives_014.tsv	659	kennzeichnend	zuzüglich
