rank	word	english	cefr	flags
7701	ereignisarm	uneventful	-	-
7702	erfolgswirksam	income-relevant	-	-
7703	ergänzungsbedürftig	in need of supplementation	-	-
7704	erholungsbedürftig	in need of recovery	-	-
7705	erlebnishungrig	hungry for experiences	-	-
7706	erpressbar	subject to blackmail	-	-
7707	erpresserisch	extortionate	-	-
7708	erratisch	erratic	-	-
7709	erregbar	excitable	-	-
7710	erschließbar	deducible/inferable	-	-
7711	erschütterungsfrei	free of vibration	-	-
7712	ertrunken	drowned	-	-
7713	erwählt	choosed/choosen/elected	-	-
7714	erwerbbar	acquirable	-	-
7715	erwerbsmäßig	for a living/professionally	-	-
7716	erzhaltig	ore-bearing	-	-
7717	erzkatholisch	ultra-Catholic	-	-
7718	etatmäßig	budgetary	-	-
7719	etruskisch	Etruscan	-	-
7720	eugenisch	eugenic	-	-
7721	evaluativ	evaluative	-	-
7722	evangelikal	evangelic/evangelical	-	-
7723	evident	clear/evident/obvious	-	-
7724	ewiggestrig	stuck in the past	-	-
7725	existentialistisch	existentialist	-	-
7726	exotherm	exothermic	-	-
7727	expert	expert	-	-
7728	explosibel	explosible/impulsive	-	-
7729	exspiratorisch	expiratory	-	-
7730	extrinsisch	extrinsic	-	-
7731	fächerartig	fan-like/fan-shaped/flabellate	-	-
7732	fadenförmig	filamentous/filiform/threadlike	-	-
7733	fahnenflüchtig	deserting (military)	-	-
7734	fahrbereit	ready to drive	-	-
7735	fahrtauglich	fit to drive	-	-
7736	faltenreich	wrinkled	-	-
7737	fantasielos	without/free of fantasy	-	-
7738	farbenblind	colourblind	-	-
7739	farnartig	fern-like	-	-
7740	fasslich	comprehensible	-	-
7741	febril	febrile	-	-
7742	federleicht	as light as a feather/feathery	-	-
7743	feinherb	off-dry/medium-dry	-	-
7744	feinporig	fine-pored	-	-
7745	feinwürzig	delicately seasoned	-	-
7746	feldgrau	field-grey	-	-
7747	fettleibig	obese	-	-
7748	feuerspeiend	fire-spitting	-	-
7749	feuilletonistisch	feuilletonistic	-	-
7750	filmgeschichtlich	film-historical	-	-
7751	filmhistorisch	film-historical	-	-
7752	filterlos	without/free of filter	-	-
7753	finanzkräftig	financially strong	-	-
7754	fingerlang	finger-length	-	-
7755	finnländisch	Finnish	-	-
7756	fischähnlich	fishy	-	-
7757	fischig	fishy	-	-
7758	flächengleich	of equal area	-	-
7759	flachsblond	flaxen-blond	-	-
7760	flamboyant	flamboyant	-	-
7761	flau	weak/dull/queasy	-	-
7762	flehentlich	imploring/pleading	-	-
7763	fleischgeworden	incarnate	-	-
7764	florid	florid	-	-
7765	flüchtlingspolitisch	refugee-policy-related	-	-
7766	flügge	full-fledged/independent	-	-
7767	flugunfähig	flightless/incapable of flying/not airworthy	-	-
7768	föderalistisch	federalist	-	-
7769	föhren	of pine wood	-	-
7770	formidabel	formidable	-	-
7771	fortifikatorisch	fortifications-related	-	-
7772	fotogen	photogenic	-	-
7773	frank	frank	-	-
7774	frankophil	francophile	-	-
7775	freidenkerisch	freethinking	-	-
7776	freigeistig	free-thinking	-	-
7777	frevelhaft	reprehensible	-	-
7778	friderizianisch	Frederician	-	-
7779	frigide	frigid	-	-
7780	friktionsfrei	frictionless	-	-
7781	frisiert	styled (hair)/souped-up	-	-
7782	frühblühend	early-flowering	-	-
7783	frühherbstlich	early-autumn	-	-
7784	fugenlos	jointless/seamless	-	-
7785	fügsam	docile/obedient/submissive	-	-
7786	fuldisch	of Fulda	-	-
7787	fünfeckig	pentagonal	-	-
7788	fünfjährlich	every five years	-	-
7789	fünflappig	five-lobed	-	-
7790	fünfprozentig	five per cent	-	-
7791	fünfstöckig	five-storey	-	-
7792	fünftklassig	fifth-class/fifth-rate	-	-
7793	fünfundzwanzig	twenty-five	-	notDeclinable
7794	fünfzackig	five-pointed	-	-
7795	fünfzehnminütig	fifteen-minute	-	-
7796	fünfzigprozentig	fifty per cent	-	-
7797	fünfzigst	fiftieth	-	notDeclinable
7798	fungibel	fungible	-	-
7799	funzelig	dim (lighting)	-	-
7800	fußballverrückt	football-crazy	-	-
7801	galizisch	Galician	-	-
7802	gambisch	Gambian	-	-
7803	garstig	bad/beastly/bloody	-	-
7804	gasdicht	gastight	-	-
7805	gastrisch	gastric	-	-
7806	geädert	veined/grained	-	-
7807	gebefreudig	generous	-	-
7808	gebenedeit	blessed	-	-
7809	gebieterisch	imperious/peremptory	-	-
7810	gechillt	chilled/relaxed	-	-
7811	gedankenversunken	lost in thought	C1	-
7812	geduscht	showered	-	-
7813	gefahrenträchtig	fraught with danger	-	-
7814	gefahrvoll	dangerous	-	-
7815	gefriergetrocknet	freeze-dried/lyophilised	-	-
7816	gefühlsarm	emotionally cold	-	-
7817	gegenreformatorisch	Counter-Reformation	-	-
7818	gegenrevolutionär	counter-revolutionary	-	-
7819	gegensinnig	in opposite directions	-	-
7820	gegoren	fermented	-	-
7821	gehässig	malicious/spiteful	-	-
7822	geheiligt	hallowed/sanctified	-	-
7823	geheimnisumwittert	shrouded in mystery	-	-
7824	geheimnisumwoben	shrouded in mystery	-	-
7825	gehörnt	cuckolded/horned	-	-
7826	geierähnlich	vulture-like	-	-
7827	geistesabwesend	absent-minded	C1	-
7828	geistlos	dull/inane/stupid	-	-
7829	geldgeil	money-mad	-	-
7830	geleckt	licked/slick/spruced up	-	-
7831	gelehrig	teachable/quick to learn	-	-
7832	geltungssüchtig	attention-seeking	-	-
7833	gemischtsprachig	mixed-language	-	-
7834	genialisch	ingenious	-	-
7835	genießerisch	enjoying/connoisseurly	-	-
7836	gentherapeutisch	gene-therapy-related	-	-
7837	genverändert	genetically modified	-	-
7838	geostationär	geostationary	-	-
7839	geozentrisch	geocentric	-	-
7840	gepökelt	brined/cured	-	-
7841	geringqualifiziert	low-skilled	-	-
7842	geringschätzig	disdainful	-	-
