rank	article	word	plural	english	cefr	flags
19082	der	Motorschaden	Motorschäden	engine damage/engine failure/engine trouble	-	-
19083	der	Muffin	Muffins	muffin	-	-
19084	die	Mülldeponie	Mülldeponien	dump/garbage dump/landfill	-	-
19085	die	Müllvermeidung	Müllvermeidungen	waste reduction/waste avoidance	-	-
19086	die	Mündigkeit	—	maturity/adulthood	-	-
19087	der	Mundwinkel	Mundwinkel	corner of one's mouth	-	-
19088	die	Musikanlage	Musikanlagen	sound system/stereo system	-	-
19089	der	Musikgeschmack	Musikgeschmäcker	musical taste/taste in music	-	-
19090	die	Muslima	Muslimas	Muslim woman	-	-
19091	der	Mustang	Mustangs	mustang	-	-
19092	der	Musterbrief	Musterbriefe	sample letter	-	-
19093	das	Mutterhaus	Mutterhäuser	mother house	-	-
19094	der	Nachhall	Nachhalle	reverberation	-	-
19095	das	Nachkriegsdeutschland	—	postwar Germany	-	-
19096	die	Nachkriegsgeschichte	Nachkriegsgeschichten	post-war history	-	-
19097	das	Nachkriegsjahr	Nachkriegsjahre	postwar year	-	-
19098	der	Nachmittagsunterricht	Nachmittagsunterrichte	afternoon lessons	-	-
19099	das	Nahrungsspektrum	Nahrungsspektren	food spectrum/dietary range	-	-
4231	der	Nährwert	Nährwerte	nutritional value	B2	-
19101	der	Nasenbär	Nasenbären	coati	-	weak
19102	die	Nasenschleimhaut	Nasenschleimhäute	nasal mucosa	-	-
19103	die	Nassrasur	Nassrasuren	wet shaving	-	-
19104	die	Nasszelle	Nasszellen	wet room	-	-
19105	der	Naturfotograf	Naturfotografen	nature photographer	-	weak
19106	die	Naturgefahr	Naturgefahren	natural hazard	-	-
19107	das	Naturschutzgesetz	Naturschutzgesetze	nature conservation act	-	-
19108	der	Naturstoff	Naturstoffe	natural product	-	-
19109	der	Navigator	Navigatoren	navigator	-	-
19110	die	Nebenbeschäftigung	Nebenbeschäftigungen	secondary employment/side job	-	-
19111	der	Neger	Neger	Negro (offensive racial slur)	-	-
19112	die	Neubearbeitung	Neubearbeitungen	new edition/reworking	-	-
19113	die	Neuberechnung	Neuberechnungen	recalculation	-	-
19114	der	Neutronenstern	Neutronensterne	neutron star	-	-
19115	der	Newtonmeter	Newtonmeter	newton metre	-	-
19116	die	Nichtbeachtung	—	inobservance/nonobservance	-	-
19117	die	Nichterfüllung	Nichterfüllungen	default/failure of performance/failure to perform	-	-
7700	der	Nichtschwimmer	Nichtschwimmer	nonswimmer	B2	-
8871	das	Nichtstun	—	idleness/doing nothing	C1	-
19120	das	Niemandsland	Niemandsländer	no-man's-land	-	-
19121	die	Nilgans	Nilgänse	Egyptian goose	-	-
19122	die	Nitratbelastung	Nitratbelastungen	nitrate pollution/contamination	-	-
19123	der	Nitratgehalt	Nitratgehalte	nitrate content	-	-
19124	der	Nominalwert	Nominalwerte	nominal value/face value	-	-
19125	der	Nordstrand	Nordstrände	north beach	-	-
19126	der	Normalbetrieb	Normalbetriebe	normal operation	-	-
19127	das	Notariat	Notariate	notary's office/notaryship	-	-
19128	die	Notbremse	Notbremsen	emergency brake	-	-
19129	der	Novize	Novizen	novice	-	weak
19130	das	Nudelgericht	Nudelgerichte	pasta dish	-	-
19131	die	Nützlichkeit	—	usefulness	-	-
19132	der	Nutzwert	Nutzwerte	utility value	-	-
19133	die	Nymphe	Nymphen	nymph	-	-
19134	das	Obergeschoß	Obergeschoße	upper floor	-	-
19135	der	Oberlauf	Oberläufe	headwater/upper reaches	-	-
19136	die	Oberleitung	Oberleitungen	catenary/overhead line/overhead wire	-	-
19137	der	Oberschenkelknochen	Oberschenkelknochen	femur	-	-
19138	der	Oberschüler	Oberschüler	upper school student/high school student	-	-
19139	der	Oberton	Obertöne	overtone	-	-
19140	die	Oberweite	Oberweiten	bust size	-	-
19141	die	Obstart	Obstarten	fruit type	-	-
19142	der	Obstgarten	Obstgärten	orchard	-	-
19143	das	Ödland	—	wasteland	-	-
19144	die	Ohrfeige	Ohrfeigen	slap	-	-
19145	das	Ohrläppchen	Ohrläppchen	ear lobe/ear-lap/ear-lobe	-	-
19146	der	Olivenhain	Olivenhaine	olive grove	-	-
19147	der	Onlineauftritt	Onlineauftritte	online presence	-	-
19148	das	Onlinemagazin	Onlinemagazine	online magazine/web magazine	-	-
19149	die	Onlineumfrage	Onlineumfragen	online survey	-	-
19150	die	Onlinewelt	Onlinewelten	online world/virtual world	-	-
19151	die	Opferrolle	Opferrollen	victim role	-	-
19152	der	Originalzustand	Originalzustände	original condition	-	-
19153	der	Ork	Orks	Ork/orc	-	-
19154	die	Ortskenntnis	Ortskenntnisse	local knowledge	-	-
19155	der	Ostersamstag	Ostersamstage	Easter Saturday	-	-
19156	das	Osterwochenende	Osterwochenenden	Easter weekend	-	-
19157	das	Ostgebiet	Ostgebiete	eastern region/area	-	-
19158	der	Ostteil	Ostteile	eastern part	-	-
19159	die	Ouvertüre	Ouvertüren	overture	-	-
19160	das	Ozonloch	Ozonlöcher	hole in the ozone layer/ozone hole	-	-
19161	die	Paillette	Pailletten	paillette/sequin/spangle	-	-
19162	der	Paketbote	Paketboten	package deliverer	-	weak
19163	der	Paketshop	Paketshops	parcel shop	-	-
19164	die	Panikmache	—	alarmism	-	-
19165	das	Panoramafenster	Panoramafenster	picture-window	-	-
19166	die	Papierfabrik	Papierfabriken	paper mill	-	-
19167	die	Papiermühle	Papiermühlen	paper mill	-	-
19168	der	Papiermüll	—	waste-paper	-	-
19169	der	Papierstreifen	Papierstreifen	paper strip	-	-
19170	der	Pappkarton	Pappkartons	cardboard/cardboard box	-	-
19171	die	Paranoia	—	paranoia	-	-
19172	die	Parklücke	Parklücken	parking space	-	-
19173	die	Parkscheibe	Parkscheiben	parking disc	-	-
19174	das	Parteiensystem	Parteiensysteme	party structure	-	-
19175	der	Partikelfilter	Partikelfilter	particle filter	-	-
1788	das	Partizip	Partizipien	participle	A1	-
19177	der	Partygast	Partygäste	party guest	-	-
19178	der	Pasch	Pasche	doublet (dice)	-	-
19179	die	Passantin	Passantinnen	passer-by (female)	-	-
19180	die	Passung	Passungen	fit/engineering fit	-	-
19181	das	Pausenbrot	Pausenbrote	packed lunch/school snack	-	-
19182	die	Pediküre	Pediküren	pedicure	-	-
19183	die	Pellkartoffel	Pellkartoffeln	potato boiled in its skin	-	-
19184	der	Penetrationstest	Penetrationstests	penetration test	-	-
19185	das	Penthouse	Penthouses	penthouse	-	-
19186	das	Perl	—	Perl	-	-
19187	die	Persiflage	Persiflagen	mocking/parody/pastiche	-	-
19188	der	Personalabbau	—	staff reduction/downsizing	-	-
19189	das	Personenstandsregister	Personenstandsregister	civil-status register	-	-
19190	der	Pfälzer	Pfälzer	person from the Palatinate	-	-
19191	das	Pfefferkorn	Pfefferkörner	peppercorn	-	-
19192	die	Pflichtlektüre	Pflichtlektüren	required reading	-	-
19193	der	Pier	Piers	jetty	-	-
19194	die	Pilotanlage	Pilotanlagen	pilot plant	-	-
19195	der	Pilzbefall	Pilzbefälle	fungal infestation	-	-
19196	das	Plankton	—	plankton	-	-
19197	der	Planwagen	Planwagen	covered wagon	-	-
19198	die	Planwirtschaft	Planwirtschaften	planned economy	-	-
19199	das	Platt	—	dialect	-	-
19200	der	Pluralismus	—	pluralism	-	-
19201	der	Pneu	Pneus	tyre	-	-
19202	der	Polarfuchs	Polarfüchse	arctic fox/polar fox/snow fox	-	-
19203	das	Polizeiauto	Polizeiautos	police car	-	-
19204	der	Polizeichef	Polizeichefs	chief of police	-	-
19205	die	Polizeigewalt	Polizeigewalten	police brutality/police violence	-	-
19206	die	Polizeikontrolle	Polizeikontrollen	police check	-	-
19207	die	Polizeisprecherin	Polizeisprecherinnen	police spokeswoman	-	-
19208	der	Porridge	Porridges	oatmeal/porridge/supawn	-	-
19209	die	Postfiliale	Postfilialen	postal branch	-	-
19210	die	Postsendung	Postsendungen	mail item/postal item	-	-
19211	das	Potpourri	Potpourris	potpourri	-	-
19212	die	Präambel	Präambeln	preamble	-	-
19213	der	Prachtbau	Prachtbauten	magnificent building	-	-
19214	der	Pranger	Pranger	pillory	-	-
19215	das	Praxiswissen	—	practical knowledge	-	-
19216	das	Preisgericht	Preisgerichte	jury	-	-
19217	der	Preisverfall	Preisverfälle	price collapse	-	-
19218	der	Pressespiegel	Pressespiegel	press review	-	-
19219	das	Privateigentum	—	personal effects/personal property/private property	-	-
4672	die	Privatheit	Privatheiten	privacy	C1	-
