rank	word	type	praeteritum	perfekt	auxiliary	english	cefr
701	anziehen	irregular	zog an	angezogen	haben	attract/dress	A1
702	aufkommen	irregular	kam auf	aufgekommen	sein	arise/come up	B2
703	beheben	irregular	behob	behoben	haben	fix/remedy	C1
704	bevorzugen	regular	-	-	UNSET	prefer	C1
705	sanieren	regular	-	-	UNSET	renovate/redevelop	C1
706	vorschreiben	irregular	schrieb vor	vorgeschrieben	haben	prescribe/require	-
707	zugehen	irregular	ging zu	zugegangen	sein	approach	B1
708	aufteilen	regular	-	-	UNSET	divide/split	B1
709	demonstrieren	regular	-	-	UNSET	demonstrate	B1
710	herausgeben	irregular	gab heraus	herausgegeben	haben	publish/issue	C1
711	berufen	irregular	berief	berufen	haben	appoint/appeal	-
712	schlafen	irregular	schlief	geschlafen	haben	sleep	A1
713	verbergen	irregular	verbarg	verborgen	haben	hide/conceal	B2
714	vertreiben	irregular	vertrieb	vertrieben	haben	drive away/distribute	B2
715	bedenken	irregular	bedachte	bedacht	haben	consider	B2
716	ehren	regular	-	-	UNSET	honour	-
717	vereinfachen	regular	-	-	UNSET	simplify	C1
718	entspannen	regular	-	-	UNSET	relax	A2
719	umwandeln	regular	-	-	UNSET	convert/transform	C1
720	widersprechen	irregular	widersprach	widersprochen	haben	contradict	B1
721	brechen	irregular	brach	gebrochen	haben	break	A2
722	beschädigen	regular	-	-	UNSET	damage	B1
723	sensibilisieren	regular	-	-	UNSET	sensitise	C1
724	befürchten	regular	-	-	UNSET	fear	B2
725	punkten	regular	-	-	UNSET	score points	-
726	aufsuchen	regular	-	-	UNSET	visit/seek out	C1
727	einsteigen	irregular	stieg ein	eingestiegen	sein	get in/board	A1
728	anordnen	regular	-	-	UNSET	order/arrange	C1
729	zurückführen	regular	-	-	UNSET	attribute/trace back	C1
730	erkranken	regular	-	-	sein	fall ill	-
731	absetzen	regular	-	-	UNSET	deduct/remove	C1
732	einlegen	regular	-	-	UNSET	insert	C1
733	unterzeichnen	regular	-	-	UNSET	sign	-
734	widerspiegeln	regular	-	-	UNSET	reflect/mirror	C1
735	bereithalten	irregular	hielt bereit	bereitgehalten	haben	have ready	-
736	beschleunigen	regular	-	-	UNSET	accelerate	C1
737	überleben	regular	-	-	UNSET	survive	B2
738	berühren	regular	-	-	UNSET	touch	B2
739	erfinden	irregular	erfand	erfunden	haben	invent	B1
740	initiieren	regular	-	-	UNSET	initiate	B2
741	töten	regular	-	-	UNSET	kill	-
742	abschneiden	irregular	schnitt ab	abgeschnitten	haben	cut off/perform	C1
743	einstufen	regular	-	-	UNSET	classify/categorise	-
744	rechtfertigen	regular	-	-	UNSET	justify	C1
745	bewähren	regular	-	-	UNSET	prove itself	-
746	aufbewahren	regular	-	-	UNSET	store/keep	C1
747	lachen	regular	-	-	UNSET	laugh	A1
748	auskommen	irregular	kam aus	ausgekommen	sein	get by/manage	B2
749	kooperieren	regular	-	-	UNSET	cooperate	-
750	losgehen	irregular	ging los	losgegangen	sein	start/go off	A1
751	schießen	irregular	schoss	geschossen	haben	shoot	A2
752	servieren	regular	-	-	UNSET	serve	A2
753	bereichern	regular	-	-	UNSET	enrich	C1
754	genehmigen	regular	-	-	UNSET	approve/permit	A2
755	recherchieren	regular	-	-	UNSET	research/investigate	A1
756	tauschen	regular	-	-	UNSET	exchange/swap	A1
757	durchlaufen	irregular	lief durch	durchgelaufen	sein	go through/pass through	C1
758	hinterlegen	regular	-	-	UNSET	deposit	-
759	nachfragen	regular	-	-	UNSET	inquire/follow up	A1
760	tanzen	regular	-	-	UNSET	dance	A1
761	schaden	regular	-	-	UNSET	harm/damage	B1
762	vertrauen	regular	-	-	UNSET	trust	B1
763	anhalten	irregular	hielt an	angehalten	haben	stop/continue	B2
764	zertifizieren	regular	-	-	UNSET	certify	-
765	erleiden	irregular	erlitt	erlitten	haben	suffer/sustain	-
766	erschweren	regular	-	-	UNSET	make more difficult	-
767	bekanntgeben	irregular	gab bekannt	bekanntgegeben	haben	announce	-
768	nachkommen	irregular	kam nach	nachgekommen	sein	comply with/follow	C1
769	umgeben	irregular	umgab	umgeben	haben	surround	-
770	belohnen	regular	-	-	UNSET	reward	C1
771	verurteilen	regular	-	-	UNSET	condemn/sentence	B1
772	aufhören	regular	-	-	UNSET	stop/cease	A1
773	haften	regular	-	-	UNSET	be liable/stick	-
774	heranziehen	irregular	zog heran	herangezogen	haben	consult/use	-
775	lehren	regular	-	-	UNSET	teach	C1
