row	rank	word	english	cefrLevel	source	flags
701	711	empfindlich	sensitive	C1	UNSET	
702	712	ewig	eternal	A2	UNSET	
703	713	therapeutisch	therapeutic/therapeutical	UNSET	UNSET	
704	714	zeitgleich	simultaneous	C1	UNSET	
705	715	empfehlenswert	advisable/recommendable	B2	UNSET	
706	716	erstaunlich	amazing	B2	UNSET	
707	717	gerichtlich	judicial/court	UNSET	UNSET	
708	718	indirekt	indirect	A2	UNSET	
709	719	informativ	informative	B2	UNSET	
710	720	leise	quiet/soft	A1	UNSET	
711	721	funktional	functional	UNSET	UNSET	
712	722	gebraucht	second-hand/secondhand	A2	UNSET	
713	723	vertraulich	confidential	UNSET	UNSET	
714	724	definiert	defined	UNSET	UNSET	
715	725	dezentral	decentralised	UNSET	UNSET	
716	726	sachlich	factual/objective	B2	UNSET	
717	727	tödlich	deadly	B1	UNSET	
718	728	psychologisch	psychologic/psychological	C1	UNSET	
719	729	zugehörig	belonging to/associated	UNSET	UNSET	
720	730	erwachsen	adult/grown-up	UNSET	UNSET	
721	731	gemeinschaftlich	collective/joint	C1	UNSET	
722	732	problematisch	problematic	B2	UNSET	
723	733	geheim	secret	B1	UNSET	
724	734	motiviert	motivated	B2	UNSET	
725	735	still	quiet/silent	B1	UNSET	
726	736	vernünftig	reasonable/sensible	B1	UNSET	
727	737	ausgestattet	equipped	UNSET	UNSET	
728	738	befindlich	located	UNSET	UNSET	
729	739	flüssig	liquid/fluent	A2	UNSET	
730	740	fröhlich	cheerful/happy	A2	UNSET	
731	741	gleichmäßig	even/regular	UNSET	UNSET	
732	742	schrittweise	step-by-step	UNSET	UNSET	
733	743	steil	steep	B1	UNSET	
734	744	verbreitet	widespread / common / prevalent	B2	UNSET	
735	745	bedeutsam	important/significant	B2	UNSET	
736	746	einstimmig	unanimous	UNSET	UNSET	
737	747	überdurchschnittlich	above average/outstanding	C1	UNSET	
738	748	umliegend	surrounding	UNSET	UNSET	
739	749	niederländisch	Dutch	UNSET	UNSET	
740	750	auswärtig	external/foreign	UNSET	UNSET	
741	751	energetisch	energy-related (e.g. energetische Sanierung); (physics) energetic	C1	UNSET	
742	752	mutig	brave/courageous	B1	UNSET	
743	753	unerwünscht	unwanted/undesirable	UNSET	UNSET	
744	754	zwischenzeitlich	in the meantime/in the meanwhile	UNSET	UNSET	
745	755	beispielhaft	exemplary	C1	UNSET	
746	756	bloß	bare/just	B1	UNSET	
747	757	denkbar	conceivable/imaginable	C1	UNSET	
748	758	grafisch	graphic	B2	UNSET	
749	759	islamisch	Islamic	UNSET	UNSET	
750	760	neutral	neuter/neutral	A1	UNSET	
751	761	satt	full/saturated	A1	UNSET	
752	762	ansässig	resident	UNSET	UNSET	
753	763	betriebswirtschaftlich	business management	UNSET	UNSET	
754	764	einseitig	onesided	C1	UNSET	
755	765	nachvollziehbar	comprehensible/traceable	B2	UNSET	
756	766	ökumenisch	ecumenical	UNSET	UNSET	
757	767	schwerwiegend	serious/severe	C1	UNSET	
758	768	anstrengend	exhausting/demanding	A1	UNSET	
759	769	datenschutzrechtlich	data protection (legal)	UNSET	UNSET	
760	770	erstklassig	first-class/first-rate	UNSET	UNSET	
761	771	radikal	radical	B2	UNSET	
762	772	zusammengefasst	summarised / in summary	UNSET	UNSET	
763	773	grenzüberschreitend	transnational	UNSET	UNSET	
764	774	prinzipiell	in principle / fundamental(ly)	B2	UNSET	
765	775	unverändert	unchanged	B2	UNSET	
766	776	bar	cash/bare	A1	UNSET	
767	777	farbig	coloured	B1	UNSET	
768	778	hübsch	nice/pretty	A2	UNSET	
769	779	sonnig	sunny	A1	UNSET	
770	780	blind	blind	B1	UNSET	
771	781	böse	angry/evil	A1	UNSET	
772	782	kassenärztlich	statutory health insurance	UNSET	UNSET	
773	783	unangenehm	unpleasant / uncomfortable / awkward	B1	UNSET	
774	784	vegan	vegan	B1	UNSET	
775	785	gewaltig	enormous/immense	UNSET	UNSET	
776	786	naturnah	near/close to nature	UNSET	UNSET	
777	787	traurig	sad	A2	UNSET	
778	788	preiswert	inexpensive	A2	UNSET	
779	789	bürgerlich	civic/civil/bourgeois	B2	UNSET	
780	790	fortgeschritten	advanced	UNSET	UNSET	
781	791	seelisch	emotional/psychological	UNSET	UNSET	
782	792	souverän	assured / masterful / commanding; (politics) sovereign	C1	UNSET	
783	793	traumhaft	fantastic/dreamlike	UNSET	UNSET	
784	794	ausgiebig	extensive/thorough	UNSET	UNSET	
785	795	gepflegt	well-maintained/neat	B2	UNSET	
786	796	legendär	legendary	C1	UNSET	
787	797	literarisch	literary	C1	UNSET	
788	798	durchgängig	consistent/continuous	UNSET	UNSET	
789	799	pur	absolute/pure	C1	UNSET	
790	800	urban	urban	UNSET	UNSET	
791	801	fleißig	diligent/hardworking	A1	UNSET	
792	802	ganzjährig	perennial/year-round	UNSET	UNSET	
793	803	intuitiv	intuitive	C1	UNSET	
794	804	schädlich	damaging/harmful	A2	UNSET	
795	805	besetzt	occupied/busy	A1	UNSET	
796	806	indisch	Indian	UNSET	UNSET	
797	807	tschechisch	Czech	A2	UNSET	
798	808	fantastisch	fantastic	A2	UNSET	
799	809	konservativ	conservative/tory	B1	UNSET	
800	810	sofortig	immediate/instant	UNSET	UNSET	
801	811	wert	valued/worth	B1	UNSET	
802	812	eingehend	detailed/thorough	UNSET	UNSET	
803	813	fehlerhaft	faulty/flawed	UNSET	UNSET	
804	814	prominent	famous / well-known (celebrity)	B2	UNSET	
805	815	redaktionell	editing/editorial	UNSET	UNSET	
806	816	bemerkenswert	remarkable/noteworthy	B2	UNSET	
807	817	erfreulich	pleasant/pleasing	UNSET	UNSET	
808	818	magisch	magic/magical	B2	UNSET	
809	819	unzureichend	insufficient	UNSET	UNSET	
810	820	reichhaltig	abundant/rich	UNSET	UNSET	
811	821	froh	glad/happy	A1	UNSET	
812	822	jugendlich	youthful/young	UNSET	UNSET	
813	823	schick	elegant	UNSET	UNSET	
814	824	zukunftsfähig	future-proof	UNSET	UNSET	
815	825	hautnah	up close / at close quarters / first-hand	C1	UNSET	
816	826	schwanger	pregnant	A2	UNSET	
817	827	alljährlich	annual/every year	UNSET	UNSET	
818	828	schwedisch	Swedish	UNSET	UNSET	
819	829	umstritten	controversial/disputed	B2	UNSET	
820	831	drastisch	drastic	UNSET	UNSET	
821	832	gravierend	grave/serious	C1	UNSET	
822	833	lebenslang	lifelong	A2	UNSET	
823	834	angepasst	adapted/adjusted	UNSET	UNSET	
824	835	identisch	identic/identical	C1	UNSET	
825	836	pflanzlich	vegetable	C1	UNSET	
826	837	geringfügig	minor/slight	UNSET	UNSET	
827	838	treu	loyal	A2	UNSET	
828	839	zielgerichtet	targeted/purposeful	C1	UNSET	
829	840	aussagekräftig	expressive/meaningful	B2	UNSET	
830	841	dreijährig	three-year	UNSET	UNSET	
831	842	fern	far	B1	UNSET	
832	843	asiatisch	Asian	A1	UNSET	
833	844	charakteristisch	characteristic	B2	UNSET	
834	845	großflächig	large-scale/extensive	UNSET	UNSET	
835	846	befristet	limited in time/temporary	A2	UNSET	
836	847	experimentell	experimental	UNSET	UNSET	
837	848	humanitär	humanitarian	UNSET	UNSET	
838	849	materiell	material	C1	UNSET	
839	850	selbstbestimmt	autonomous/self-determined	UNSET	UNSET	
840	851	einheimisch	local/native	UNSET	UNSET	
841	852	imposant	impressive	B2	UNSET	
842	853	quantitativ	quantitative	UNSET	UNSET	
843	854	sehenswert	worth seeing	UNSET	UNSET	
844	855	langweilig	boring/dull	A1	UNSET	
845	856	niedergelassen	established/settled (medical practice)	UNSET	UNSET	
846	857	standardisiert	standardised	UNSET	UNSET	
847	858	unerwartet	unexpected	B2	UNSET	
848	859	begehrt	sought-after/popular	B2	UNSET	
849	860	gleichwertig	equal/of the same value	UNSET	UNSET	
850	861	hauseigen	in-house/own	UNSET	UNSET	
851	862	hinreichend	sufficient/adequate	UNSET	UNSET	
852	863	logisch	logical	A2	UNSET	
853	864	medial	media-related / in the media	C1	UNSET	
854	865	zweijährig	two-year/biennial	UNSET	UNSET	
855	866	gemacht	made/done	B1	UNSET	
856	867	objektiv	objective	UNSET	UNSET	
857	868	vorbildlich	exemplary	B2	UNSET	
858	869	exotisch	exotic	C1	UNSET	
859	871	geehrt	honoured/dear	A1	UNSET	
860	872	hiesig	from hereabout/local	UNSET	UNSET	
861	873	passiv	passive	B1	UNSET	
862	874	unendlich	infinite	A2	UNSET	
863	875	begründet	well-founded	A2	UNSET	
864	876	geboren	born	A1	UNSET	
865	877	minimal	minimal	B1	UNSET	
866	878	reizvoll	full of appeal	C1	UNSET	
867	879	gesichert	secured	UNSET	UNSET	
868	880	institutionell	institutional	UNSET	UNSET	
869	881	maschinell	automatic/mechanical	UNSET	UNSET	
870	882	gebürtig	native	B2	UNSET	
871	883	schwäbisch	Swabian	UNSET	UNSET	
872	884	städtebaulich	urban planning	UNSET	UNSET	
873	885	erwartet	expected	UNSET	UNSET	
874	886	simpel	simple	B2	UNSET	
875	887	fossil	fossil	UNSET	UNSET	
876	888	gefüllt	filled	UNSET	UNSET	
877	889	klug	clever/smart	A2	UNSET	
