row	rank	word	genders	bothInDrills
1	3	Mensch	"[{""article"":""der"",""english"":""person/human/human being"",""plural"":""Menschen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""wretch (archaic/dialectal, derogatory)"",""plural"":""Menscher"",""singularOnly"":false,""pluralOnly"":false}]"	False
2	6	Tag	"[{""article"":""der"",""english"":""day"",""plural"":""Tage"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""tag (markup)"",""plural"":""Tags"",""singularOnly"":false,""pluralOnly"":false}]"	False
3	26	Teil	"[{""article"":""der"",""english"":""part (abstract: ein Teil des Problems)"",""plural"":""Teile"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""part/piece/part (concrete: ein Ersatzteil)"",""plural"":""Teile"",""singularOnly"":false,""pluralOnly"":false}]"	True
4	28	Kunde	"[{""article"":""die"",""english"":""news/tidings (literary)"",""plural"":""Kunden"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""customer/client"",""plural"":""Kunden"",""singularOnly"":false,""pluralOnly"":false}]"	False
5	36	Ort	"[{""article"":""der"",""english"":""place/location"",""plural"":""Orte"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""pointed tool/awl (archaic)"",""plural"":""Örter"",""singularOnly"":false,""pluralOnly"":false}]"	False
6	40	Fall	"[{""article"":""der"",""english"":""case/fall"",""plural"":""Fälle"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""halyard (nautical)"",""plural"":""Fallen"",""singularOnly"":false,""pluralOnly"":false}]"	False
7	201	Alter	"[{""article"":""der"",""english"":""old man (colloquial)"",""plural"":""Alten"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""age"",""plural"":""Alter"",""singularOnly"":false,""pluralOnly"":false}]"	False
8	232	Service	"[{""article"":""der"",""english"":""service"",""plural"":""Services"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""tea/dinner set"",""plural"":""Service"",""singularOnly"":false,""pluralOnly"":false}]"	False
9	311	Bund	"[{""article"":""der"",""english"":""federation/federal government/alliance"",""plural"":""Bünde"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""bunch/bundle"",""plural"":""Bunde"",""singularOnly"":false,""pluralOnly"":false}]"	True
10	375	Band	"[{""article"":""die"",""english"":""band (music group)"",""plural"":""Bands"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""volume (book)"",""plural"":""Bände"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""ribbon/tape/band"",""plural"":""Bänder"",""singularOnly"":false,""pluralOnly"":false}]"	True
