row	rank	article	word	plural	english	cefrLevel	flags
14701	14207	das	Forschungsschiff	Forschungsschiffe	research ship/research vessel	UNSET	
14702	14208	der	Forschungszweck	Forschungszwecke	research purposes	UNSET	
14703	14209	die	Fragmentierung	Fragmentierungen	fragmentation	UNSET	
14704	14210	die	Frauenbeauftragte	Frauenbeauftragte	women's representative	UNSET	
14705	14211	der	Frauenberuf	Frauenberufe	women's profession/female-dominated occupation	UNSET	
14706	14212	das	Freibier	Freibiere	free beer	UNSET	
14707	14213	der	Freiburger	Freiburger	person from Freiburg	UNSET	
14708	14214	der	Freihandel	—	free trade	UNSET	
14709	14215	der	Freiheitsgrad	Freiheitsgrade	degree of freedom	UNSET	
14710	14216	die	Freikirche	Freikirchen	free church	UNSET	
14711	14217	der	Freitagmittag	Freitagmittage	Friday lunchtime	UNSET	
14712	14218	die	Freitreppe	Freitreppen	open staircase/outdoor steps	UNSET	
14713	14219	die	Frischhaltefolie	Frischhaltefolien	cling film/plastic wrap	UNSET	
14714	14220	der	Frischling	Frischlinge	young wild boar / (figuratively) newcomer	UNSET	
14715	14221	die	Frischluft	—	fresh air	UNSET	
14716	14222	der	Frühstücksraum	Frühstücksräume	breakfast room	UNSET	
14717	14223	der	Fünfjährige	Fünfjährigen	five-year-old	UNSET	adjectivalNoun
14718	14224	der	Funkamateur	Funkamateure	radio amateur/ham radio operator	UNSET	
14719	14225	das	Für	—	the pros (in 'das Für und Wider')	UNSET	
14720	14226	die	Fürbitte	Fürbitten	intercession	UNSET	
14721	14227	der	Fußgängerüberweg	Fußgängerüberwege	pedestrian crossing / zebra crossing	UNSET	
14722	8791	die	Fußsohle	Fußsohlen	sole of the foot	C1	
14723	14229	der	Gag	Gags	gag	UNSET	
14724	14230	der	Gartenbesitzer	Gartenbesitzer	garden owner	UNSET	
14725	14231	das	Gasnetz	Gasnetze	gas network	UNSET	
14726	14232	der	Gasometer	Gasometer	gasholder/gasometer	UNSET	
14727	14233	der	Gastwirt	Gastwirte	publican	UNSET	
14728	14234	der	Gauleiter	Gauleiter	Gauleiter (Nazi Party regional leader)	UNSET	
14729	14235	das	Gebein	Gebeine	bones/remains	UNSET	
14730	14236	das	Gebläse	Gebläse	blower	UNSET	
14731	3218	die	Gebrauchsanweisung	Gebrauchsanweisungen	instruction manual/instructions for use	B1	
14732	14238	die	Geburtenzahl	Geburtenzahlen	number of births/birth rate	UNSET	
14733	14239	die	Gedankenwelt	Gedankenwelten	world of thought	UNSET	
14734	14240	die	Gehbehinderung	Gehbehinderungen	walking disability	UNSET	
14735	14241	der	Gehversuch	Gehversuche	first steps / tentative first attempt	UNSET	
14736	14242	der	Geiger	Geiger	violinist / fiddler	UNSET	
14737	14243	die	Geigerin	Geigerinnen	violinist (female)	UNSET	
14738	8792	der	Geldschein	Geldscheine	banknote/bill/note	C1	
14739	14245	die	Gemüsebrühe	Gemüsebrühen	vegetable broth	UNSET	
14740	14246	die	Generalsekretärin	Generalsekretärinnen	general secretary	UNSET	
14741	14247	der	Generalverdacht	—	general suspicion	UNSET	
14742	14248	die	Geodäsie	—	geodesy/geodetics/surveying	UNSET	
14743	14249	die	Geräuschkulisse	Geräuschkulissen	ambient noise/background noise	UNSET	
14744	14250	die	Gerichtskosten	Gerichtskosten	court costs	UNSET	
14745	14251	der	Gerichtssaal	Gerichtssäle	courtroom	UNSET	
14746	14252	der	Germane	Germanen	Germanic person/Teuton	UNSET	
14747	14253	die	Gerüchteküche	Gerüchteküchen	grapevine/rumour mill	UNSET	
14748	14254	der	Gesamtschaden	Gesamtschäden	total damage	UNSET	
14749	14255	das	Geschenkpapier	Geschenkpapiere	wrapping paper / gift wrap	UNSET	
14750	14256	der	Geschichtslehrer	Geschichtslehrer	history teacher	UNSET	
14751	14257	das	Geschlechtsorgan	Geschlechtsorgane	genitalia/sex organ/sexual organ	UNSET	
14752	14258	die	Geschwindigkeitsüberschreitung	Geschwindigkeitsüberschreitungen	speeding	UNSET	
14753	14259	der	Gesichtszug	Gesichtszüge	facial feature/feature/lineament	UNSET	
14754	14260	der	Gesundheitsexperte	Gesundheitsexperten	health expert	UNSET	
14755	14261	der	Gesundheitstourismus	—	health tourism	UNSET	
14756	14262	der	Getränkemarkt	Getränkemärkte	drinks shop / beverage store (a retail outlet)	UNSET	
14757	14263	die	Getreideart	Getreidearten	cereal type/grain type	UNSET	
14758	14264	die	Gewöhnung	Gewöhnungen	habituation/getting used to	UNSET	
