row	rank	verb	preposition	case	english	example
1	1	abhängen	von	Dat	depend on	Das hängt von dir ab.
2	2	achten	auf	Akk	pay attention to	Achte auf den Verkehr.
3	3	anfangen	mit	Dat	begin with	Fang mit der Arbeit an.
4	4	sich ängstigen	vor	Dat	be afraid of	Sie ängstigt sich vor Spinnen.
5	5	ankommen	auf	Akk	depend on / matter	Es kommt auf die Qualität an.
6	6	anpassen	an	Akk	adapt to	Er passt sich an die Umgebung an.
7	7	antworten	auf	Akk	answer / reply to	Sie antwortet auf meine Frage.
8	8	arbeiten	an	Dat	work on	Wir arbeiten an einem Projekt.
9	9	sich ärgern	über	Akk	be annoyed about	Ich ärgere mich über den Lärm.
10	10	auffordern	zu	Dat	call upon / urge to	Er fordert sie zum Tanz auf.
11	11	aufhören	mit	Dat	stop (doing)	Hör mit dem Unsinn auf.
12	12	aufpassen	auf	Akk	look after / watch out for	Pass auf die Kinder auf.
13	13	sich aufregen	über	Akk	get upset about	Reg dich nicht über Kleinigkeiten auf.
14	14	ausgeben	für	Akk	spend (money) on	Sie gibt viel Geld für Kleidung aus.
15	15	ausgehen	von	Dat	assume / proceed from	Ich gehe von einem Fehler aus.
16	16	sich auskennen	mit	Dat	be knowledgeable about	Er kennt sich mit Computern aus.
17	17	sich bedanken	bei	Dat	thank (someone)	Ich bedanke mich bei Ihnen.
18	18	sich bedanken	für	Akk	thank for (something)	Ich bedanke mich für die Hilfe.
19	19	sich befassen	mit	Dat	deal with / occupy oneself with	Der Ausschuss befasst sich mit dem Thema.
20	20	befreien	von	Dat	free / liberate from	Sie befreiten ihn von seinen Fesseln.
21	21	sich begeistern	für	Akk	be enthusiastic about	Er begeistert sich für Musik.
22	22	beginnen	mit	Dat	begin with	Beginnen wir mit dem ersten Punkt.
23	23	beitragen	zu	Dat	contribute to	Das trägt zum Erfolg bei.
24	24	sich beklagen	über	Akk	complain about	Er beklagt sich über das Essen.
25	25	sich bemühen	um	Akk	strive for / try hard for	Sie bemüht sich um eine Stelle.
26	26	berichten	über	Akk	report on / cover a topic	Die Zeitung berichtet über den Unfall.
27	27	berichten	von	Dat	tell of / recount an experience	Er berichtet von seiner Reise.
28	28	beruhen	auf	Dat	be based on / rest on	Das beruht auf einem Missverständnis.
