row	rank	word	irregular	prateritum	perfekt	withSein	english	cefrLevel	source
701	701	anziehen	True	zog an	angezogen	False	put on (clothes), get dressed / attract	A1	UNSET
702	702	aufkommen	True	kam auf	aufgekommen	True	arise/come up	B2	UNSET
703	703	beheben	True	behob	behoben	False	fix/remedy	C1	UNSET
704	704	bevorzugen	False	UNSET	UNSET	UNSET	prefer	C1	UNSET
705	705	sanieren	False	UNSET	UNSET	UNSET	renovate/redevelop	C1	UNSET
706	706	vorschreiben	True	schrieb vor	vorgeschrieben	False	prescribe/require	UNSET	UNSET
707	707	zugehen	True	ging zu	zugegangen	True	approach	B1	UNSET
708	708	aufteilen	False	UNSET	UNSET	UNSET	divide/split	B1	UNSET
709	709	demonstrieren	False	UNSET	UNSET	UNSET	demonstrate	B1	UNSET
710	710	herausgeben	True	gab heraus	herausgegeben	False	publish/issue	C1	UNSET
711	711	berufen	True	berief	berufen	False	appoint/appeal	UNSET	UNSET
712	712	schlafen	True	schlief	geschlafen	False	sleep	A1	UNSET
713	713	verbergen	True	verbarg	verborgen	False	hide/conceal	B2	UNSET
714	714	vertreiben	True	vertrieb	vertrieben	False	drive away/distribute	B2	UNSET
715	715	bedenken	True	bedachte	bedacht	False	consider	B2	UNSET
716	716	ehren	False	UNSET	UNSET	UNSET	honour	UNSET	UNSET
717	717	vereinfachen	False	UNSET	UNSET	UNSET	simplify	C1	UNSET
718	718	entspannen	False	UNSET	UNSET	UNSET	relax	A2	UNSET
719	719	umwandeln	False	UNSET	UNSET	UNSET	convert/transform	C1	UNSET
720	720	widersprechen	True	widersprach	widersprochen	False	contradict	B1	UNSET
721	721	brechen	True	brach	gebrochen	False	break	A2	UNSET
722	722	beschädigen	False	UNSET	UNSET	UNSET	damage	B1	UNSET
723	723	sensibilisieren	False	UNSET	UNSET	UNSET	sensitise	C1	UNSET
724	724	befürchten	False	UNSET	UNSET	UNSET	fear	B2	UNSET
725	725	punkten	False	UNSET	UNSET	UNSET	score points	UNSET	UNSET
726	726	aufsuchen	False	UNSET	UNSET	UNSET	visit/seek out	C1	UNSET
727	727	einsteigen	True	stieg ein	eingestiegen	True	get in/board	A1	UNSET
728	728	anordnen	False	UNSET	UNSET	UNSET	order/arrange	C1	UNSET
729	729	zurückführen	False	UNSET	UNSET	UNSET	attribute/trace back	C1	UNSET
730	730	erkranken	False	UNSET	UNSET	True	fall ill	UNSET	UNSET
731	731	absetzen	False	UNSET	UNSET	UNSET	deduct/remove	C1	UNSET
732	732	einlegen	False	UNSET	UNSET	UNSET	insert	C1	UNSET
733	733	unterzeichnen	False	UNSET	UNSET	UNSET	sign	UNSET	UNSET
734	734	widerspiegeln	False	UNSET	UNSET	UNSET	reflect/mirror	C1	UNSET
735	735	bereithalten	True	hielt bereit	bereitgehalten	False	have ready	UNSET	UNSET
736	736	beschleunigen	False	UNSET	UNSET	UNSET	accelerate	C1	UNSET
737	737	überleben	False	UNSET	UNSET	UNSET	survive	B2	UNSET
738	738	berühren	False	UNSET	UNSET	UNSET	touch	B2	UNSET
739	739	erfinden	True	erfand	erfunden	False	invent	B1	UNSET
740	740	initiieren	False	UNSET	UNSET	UNSET	initiate	B2	UNSET
741	741	töten	False	UNSET	UNSET	UNSET	kill	UNSET	UNSET
742	742	abschneiden	True	schnitt ab	abgeschnitten	False	cut off/perform	C1	UNSET
743	743	einstufen	False	UNSET	UNSET	UNSET	classify/categorise	UNSET	UNSET
744	744	rechtfertigen	False	UNSET	UNSET	UNSET	justify	C1	UNSET
745	745	bewähren	False	UNSET	UNSET	UNSET	prove itself	UNSET	UNSET
746	746	aufbewahren	False	UNSET	UNSET	UNSET	store/keep	C1	UNSET
747	747	lachen	False	UNSET	UNSET	UNSET	laugh	A1	UNSET
748	748	auskommen	True	kam aus	ausgekommen	True	get by/manage	B2	UNSET
749	749	kooperieren	False	UNSET	UNSET	UNSET	cooperate	UNSET	UNSET
750	750	losgehen	True	ging los	losgegangen	True	start/go off	A1	UNSET
751	751	schießen	True	schoss	geschossen	False	shoot	A2	UNSET
752	752	servieren	False	UNSET	UNSET	UNSET	serve	A2	UNSET
753	753	bereichern	False	UNSET	UNSET	UNSET	enrich	C1	UNSET
754	754	genehmigen	False	UNSET	UNSET	UNSET	approve/permit	A2	UNSET
755	755	recherchieren	False	UNSET	UNSET	UNSET	research/investigate	A1	UNSET
756	756	tauschen	False	UNSET	UNSET	UNSET	exchange/swap	A1	UNSET
757	757	durchlaufen	True	lief durch	durchgelaufen	True	go through/pass through	C1	UNSET
758	758	hinterlegen	False	UNSET	UNSET	UNSET	deposit	UNSET	UNSET
759	759	nachfragen	False	UNSET	UNSET	UNSET	enquire/ask (again)	A1	UNSET
760	760	tanzen	False	UNSET	UNSET	UNSET	dance	A1	UNSET
761	761	schaden	False	UNSET	UNSET	UNSET	harm/damage	B1	UNSET
762	762	vertrauen	False	UNSET	UNSET	UNSET	trust	B1	UNSET
763	763	anhalten	True	hielt an	angehalten	False	stop/continue	B2	UNSET
764	764	zertifizieren	False	UNSET	UNSET	UNSET	certify	UNSET	UNSET
765	765	erleiden	True	erlitt	erlitten	False	suffer/sustain	UNSET	UNSET
766	766	erschweren	False	UNSET	UNSET	UNSET	make more difficult	UNSET	UNSET
767	767	bekanntgeben	True	gab bekannt	bekanntgegeben	False	announce	UNSET	UNSET
768	768	nachkommen	True	kam nach	nachgekommen	True	comply with/follow	C1	UNSET
769	769	umgeben	True	umgab	umgeben	False	surround	UNSET	UNSET
770	770	belohnen	False	UNSET	UNSET	UNSET	reward	C1	UNSET
771	771	verurteilen	False	UNSET	UNSET	UNSET	condemn/sentence	B1	UNSET
772	772	aufhören	False	UNSET	UNSET	UNSET	stop/cease	A1	UNSET
773	773	haften	False	UNSET	UNSET	UNSET	be liable/stick	UNSET	UNSET
774	774	heranziehen	True	zog heran	herangezogen	False	consult/use	UNSET	UNSET
775	775	lehren	False	UNSET	UNSET	UNSET	teach	C1	UNSET
776	776	waschen	True	wusch	gewaschen	False	wash	A1	UNSET
777	777	zustehen	True	stand zu	zugestanden	False	be entitled to	C1	UNSET
778	778	brennen	True	brannte	gebrannt	False	burn	B1	UNSET
779	779	freigeben	True	gab frei	freigegeben	False	release/approve	UNSET	UNSET
780	780	bekämpfen	False	UNSET	UNSET	UNSET	fight/combat	UNSET	UNSET
781	781	betreten	True	betrat	betreten	False	enter	B2	UNSET
782	782	packen	False	UNSET	UNSET	UNSET	pack/grab	A1	UNSET
783	783	schulen	False	UNSET	UNSET	UNSET	train	UNSET	UNSET
784	784	verteidigen	False	UNSET	UNSET	UNSET	defend	B1	UNSET
785	785	ausweiten	False	UNSET	UNSET	UNSET	expand/extend	UNSET	UNSET
786	786	schildern	False	UNSET	UNSET	UNSET	describe	B2	UNSET
787	787	basteln	False	UNSET	UNSET	UNSET	do crafts/tinker	A2	UNSET
788	788	nachvollziehen	True	vollzog nach	nachvollzogen	False	understand/comprehend	C1	UNSET
789	789	umstellen	False	UNSET	UNSET	UNSET	switch/rearrange	B2	UNSET
790	790	veranlassen	False	UNSET	UNSET	UNSET	cause/arrange	UNSET	UNSET
791	791	zulegen	False	UNSET	UNSET	UNSET	gain/acquire	C1	UNSET
792	792	lagern	False	UNSET	UNSET	UNSET	store/camp	B2	UNSET
793	793	verantworten	False	UNSET	UNSET	UNSET	take responsibility for	B2	UNSET
794	794	zusammenfassen	False	UNSET	UNSET	UNSET	summarise	B1	UNSET
795	795	ablösen	False	UNSET	UNSET	UNSET	replace/relieve	UNSET	UNSET
796	796	drucken	False	UNSET	UNSET	UNSET	print	A1	UNSET
797	797	entsorgen	False	UNSET	UNSET	UNSET	dispose of	B1	UNSET
798	798	stürzen	False	UNSET	UNSET	True	fall/overthrow	B1	UNSET
799	799	überarbeiten	False	UNSET	UNSET	UNSET	revise/rework	UNSET	UNSET
800	800	vermissen	False	UNSET	UNSET	UNSET	miss	A1	UNSET
801	801	einhergehen	True	ging einher	einhergegangen	True	go hand in hand with	C1	UNSET
802	802	vergehen	True	verging	vergangen	True	pass/elapse	A2	UNSET
803	803	wohlfühlen	False	UNSET	UNSET	UNSET	feel comfortable	B1	UNSET
804	804	zurückgeben	True	gab zurück	zurückgegeben	False	return/give back	B1	UNSET
805	805	angreifen	True	griff an	angegriffen	False	attack	C1	UNSET
806	806	einschalten	False	UNSET	UNSET	UNSET	turn on/intervene	B1	UNSET
807	807	malen	False	UNSET	UNSET	UNSET	paint/draw	A1	UNSET
808	808	einplanen	False	UNSET	UNSET	UNSET	plan/schedule	A2	UNSET
809	809	ausnehmen	True	nahm aus	ausgenommen	False	exclude/gut	C1	UNSET
810	810	fungieren	False	UNSET	UNSET	UNSET	act as/function as	UNSET	UNSET
811	811	begreifen	True	begriff	begriffen	False	understand/comprehend	B2	UNSET
812	812	anfertigen	False	UNSET	UNSET	UNSET	produce/make	C1	UNSET
813	813	schieben	True	schob	geschoben	False	push/shove	B1	UNSET
814	814	wiederfinden	True	fand wieder	wiedergefunden	False	find again	C1	UNSET
815	815	gönnen	False	UNSET	UNSET	UNSET	not begrudge/treat oneself to	B2	UNSET
