batch	bank	source_rows	word	field	severity	category	current	correct	why
nouns_001	nouns	26	Teil	article, gloss	medium	gloss	"`das Teil` / ""part/piece/part (concrete: ein Ersatzteil)"""	"make high-frequency `der Teil` ""part/section/portion"" the primary entry; keep `das Teil` separately as ""piece/component (concrete object)"""	the rank and generic lead gloss strongly suggest the common masculine sense, while the neuter is restricted to a concrete piece or component; the parenthetical does not prevent learners generalising the wrong article.
nouns_001	nouns	38	Verfügung	english	medium	gloss	"""disposal/decree"""	"""availability/disposal (especially in fixed phrases); official order/ruling"""	"the core learner uses are *zur Verfügung stehen/stellen*; bare ""disposal"" is opaque and ""decree"" overstates a narrower administrative/legal sense."
nouns_001	nouns	108	Nutzer	cefrLevel	low	cefr	C1	B1 (approximately)	"""user"" is routine modern vocabulary and C1 is a gross overestimate."
nouns_001	nouns	134	Landkreis	english	medium	gloss	"""county"""	"""administrative district/county-level district"""	a German *Landkreis* is not simply equivalent to a British county.
nouns_001	nouns	154	Sicherheit	plural	high	plural	"`Sicherheiten` with ""safety/security"""	"use `—` for ""safety/security""; add ""collateral/guarantees"" if `Sicherheiten` is retained"	the everyday safety, certainty and security senses have no plural; *Sicherheiten* belongs to the financial collateral/guarantee sense.
nouns_001	nouns	165	Weise	article, flags	high	article	"`der Weise` / `Weisen` / ""way/manner"" / `adjectivalNoun`"	"`die Weise` / `Weisen` / ""way/manner"" and remove the adjectival-noun flag"	"""way/manner"" is the feminine ordinary noun *die Weise*; *der Weise* is an adjectival noun meaning ""wise man/sage""."
nouns_001	nouns	221	Spaß	plural, english	high	plural	"`Späße` / ""fun"""	"use `—` for ""fun"", or add the separate count sense ""joke/prank"" for plural `Späße`"	*Spaß* meaning fun is normally uncountable; *Späße* denotes jokes or pranks.
nouns_001	nouns	229	Alltag	plural, english	high	plural	"`Alltage` / ""everyday life"""	"use `—` for ""everyday life""; `Alltage` is only the rare plural of the separate sense ""weekday/working day"""	the stored plural does not belong to the glossed everyday-life sense.
nouns_001	nouns	245	Fallen	whole row	medium	junk	"`das Fallen` / `—` / ""falling"""	remove from the lexical noun bank	this is a freely formed nominalised infinitive rather than a useful lexicalised learner headword; its anomalous insertion reinforces the corpus-artifact diagnosis.
nouns_001	nouns	372	Version	cefrLevel	low	cefr	C1	approximately B1	this internationally transparent, common noun is graded far too high.
nouns_001	nouns	401	Produktion	cefrLevel	low	cefr	A1	approximately B1	this abstract economic/cultural noun is not plausible first-stage A1 vocabulary.
nouns_001	nouns	402	Seminar	cefrLevel	low	cefr	A1	approximately A2–B1	the university/course sense is materially above a basic A1 inventory.
nouns_001	nouns	446	Verbraucher	cefrLevel	low	cefr	C1	approximately B1–B2	"""consumer"" is ordinary public and shopping vocabulary, not a C1-only item."
nouns_001	nouns	474	Rat	plural, english	medium	plural	"`Räte` / ""advice/council"""	"mark ""advice"" as having no plural and associate `Räte` only with ""council/council member"""	"the lead everyday sense *Rat* ""advice"" is uncountable; the stored plural belongs to the later institutional/person senses."
nouns_001	nouns	340,488	Junge	cefrLevel	low	cefr	"A1 for `das Junge` ""young animal/cub"""	approximately A2–B1	the animal-young sense is implausibly graded A1.
nouns_001	nouns	491	Element	cefrLevel	low	cefr	C1	approximately B1	this common and internationally transparent noun is grossly overgraded.
nouns_001	nouns	514	Institution	cefrLevel	low	cefr	C1	approximately B2	C1 is too high for this common transparent public-life noun.
