bank	batch	word	field	severity	category	current	correct	why
adjectives	adjectives_001	letzt / besonder / nächst / mittel	word	high	junk	ranks 15, 24, 29, 238 listed as uninflected lemmas ("last", "special/particular", "next", "medium/middle")	cite as `letzte`, `besondere`, `nächste`, `mittlere` (or drop)	these stems never occur uninflected; the deck will teach "das letzt Jahr".
adjectives	adjectives_001	erst / zweit / dritt / viert	word	high	junk	ranks 22, 133, 286, 626 = "first", "second", "third", "fourth"	`erste / zweite / dritte / vierte`, and ideally in a numerals deck, not adjectives	bare ordinal stems, unusable as given; `erst` uninflected is in fact the adverb "only/not until".
adjectives	adjectives_001	link	english	high	gloss	link = "left"	the left-hand adjective is `linke`/`links`; uninflected `link` = "dodgy, shady, underhand"	teaches a form that never means "left" and hides the one meaning it does have.
adjectives	adjectives_001	einschlägig	english	high	gloss	"respective"	"relevant, pertinent, applicable" (einschlägige Erfahrung/Vorschriften)	outright wrong; "respective" is `jeweilig`, which is already rank 55.
adjectives	adjectives_001	familiär	english	high	gloss	"familiar/family"	"family, family-related; informal/intimate" — not "familiar"	false friend put first; English "familiar" is `vertraut` (rank 478).
adjectives	adjectives_001	weiter / besser / später	word	medium	junk	ranks 4, 21, 49 listed as lemmas alongside `weit` (67), `gut` (2), `spät` (375)	keep only the base forms; if the comparative is wanted, mark it as such	comparatives as headwords duplicate the base entry and hide the comparative relationship.
adjectives	adjectives_001	benötigt / verwendet / angegeben / beschrieben / stattfindend / liegend	word	medium	junk	ranks 406, 416, 450, 629, 679, 446 as adjective entries ("needed", "used", "specified", "described", "taking place", "lying")	remove — these are plain verb participles, not lexicalised adjectives	corpus artefacts; a learner gets no adjective, only an inflected verb form.
adjectives	adjectives_001	erhalten	word	medium	junk	erhalten = "preserved"	only adjectival in the fixed frame "gut erhalten"; the lemma `erhalten` is the very common verb "receive/maintain"	homograph collision teaches the wrong headword sense.
adjectives	adjectives_001	eventuell	english	medium	gloss	"possibly/perhaps"	"possible (attributive), any; possibly — NOT 'eventually'"	classic false friend with no warning, and the adjectival sense ("eventuelle Änderungen") is missing.
adjectives	adjectives_001	stationär	english	medium	gloss	"stationary/inpatient"	"inpatient, in-hospital" first; "stationary" only in technical physics collocations	the everyday German sense is medical; "stationary" first reads as a false friend.
adjectives	adjectives_001	maßgeblich	english	medium	gloss	"authoritative"	"decisive, significant, key" (maßgeblich beteiligt); "authoritative" is secondary	the commonest sense is missing entirely.
adjectives	adjectives_001	bestmöglich	english	medium	gloss	"as best as possible"	"best possible"	gloss is ungrammatical English and not an adjective.
adjectives	adjectives_001	liebevoll	english	medium	gloss	"full of love"	"loving, affectionate; lovingly"	paraphrase instead of the ordinary English adjective.
adjectives	adjectives_001	behindert	english	medium	gloss	"handicapped"	"disabled"	"handicapped" is dated and offensive in British usage.
adjectives	adjectives_001	konstruktiv	english	medium	gloss	"constructive/design"	"constructive" (engineering sense: "structural/design-related")	bare "design" is wrong — it comes from *Konstruktion*, not *konstruktiv*.
adjectives	adjectives_001	physikalisch	english	medium	gloss	"physical"	"physics-related, physical (of physics)"	undifferentiated from `physisch` (696) and `körperlich` (239); learner will use it for the body.
adjectives	adjectives_001	spürbar	english	medium	gloss	"noticeable/sensible"	"noticeable, palpable, perceptible"	"sensible" in modern English means "reasonable" — wrong translation.
adjectives	adjectives_001	süß	english	medium	gloss	"cute/sweet"	"sweet/cute"	the taste sense is the core learner sense and should come first.
adjectives	adjectives_001	überregional	english	medium	gloss	"national/supraregional"	"supraregional, more than local, nationwide in scope"	"national" first conflates it with `national` (130) and `bundesweit` (141).
adjectives	adjectives_001	recht	english	medium	gloss	"right"	"quite, fairly (adv.); all right, agreeable (es ist mir recht)" — right-hand is `rechte/rechts`	bare "right" is ambiguous and points at a sense the uninflected form does not carry.
adjectives	adjectives_001	mathematisch / ethisch	english	medium	gloss	"mathematic/mathematical", "ethic/ethical"	"mathematical", "ethical"	"mathematic" and "ethic" are not usable English adjectives; one form only.
adjectives	adjectives_001	bayerisch / sächsisch / hessisch / niedersächsisch	word	low	junk	ranks 103, 174, 288, 411 in a general adjective deck	drop, or move to a place-names list	German-state adjectives are regional-newspaper corpus artefacts with little learner value.
adjectives	adjectives_001	festgelegt / zugelassen / geprägt / bevorzugt / vermehrt	word	low	junk	ranks 539, 697, 687, 641, 519	drop or gloss with the governing frame (geprägt *von*, vermehrt = "increasingly", adv.)	marginal participles; usable only inside fixed constructions.
adjectives	adjectives_001	erstmalig / jahrelang / dortig / damalig / inhaltlich / vorrangig / gesundheitlich / studentisch	english	low	gloss	"for the first time", "for years", "local/there", "at that time/former", "in terms of content", "priority", "health", "student (adj.)"	adjective glosses: "first-time/initial", "years-long", "of that place", "then, of that time", "content-related", "primary, top-priority", "health-related", "student, student-run"	adverbial phrases, bare nouns and metalanguage instead of a translation.
adjectives	adjectives_001	aktuell / sensibel / konsequent / evangelisch	english	low	gloss	"current", "sensitive", "consistent", "Protestant" — all correct, all unmarked	add the trap: ≠ "actual", ≠ "sensible", ≠ "consequent", ≠ "evangelical"	high-frequency false friends with no warning.
adjectives	adjectives_001	thematisch / kulturell / gegenseitig / deutschsprachig / individuell / selbstständig / zentral / verfügbar / klassisch / intern	cefr	low	cefr	first seven tagged A1; `verfügbar`, `klassisch`, `intern` tagged C1	roughly B1–B2 for the first group; B1 for the last three	abstract derived adjectives at A1 and everyday B1 words at C1 are both gross mis-levels.
adjectives	adjectives_001	analog	english	low	gloss	"analog/analogous"	"analogue; analogous"	American spelling in a British-English app.
adjectives	adjectives_001	großartig	english	low	gloss	"awesome/brilliant"	"brilliant, splendid, magnificent"	American colloquialism placed before its British equivalent.
adjectives	adjectives_001	touristisch / telefonisch	english	low	gloss	"touristic/tourism-related", "by phone/telephonic"	"tourist, tourism-related"; "by telephone, over the phone"	"touristic" and "telephonic" are not natural British English.
adjectives	adjectives_001	anschließend	english	low	gloss	"following"	"afterwards, subsequently; subsequent"	predominantly adverbial; "following" duplicates `folgend` (87).
