1. das Burgfräulein | castle Miss | WRONG: damsel of the castle - The current gloss is unidiomatic and mistranslates Fraeulein as the title Miss.
2. die Büroklammer | paper clip/paperclip | OK
3. der Bürstenkopf | brush head | OK
4. die Busreise | bus trip | OK
5. das Busticket | bus ticket | OK
6. die Buttermilch | buttermilk | OK
7. die Chefetage | executive floor | OK
8. die Chemieindustrie | chemical industry | OK
9. der Chemiekonzern | chemical corporation | OK
10. der Chiphersteller | chip manufacturer | OK
11. das Chlorophyll | chlorophyll | OK
12. die Choreografin | choreographer (female) | OK
13. der Circus | circus | OK
14. das Cocktailkleid | cocktail dress | OK
15. der Computerbildschirm | computer screen | OK
16. der Concierge | concierge | OK
17. der Conditioner | conditioner | OK
18. der Containerterminal | container terminal | OK
19. der Counter | counter | OK
20. der Cup | cup | OK
21. der Cyberpunk | cyberpunk | OK
22. der Dab | dab | OK
23. der Dachausbau | roof extension | WRONG: loft conversion - Dachausbau means converting or fitting out an attic, not extending a roof.
24. der Dachfonds | fund of funds | OK
25. die Dachgeschosswohnung | penthouse | WRONG: top-floor apartment - Dachgeschosswohnung is an attic/top-floor flat; penthouse wrongly implies luxury.
26. die Dachpappe | roofing felt/tar paper | OK
27. das Dafürhalten | judgement | OK
28. die Damenmannschaft | woman team | WRONG: women's team - The current gloss is ungrammatical for a female sports team.
29. die Darstellungsweise | manner of representation | OK
30. der Deckname | code name/handle | OK
31. die Deformität | deformity | OK
32. der Deichverband | dike association | OK
33. das Dekret | decree/executive order | OK
34. die Demographie | demography | OK
35. die Demoversion | demo version | OK
36. die Denkschrift | memorandum | OK
37. das Denkverbot | prohibition | WRONG: ban on thinking - The compound means a prohibition or taboo on thought, not just any prohibition.
38. der Deserteur | deserter | OK
39. das Desiderat | desideratum | OK
40. der Wirbelsturm | whirlwind | OK
41. das Destillat | distillate | OK
42. die Deutungshoheit | prerogative of interpretation | OK
43. das Dialogfenster | dialogue box | OK
44. der Dickdarmkrebs | colon Cancer | OK
45. der Dickhäuter | pachyderm | OK
46. der Dienstagmittag | Tuesday lunchtime | OK
47. der Dienstagvormittag | Tuesday forenoon | IMPROVE: Tuesday morning - Forenoon is rare; the useful learner gloss is morning.
48. der Dienstantritt | commencement of duty | OK
49. der Dienstausweis | official identity card | OK
50. die Wirkungsweise | mode of action | OK
51. das Dienstvergehen | duty misdemeanour | WRONG: official misconduct - Dienstvergehen is misconduct in office/service, not a generic duty misdemeanour.
52. das Diktum | adage/dictum | OK
53. der Dill | dill | OK
54. der Diplomand | student writing a diploma thesis | OK
55. das Diskussionsthema | discussion subject | OK
56. der Docht | wick | OK
57. das Doktorspiel | play doctor | OK
58. der Dolch | dagger/dirk | OK
59. der Dongle | dongle | OK
60. der Doppeldeckerbus | double-deck bus/double-decker bus | OK
61. der Dornröschenschlaf | deep sleep/Sleeping Beauty sleep | OK
62. der Dremel | Dremel (rotary tool) | OK
63. der Drogentote | drug victim | IMPROVE: drug fatality - Drogentote usually means someone who died from drugs.
64. die Drohgebärde | threatening gesture | OK
65. die Druckfarbe | printing ink/printing color | OK
66. die Druckkosten | printing costs | OK
67. die Druckkunst | pressing art | WRONG: art of printing - Druckkunst refers to printing, not pressing.
68. die Druckplatte | pressing baldhead | WRONG: printing plate - The current gloss is nonsensical; Druckplatte is a plate used for printing/pressure.
69. die Druckversion | print version/printable version | OK
70. das Drumherum | surroundings/context/trimmings | OK
71. das Du | you | OK
72. die Durchführungsbestimmung | implementing regulation | OK
73. die Durchreise | transit | OK
74. die Durchschnittsgeschwindigkeit | average speed | OK
75. die Dysplasie | dysplasia | OK
76. das Edelgas | inert gas/noble gas | OK
77. der Ehrenplatz | place of honour/seat of honour | OK
78. der Haustürschlüssel | front door key/front-door key | OK
79. das Eichenholz | oak wood | OK
80. die Eierspeise | egg dish | OK
81. der Eigenschutz | self-protection | OK
82. das Eigentor | own goal | OK
83. der Einfuhrzoll | import customs | WRONG: import duty - Einfuhrzoll is a customs duty, not customs as an institution.
84. die Einheitlichkeit | uniformity | OK
85. der Hauttyp | skin type | OK
86. der Einlauf | enema | OK
87. die Einlieferung | admission/committal/delivery | OK
88. die Einöde | solitude | WRONG: wasteland - Einoede is a deserted place or wasteland; solitude is the state of being alone.
89. der Einsiedler | hermit | OK
90. die Eintagsfliege | mayfly/nine-day wonder | OK
91. der Einteiler | divisor | WRONG: one-piece garment - Einteiler means a one-piece item of clothing, not a mathematical divisor.
92. die Eisenbahngesellschaft | railroad company/railway company | OK
93. die Eisenzeit | Iron Age | OK
94. die Eissorte | ice cream flavor | OK
95. das Eiszeitalter | Ice Age | OK
96. die Elbbrücke | Elbe bridge | OK
97. das Elendsviertel | slum | OK
98. das Emissionshandelssystem | structure | WRONG: emissions trading system - The current gloss omits the actual compound meaning.
99. das Emoticon | emoticon | OK
100. das Empfehlungsschreiben | recommendation letter | OK
101. das Endstadium | final stage | OK
102. die Energieumwandlung | energy conversion | OK
103. der Enkelsohn | grandson | OK
104. der Enkeltrick | descendant flim-flam | WRONG: grandparent scam - Enkeltrick is the scam involving fake grandchildren, not a descendant flim-flam.
105. die Entbehrung | austerity | WRONG: deprivation - Entbehrung means hardship/deprivation; austerity is too specific and policy-like.
106. das Entkommen | escape | OK
107. die Entwaldung | canard woodland | WRONG: deforestation - The current gloss is nonsensical.
108. der Entwicklungsminister | development minister | OK
109. der Epilierer | epilator | OK
110. das Erbarmen | commiseration/compassion/mercy | OK
111. das Erbbaurecht | surface estate/surface right | WRONG: leasehold/hereditary building right - Erbbaurecht is a specific real-estate right, not a surface estate in learner English.
112. der Erbfolgekrieg | war of succession | OK
113. der Erbschein | certificate of inheritance/probate | OK
114. der Erdball | earth | OK
115. die Erderhitzung | earth heating | WRONG: global warming - Erderhitzung is the climate term for global heating/warming.
116. die Erdgeschosswohnung | first floor accommodation | WRONG: ground-floor apartment - Erdgeschoss is ground floor; first floor is misleading in US English.
117. die Erdnussbutter | peanut butter | OK
118. der Erdteil | continent | OK
119. die Erektion | erection | OK
120. die Erektionsstörung | erection annoyance | WRONG: erectile dysfunction - The current gloss mistranslates Stoerung as annoyance.
