1. die Produktionsgesellschaft | production company | OK
2. der Produktionsleiter | production manager/head of production | OK
3. das Projektil | projectile | OK
4. der Projektunterricht | project lessons/project-based teaching | OK
5. die Proktologie | proctology | OK
6. die Promo | promo | OK
7. das Promotionsrecht | doctorate law | WRONG: right to award doctorates - Promotionsrecht is the legal authority to confer doctorates, not doctorate law
8. die Promotionsurkunde | doctoral certificate | OK
9. der Propeller | propeller | OK
10. die Prophetie | prophecy | OK
11. die Proteinquelle | protein source/source of protein | OK
12. der Protektor | protector | OK
13. die Prozesskostenhilfe | legal aid | OK
14. die Lagerhalle | stockroom/storehouse | IMPROVE: warehouse - Lagerhalle is most naturally a warehouse or storage hall
15. der Puck | puck | OK
16. der Pudel | bobble hat/miller/poodle | WRONG: poodle - Pudel means poodle; the other senses listed are misleading here
17. der Pumps | pump | IMPROVE: pump shoe - Pumps refers to a women's shoe, so bare pump is ambiguous
18. das Pumpwerk | pumping station | OK
19. das Püree | mash/puree/purée | OK
20. der Pürierstab | immersion blender | OK
21. der Purist | purist | OK
22. die Pute | turkey hen | OK
23. die Quadratmeterzahl | square metre count | IMPROVE: number of square metres - This is the idiomatic gloss for Quadratmeterzahl
24. die Qualitätsarbeit | quality business | WRONG: quality work - -arbeit means work here, not business
25. das Quellgebiet | source area/headwaters | OK
26. die Querele | dispute/quarrel | OK
27. der Lagerraum | storage room | OK
28. die Raa | yard (sailing) | OK
29. der Rabenvogel | crow bird | IMPROVE: corvid - Rabenvogel is a corvid, not just a crow bird
30. der Radfernweg | long-distance bike trail/long-distance cycling route | OK
31. der Radiergummi | India rubber/eraser/rubber | OK
32. die Radkappe | hubcap | OK
33. das Radlager | wheel bearing | OK
34. der Radwechsel | wheel change | OK
35. die Rage | rage | OK
36. das Randgebiet | edge area | WRONG: peripheral area - Randgebiet means an outlying or peripheral area
37. die Rassentrennung | apartheid/racial segregation | OK
38. das Ratespiel | quiz | WRONG: guessing game - Ratespiel is a guessing game, not necessarily a quiz
39. die Raubkopie | bootleg/pirate copy | OK
40. der Raubritter | abduction knight | WRONG: robber baron - Raubritter is the historical term robber baron
41. das Räuchern | smoking | OK
42. der Raumfahrer | spaceman | OK
43. die Raumhöhe | room height | OK
44. die Raumnot | region destitution | WRONG: lack of space - Raumnot means shortage of space
45. das Raunen | murmur/whispering | OK
46. das Reagenzglas | test glass/test tube | OK
47. die Reaktorkatastrophe | reactor disaster | OK
48. der Rebstock | vine stock | IMPROVE: vine - Rebstock is normally a grapevine or vine
49. die Recherchearbeit | enquiry business | WRONG: research work - Recherchearbeit means research work
50. die Rechtsakte | law act | WRONG: legal act - Rechtsakte means legal act or instrument
51. der Rechtsbrecher | law crusher | WRONG: lawbreaker - Rechtsbrecher means lawbreaker
52. die Rechtschreibreform | spelling reform | OK
53. der Rechtsexperte | law expert | IMPROVE: legal expert - This is the idiomatic translation
54. der Rechtswissenschaftler | jurist | IMPROVE: legal scholar - Rechtswissenschaftler is specifically a scholar of law
55. der Redaktionsleiter | editor-in-chief/head of editorial department | OK
56. das Rederecht | address law | WRONG: right to speak - Rederecht is the right to speak
57. das Reformvorhaben | reform project | OK
58. die Regenbogenfarbe | colour of the rainbow/rainbow colour | OK
59. die Regierungsbeteiligung | government participation | OK
60. die Landebahn | landing strip/runway | OK
61. der Regierungsvertreter | government agent | WRONG: government representative - Regierungsvertreter means representative, not agent
62. der Regierungswechsel | change of government | OK
63. der Regionalflughafen | regional airport | OK
64. der Regionalligist | regional-league team | OK
65. das Reglement | rules/regulations | OK
66. die Reihung | array | WRONG: sequence/arrangement - Reihung means sequencing or arrangement
67. das Reisebuch | travel book | OK
68. die Reisefreiheit | freedom to travel | OK
69. das Reisfeld | rice field/rice paddy | OK
70. das Reisig | brushwood | OK
71. die Reiterin | equestrian/horserider/horsewoman | OK
72. das Zugeständnis | concession | OK
73. die Religionsgeschichte | history of religion | OK
74. die Remise | remise | OK
75. das Renaissanceschloss | Renaissance bolt | WRONG: Renaissance castle - Schloss means castle or palace here, not bolt
76. die Renaturierungsmaßnahme | ecological restoration action | OK
77. das Rendezvous | date | OK
78. der Rennstall | racing stable/racing team | OK
79. das Rentenpaket | annuity package | WRONG: pension package - Rentenpaket concerns pensions, not annuities
80. das Repositorium | repository | OK
81. die Repräsentativität | representativeness | OK
82. die Reproduzierbarkeit | repeatability/replicability/reproducibility | OK
83. die Resozialisierung | rehabilitation/social reintegration | OK
84. der Restbestand | radical existence | WRONG: remaining stock - Restbestand means remaining stock or remainder
85. der Rettungsschwimmer | life-guard | OK
86. die Reuse | fish trap | OK
87. das Riesenproblem | giant problem | IMPROVE: huge problem - Riesen- means huge in this compound
88. die Ringelnatter | grass snake | OK
89. die Ringstraße | ring road | OK
90. das Rippchen | spareribs | OK
91. die Risikoschwangerschaft | high-risk pregnancy | OK
92. das Roadmovie | road movie | OK
93. der Rohstofflieferant | commodity deliveryman | WRONG: raw material supplier - Rohstofflieferant is a supplier of raw materials
94. der Rollschuh | roll skate/roller skate/roller-skate | OK
95. die Römerstraße | Roman road | OK
96. das Röschen | floret/floweret/little rose | OK
97. der Rosenkohl | Brussels sprout | OK
98. das Roulette | roulette | OK
99. die Rückbildung | back-formation/degeneration/degradation | IMPROVE: regression/recovery - R?ckbildung is usually regression or postnatal recovery
100. die Rückkopplung | feedback | OK
101. der Rückwärtsgang | reverse | OK
102. das Rührei | scrambled eggs | OK
103. das Rumpsteak | rump steak | OK
104. der Rundumschlag | sweeping blow | WRONG: all-out attack - Rundumschlag is a sweeping attack or broadside
105. der Rüssel | proboscis/snout/trunk | OK
106. der Saarländer | Saarlander | OK
107. der Sachaufwandsträger | responsible authority for material costs | OK
108. das Sackhüpfen | sack race | OK
109. der Sägespan | sawdust/wood shaving | OK
110. das Sägewerk | lumbermill/sawmill | OK
111. der Sägezahn | saw cog | WRONG: sawtooth - S?gezahn is sawtooth, not a cog
112. die Saline | saltworks | OK
113. die Salzsäure | hydrochloric acid | OK
114. der Samenspender | sperm donor | OK
115. die Sammelleidenschaft | passion | IMPROVE: passion for collecting - Sammelleidenschaft is specifically a collecting passion
116. die Landsleute | compatriots/countrymen | OK
117. der Sandsack | punching bag/sandbag | OK
118. der Sandsturm | dust storm/sandstorm | OK
119. das Sanierungskonzept | redevelopment concept | OK
120. die Satte | earthenware bowl | OK
121. das Satzglied | major constituent | IMPROVE: sentence element - Satzglied is the grammar term for a sentence element
122. die Sauerkirsche | morello/sour cherry | OK
123. die Sauerstoffsättigung | oxygen satiety | WRONG: oxygen saturation - S?ttigung means saturation here
124. der Schachzug | move | OK
125. die Schadenhöhe | damage altitude | WRONG: amount of damage - Schadenh?he is the amount of damage
126. der Schädlingsbefall | pest infestation | OK
127. das Schäfchen | little sheep/lamb | OK
128. der Schäferhund | German shepherd/sheepdog | OK
129. das Schalenwild | hoofed game | OK
130. der Scharfschütze | marksman/sharpshooter/sniper | OK
131. die Scharia | Shari'a/sharia/shariah | OK
132. die Schatzkarte | treasure map | OK
133. der Schaukelstuhl | rocker/rocking chair | OK
134. der Schaumwein | sparkling wine | OK
135. der Schiedsspruch | ruling | IMPROVE: arbitration award - Schiedsspruch is specifically an arbitral ruling
136. die Schießscharte | arrow slit/balistraria | OK
137. der Schiffer | captain/skipper | OK
138. die Schiffsfahrt | boat trip/voyage | OK
139. der Schiffsmotor | marine engine/ship engine | OK
140. der Schiit | Shia Muslim/Shiite | OK
141. der Schimpf | shame/insult (in 'mit Schimpf und Schande') | OK
142. der Schiri | ref (referee, slang) | IMPROVE: referee - The slang note is useful, but the core gloss is referee
