1. der Milchpreis | price for milk | OK
2. der Militärflugplatz | army airfield | IMPROVE: military airfield - army is too narrow for militaer-
3. das Millisievert | millisievert | OK
4. das Minimalziel | minimum target/minimum goal | OK
5. der Ministerialbeauftragte | commissioner | IMPROVE: ministerial representative/commissioner - commissioner alone omits the ministerial role
6. der Mischling | cross-breed/half-breed | WRONG: mongrel/mixed-race person - half-breed is offensive and misleading for learners
7. die Mitautorin | author | WRONG: co-author (female) - Mit- means co-, not just author
8. der Miterbe | estate | WRONG: co-heir - the word means a fellow heir, not an estate
9. das Schmerzensgeld | solatium | IMPROVE: compensation for pain and suffering - solatium is rare legal English
10. die Mittagsstunde | midday/noon | OK
11. die Mittelmeerküste | mediterranean sea coast | OK
12. der Mittelmotor | mid-engine | OK
13. das Mittelschiff | nave | OK
14. der Mitwisser | accessory/confidant | OK
15. das Schnittmuster | average example | WRONG: pattern/sewing pattern - Schnittmuster is a cutting or sewing pattern
16. das Modegeschäft | fashion business | WRONG: fashion shop - Modegeschaeft is a shop, not the fashion business in general
17. die Molke | milk serum/whey | OK
18. der Monatsbeitrag | monthly fee/monthly contribution | OK
19. das Monatseinkommen | monthly income | OK
20. die Monatshälfte | half-month | OK
21. der Mondkalender | lunar calendar | OK
22. das Mondlicht | moonlight | OK
23. die Montagehalle | assembly shop | OK
24. die Montagsdemo | Monday demo | OK
25. der Moorboden | boggy soil/marshy soil/peaty soil | OK
26. der Mopedfahrer | moped rider | OK
27. die Mopsfledermaus | barbastelle bat | OK
28. die Moralvorstellung | moral concept/moral idea | OK
29. das Moratorium | moratorium | OK
30. der Mordanschlag | assassination attempt | OK
31. die Mordrate | homicide installment | WRONG: murder rate/homicide rate - Rate means rate here, not installment
32. die Morgendämmerung | dawn | OK
33. der Moses | Moses | OK
34. der Motivationsschub | boost of motivation | OK
35. der Motorradreifen | motorcycle tyre | OK
36. die Mottoparty | device do | WRONG: theme party - Motto means theme here
37. das Mousepad | clicker pad | WRONG: mousepad - a Mousepad is the pad for a computer mouse
38. der Mühlbach | mill Bach | WRONG: millstream/mill brook - Bach means brook here, not the name Bach
39. der Mühlenteich | mill pond | OK
40. das Mühlrad | mill bicycle | WRONG: mill wheel - Rad means wheel here, not bicycle
41. der Mull | gauze/leaf mould/mole | WRONG: gauze - mole is not the meaning of der Mull
42. der Müllcontainer | waste container | OK
43. die Müllmenge | garbage abundance | WRONG: amount of waste/garbage volume - Menge means amount, not abundance
44. der Müllwagen | dustbin lorry/dustcart/garbage truck | OK
45. die Mundpropaganda | word of mouth | OK
46. das Murmeln | marbles/murmuring | IMPROVE: murmuring - with das this is the gerund, not plural marbles
47. der Schreibstil | writing style | OK
48. der Musikdirektor | music director | OK
49. die Musiklehrerin | music teacher | OK
50. der Musikpreis | music award | OK
51. der Musikstudent | music student | OK
52. der Muskat | nutmeg | OK
53. die Muskelfaser | muscle fibre | OK
54. der Muskeltonus | muscle tone | OK
55. der Musterprozess | test case/model lawsuit | OK
56. der Myokardinfarkt | heart attack/myocardial infarction | OK
57. der Mystiker | mystic | OK
58. die Nabelschnur | cord/navel string/navel-string | IMPROVE: umbilical cord - this is the normal learner gloss
59. die Nachbardisziplin | neighbouring discipline | OK
60. der Nachfolgestaat | succession States | WRONG: successor state - Nachfolge- means successor here
61. der Nachgeschmack | aftertaste | OK
62. die Nachmittagsstunde | afternoon hour | OK
63. die Nachrede | address | WRONG: slander/defamation - Nachrede in this sense is malicious talk
64. das Sehvermögen | eyesight | OK
65. der Nachrichtenwert | message price | WRONG: news value - Nachrichten means news here, not message
66. das Nachspiel | consequence | OK
67. die Nachzählung | census | WRONG: recount - Nachzaehlung is a recount, not a census
68. das Nacktbild | nude picture | OK
69. der Shuttle | shuttle | OK
70. der Nahkampf | close combat/dogfight/hand-to-hand combat | OK
71. die Nahrungsmittelproduktion | food production | OK
72. der Nahrungsrest | leftover food/food scraps | OK
73. die Nahrungszufuhr | clock | WRONG: food intake - Zufuhr means intake or supply here
74. die Nahtstelle | seam/junction/interface | OK
75. das Narbengewebe | cicatricial tissue/scar tissue | OK
76. die Narrenfreiheit | jester's licence | OK
77. das Nasenbluten | epistaxis/nosebleed | OK
78. die Natronlauge | caustic soda solution/sodium hydroxide solution | OK
79. die Naturbeobachtung | nature observation | OK
80. das Naturell | nature/temperament | OK
81. die Naturverbundenheit | nature affiliation | WRONG: closeness to nature - Verbundenheit means attachment or closeness, not affiliation
82. der Nebenhoden | epididymis | OK
83. die Nebenniere | kidney | WRONG: adrenal gland - Nebenniere is the adrenal gland, not the kidney
84. der Nebenwohnsitz | secondary residence | OK
85. die Negation | negation | OK
86. die Neonatologie | neonatology | OK
87. die Nephrologie | nephrology | OK
88. das Net | net | OK
89. die Netzwerkkarte | network interface card | OK
90. die Neuinfektion | new infection | OK
91. der Neurochirurg | neurosurgeon | OK
92. die Neurose | neurosis/neurotic disorder | OK
93. der Neuschnee | new snow | OK
94. der Neuseeländer | New Zealander | OK
95. der Neuwert | price | WRONG: replacement value/as-new value - Neuwert is value when new, not just price
96. die Newcomerin | newcomer (female) | OK
97. der Nibelung | Nibelung | OK
98. das Nichtschwimmerbecken | non-swimmer's pool | OK
