1. das Gruppenspiel | group match | OK
2. der Gummistiefel | Wellington boot/gumboot/rainboot | OK
3. der Guss | affusion/cast/casting | OK
4. der Haartrockner | hairdrier/hairdryer/hand hairdryer | OK
5. die Haftpflicht | arrest business | WRONG: liability - Haftpflicht means legal liability, not anything related to arrest.
6. die Verkehrswende | transport transition | OK
7. der Hauptbestandteil | main component | OK
8. das Hauptgericht | main course | OK
9. der Header | header | OK
10. der Heimsieg | asylum victory | WRONG: home win - Heimsieg is a sports victory at home, not asylum.
11. die Henne | hen | OK
12. die Herstellungskosten | production costs | OK
13. die Herzkrankheit | heart disease | OK
14. die Hinrichtung | execution | OK
15. das Hinspiel | first leg | OK
16. die Hochschulbildung | higher education | OK
17. das Vertrauensverhältnis | confidence background | WRONG: relationship of trust - Vertrauensverh?ltnis means a trust relationship, not a background.
18. der Höchstwert | maximum value/peak value | OK
19. das Horoskop | horoscope | OK
20. das Hörvermögen | hearing | OK
21. die Verwaltungskosten | administrative costs | OK
22. der Individualverkehr | individual traffic | WRONG: private transport - Individualverkehr refers to private/individual transport, not literal individual traffic.
23. die Inkontinenz | incontinence | OK
24. das Jahreseinkommen | annual income/annual revenue | OK
25. der Jesuit | Jesuit | OK
26. die Justizministerin | judiciary minister | IMPROVE: justice minister - The usual English title is justice minister or minister of justice.
27. die Karies | caries/cavity | OK
28. der Katalane | Catalan | OK
29. die Kaufempfehlung | purchase recommendation | OK
30. das Kernelement | core element | OK
31. der Kies | gravel/dough (slang for money) | OK
32. das Kinderbett | child's bed/cot/crib | OK
33. das Videomaterial | video material | OK
34. der Kinosaal | cinema cavity | WRONG: cinema auditorium - Saal means hall/auditorium here, not cavity.
35. das Klärwerk | sewage treatment plant/sewage work/wastewater treatment plant | OK
36. der Klassenrat | class council | OK
37. die Kleinschreibung | lower case printing/lower case writing | OK
38. das Vierteljahrhundert | quarter-century | OK
39. der Koalitionspartner | coalition partner | OK
40. der Köder | bait | OK
41. die Komfortzone | comfort zone | OK
42. die Kommode | chest of drawers/commode/dresser | OK
43. der Vordermann | person in front/role model | OK
44. die Königsklasse | premier class/top tier | OK
45. der Konservierungsstoff | antidegradant/preservative/preserving agent | OK
46. der Konter | counter-attack | OK
47. die Konvergenz | convergence | OK
48. der Körner | center punch | OK
49. das Kosmetikum | cosmetic product | OK
50. das Krafttraining | strength training/weight training | OK
51. der Krampf | cramp/nonsense/rubbish | OK
52. die Krebstherapie | cancer therapy | OK
53. der Kreditvertrag | credit agreement/loan agreement | OK
54. der Kriegsgefangene | prisoner of war | OK
55. das Küchengerät | kitchen equipment/kitchen utensil/kitchenware | OK
56. der Vorstandschef | chairman/chief executive officer | OK
57. der Kulturraum | cultural area | OK
58. das Wahlpflichtfach | compulsory elective subject | OK
59. die Lagune | lagoon | OK
60. das Lama | llama/llama (animal) | OK
61. der Landesherr | country Lord | WRONG: sovereign - Landesherr means territorial ruler or sovereign, not country lord.
62. die Landschaftsplanung | landscape planning | OK
63. der Laubbaum | broad-leaved/deciduous tree | OK
64. das Lebensende | life end | WRONG: end of life - Lebensende is the idiomatic noun phrase end of life.
65. das Webangebot | W3 offer | WRONG: website/online offering - Webangebot means a web offering or website, not W3 offer.
66. der Liberalismus | liberalism | OK
67. der Wechselkurs | exchange rate | OK
68. der Lippenstift | lipstick | OK
69. die List | cunning/guile/trick | OK
70. der Loop | loop | OK
71. das Lüften | airing/ventilating | OK
72. die Machbarkeit | feasibility | OK
73. das Machtverhältnis | balance of power/power relationship | OK
74. das Magenta | magenta | OK
75. der Marder | Mustelidae/marten | OK
76. die Marienkirche | St Mary's Church | OK
77. die Marktgemeinde | market municipality | IMPROVE: market town - Marktgemeinde is a municipality with market rights, usually market town.
78. die Materialkosten | material costs | OK
79. die Medienlandschaft | landscape | WRONG: media landscape - Medienlandschaft specifically means the media landscape.
80. der Mehrbedarf | plus need | WRONG: additional need - Mehrbedarf means additional need or requirement, not plus need.
81. die Messmethode | measurement method | OK
82. der Mikrocontroller | microcontroller | OK
83. der Milliardär | billionaire/multimillionaire | OK
84. der Mittwochnachmittag | Wednesday afternoon | OK
85. die Mobilisierung | mobilisation | OK
86. die Mundart | dialect | OK
87. die Nachnahme | collect on delivery | OK
88. das Nachsehen | seeing | WRONG: checking/looking up - Nachsehen as a noun is checking or looking up, not simply seeing.
89. das Nahrungsangebot | food supply/food on offer | OK
90. das Negativ | negative | OK
91. die Nostalgie | nostalgia | OK
92. die Nutzpflanze | crop/useful plant | OK
93. die Ohnmacht | faint/impotence/powerlessness | OK
94. das Olympiastadion | stadium | IMPROVE: Olympic Stadium - Olympiastadion is specifically an Olympic stadium, not just any stadium.
95. der Paprika | capsicum/pepper | OK
96. das Paradebeispiel | parade example | WRONG: prime example - Paradebeispiel means a prime or textbook example, not parade example.
97. der Weiler | hamlet | OK
98. die Personalvermittlung | personal procurement | WRONG: recruitment agency/placement service - Personalvermittlung means recruitment or job placement.
99. das Pflänzchen | little plant | OK
100. das Asperger-Syndrom | Asperger syndrome | OK
101. der Pflegefall | care case | IMPROVE: person requiring care - Pflegefall primarily means a person who needs long-term care.
102. die Polarisierung | polarisation | OK
103. die Popkultur | pop culture | OK
104. die Prävalenz | prevalence | OK
105. die Progression | progression | OK
106. das Prüfungsergebnis | audit outcome | WRONG: exam result - Pr?fungsergebnis usually means an exam or test result, not an audit outcome.
107. das Puppentheater | puppet theater | OK
108. der Python | python/python (snake) | OK
109. das Preis-Leistungs-Verhältnis | price-performance ratio | OK
110. das Quantum | quantum | OK
111. der Rabe | crow/raven | OK
112. der Rachen | throat | OK
113. das Pro-Kopf-Einkommen | per-capita income | OK
114. die Work-Life-Balance | work-life balance | OK
115. das Rack | rack | OK
116. der Radikale | radical (person) | OK
117. der Rahmenlehrplan | area course of instruction | WRONG: framework curriculum - Rahmenlehrplan means framework curriculum, not area course of instruction.
118. die Randbedingung | boundary condition/constraint/fringe condition | OK
119. der Ranzen | satchel | OK
