1. die Effektivität | effectiveness | OK
2. das Rohr | duct/gun barrel/pipe | OK
3. die Schädigung | damnification/harm/impairment | OK
4. das Territorium | territory | OK
5. der Tiger | tiger | OK
6. die Trockenheit | drought/dryness | OK
7. die Visualisierung | visualisation | OK
8. die Zuwanderung | immigration | OK
9. die Abschiebung | deportation/normal fault | IMPROVE: deportation — Abschiebung primarily means deportation; normal fault is a specialist geology sense.
10. der Alt | alto | OK
11. die Anfahrt | approach | OK
12. das Aussterben | extinction | OK
13. die Blutspende | blood donation | OK
14. der Freibetrag | allowance/tax exemption | OK
15. das Gestein | rock | OK
16. die Hülle | case/covering/shell | OK
17. die Kilowattstunde | kilowatt hour/kilowatt-hour | OK
18. der Koalitionsvertrag | coalition agreement | OK
19. das Ordnungsamt | code enforcement | IMPROVE: public order office — Ordnungsamt is a municipal public order/regulatory office; code enforcement is only a rough US analogue.
20. die Orgel | organ | OK
21. der Spam | spam | OK
22. die Suite | suite | OK
23. das Upgrade | upgrade | OK
24. das Vorkommen | deposit/occurrence | OK
25. das Wappen | armorial bearings/arms/coat of arms | OK
26. der Aktionär | shareholder/stockholder | OK
27. der Anblick | looking/sight | OK
28. das Blau | blue | OK
29. die Bucht | bay/bight/cove | OK
30. der Demokrat | democrat | OK
31. das Elterngeld | parental allowance | OK
32. die Internationalisierung | internationalisation | OK
33. die Photovoltaik | photovoltaics | OK
34. der Straßenbau | roadmaking/roadworks | OK
35. der Tempel | temple | OK
36. die Verantwortlichkeit | responsibility | OK
37. der Versicherungsnehmer | insurance holder/insurant/insured | OK
38. der Vierbeiner | four-legged animal | OK
39. die Waage | scales/scale/Libra | OK
40. die Benutzeroberfläche | user interface | OK
41. das Equipment | equipment | OK
42. das Boxen | boxing | OK
43. die Chemotherapie | chemotherapy | OK
44. der Dualis | dual | OK
45. die Eigentumswohnung | condominium/freehold flat | OK
46. das Erdbeben | earthquake | OK
47. der Erziehungsberechtigte | custodial parent/guardian | OK
48. das Handicap | handicap | OK
49. der Hype | hype | OK
50. der Jahresabschluss | annual financial statement | OK
51. das Laub | foliage/leaves/spades | OK
52. der Medienbericht | media report | OK
53. der Mineralstoff | dietary mineral/mineral nutrients/mineral salt | OK
54. das Mittelfeld | midfield | OK
55. die Modellierung | modelling | OK
56. die Pauschale | flat rate/lump sum | OK
57. der Fernsehsender | telestation/television transmitter | IMPROVE: TV station/channel — Fernsehsender normally means a television station or channel, not just a transmitter.
58. der Release | release | OK
59. der Religionsunterricht | religious education/religious instruction | OK
60. der Romane | novels | OK
61. die Rückzahlung | repayment | OK
62. der Skandal | scandal | OK
63. die Stromerzeugung | electricity generation/power generation | OK
64. die Autonomie | autonomy | OK
65. der Bagger | digger/excavator/mud dredger | OK
66. die Beschriftung | inscription | OK
67. die Bonität | credit-worthiness/financial standing | OK
68. der Buchhandel | book trade/publishing trade | OK
69. der Datenaustausch | data exchange | OK
70. der Dolmetscher | interpreter | OK
71. die Eingliederung | incorporation/integration | OK
72. die Eule | dagger moth/night owl/owl | IMPROVE: owl — Eule primarily means owl; the extra senses are obscure and distracting for learners.
73. die Europameisterschaft | European Championship | OK
74. die Explosion | explosion/flare-up | OK
75. das Fass | barrel | OK
76. der Immobilienmarkt | property market/real estate market | OK
77. die Intention | intention | OK
78. die Lastschrift | debit entry | OK
79. die Lieferkette | supply chain | OK
80. der Montagabend | Monday evening/Monday night | OK
81. die Police | policy | OK
82. der Rechtsstaat | constitutional state/rule of law | OK
83. der Redner | lecturer/orator/speaker | OK
84. das Ringen | wrestling | OK
85. das Säugetier | mammal | OK
86. der Südosten | south-east/southeast | OK
87. das Verlassen | leaving | OK
88. die Wahlbeteiligung | voter turnout | OK
89. das Weingut | vineyard/wine-growing estate/winery | OK
90. die Wetterprognose | weather forecast | OK
91. die Wirtschaftskrise | depression/economic crisis | OK
92. der Adressat | addressee/receiver/recipient | OK
93. der Award | award | OK
94. die Baumart | tree species | OK
95. das Waldgebiet | woodland | OK
96. die Berufsgenossenschaft | employers' liability insurance association | OK
97. das Berufungsgericht | appeal court | OK
98. der Bevollmächtigte | attorney-in-fact | OK
99. der Darmkrebs | colorectal cancer | OK
100. die Destination | destination | OK
101. das Enzym | enzyme | OK
102. das Fallbeispiel | case study/example case | OK
103. das Gehen | ambulation/race walking/walking | OK
104. das Getriebe | gear/gearbox/transmission | OK
105. der Gürtel | belt | OK
106. das Heizöl | fuel oil/heating oil | OK
107. die Hüfte | hip | OK
108. die Justizvollzugsanstalt | penitentiary | OK
109. der Kreisverkehr | rotary traffic/roundabout/roundabout traffic | OK
110. die Larve | larva/mask | OK
111. das Meisterwerk | masterpiece | OK
112. der Messwert | measured value/measurement/reading | OK
113. die Normalität | normalcy/normality | OK
114. der Paragraph | paragraph | OK
115. der Pavillon | gazebo/pavilion | OK
116. das Pflegepersonal | nursing staff | OK
117. die Pfote | paw | OK
118. das Quadrat | square | OK
119. die Schwellung | swelling | OK
120. das Selfie | selfie | OK
121. der Sparer | depositor/saver | OK
122. der Steg | bridge/clamp/footbridge | IMPROVE: footbridge/jetty — Steg is usually a footbridge, walkway, or jetty; clamp is a specialist sense.
123. der Steinbruch | quarry | OK
124. die Talsperre | barrage/dam | OK
125. der Traktor | tractor | OK
126. das Vereinsmitglied | club member | OK
127. der Verkaufspreis | retail price/sale price/selling price | OK
128. das Wachs | wax | OK
129. der Waldweg | forest path/forest track/wooded trail | OK
130. der Wirkungsgrad | degree of efficiency/efficiency | OK
131. die Airline | air carrier/airline | OK
132. die Ameise | ant/pallet jack/pismire | OK
133. die Anlehnung | adoption/borrowing/dependence | IMPROVE: reference/reliance/borrowing — Anlehnung commonly means reference to, reliance on, or borrowing, not adoption in general.
134. der Asphalt | asphalt/tarmac | OK
135. das Bankkonto | bank account/banking account | OK
136. die Berufsunfähigkeitsversicherung | disability insurance | IMPROVE: occupational disability insurance — The German term specifically means insurance against occupational disability.
137. die Bezugsperson | reference person | WRONG: attachment figure/key person — Bezugsperson is a trusted reference or attachment person, not a reference in the citation sense.
138. der Demonstrant | demonstrator/protestor | OK
139. der Dschungel | jungle | OK
140. die Einfachheit | simplicity | OK
141. die Erkennung | recognition | OK
142. der ETF | ETF | OK
143. das Forstamt | forestry office | OK
144. die Freifläche | open area/open space | OK
145. die Geldbuße | fine | OK
146. das Gewand | garb/garment | OK
147. der Adapter | adapter/adaptor | OK
148. die Gewissheit | certainty | OK
149. der Haupteingang | main entrance | OK
150. der Hausbesuch | home call/home visit | OK
151. der Kinderschutz | child protection | OK
152. das Konsortium | consortium | OK
153. der Rettungswagen | Mobile Intensive Care Unit/ambulance vehicle | IMPROVE: ambulance — Rettungswagen is the ordinary word for an ambulance; Mobile Intensive Care Unit is too specific.
154. der Römer | Roman/Römer/rummer | OK
155. das Saatgut | seed | OK
156. die Schifffahrt | shipping/navigation | OK
157. die Autovermietung | car hire/car hire service | OK
158. die Schlacht | battle/slaughter | OK
159. der Senator | senator | OK
160. der Tweet | tweet | OK
161. der Frauenarzt | gynaecologist/gynecologist | OK
162. der Upload | upload | OK
163. der Vorverkauf | presale | OK
164. der Wasserkocher | electric kettle/electric water jug/teakettle | OK
165. der Wirtschaftsminister | Minister of Economy | OK
166. die Zivilisation | civilisation | OK
167. der Absturz | crash/fall/system crash | OK
168. die Anklage | accusal/accusation | OK
169. das Arrangement | arrangement | OK
170. der Astronaut | astronaut/kosmonaut | OK
171. der Aussichtspunkt | overlook/vantage point | OK
172. das Baumaterial | building material/construction material | OK
173. das Betreten | access/entry | OK
174. die Braut | bird/bride/fiancée | IMPROVE: bride/fiancée — Braut primarily means bride or fiancée; bird is not a useful learner gloss.
175. die Demo | demo | OK
176. der Deutschunterricht | German lessons/German class | OK
177. der Dienstagabend | Tuesday evening | OK
178. die Eiche | oak | OK
179. der Eintrittspreis | admission price | OK
180. der Discounter | cut-price store/discount shop | OK
181. die Formalität | formality | OK
182. der Frosch | frog | OK
183. der Fünfte | fifth | OK
184. die Geschäftsordnung | bylaws/rules of order/rules of procedure | OK
185. die Grube | grave/mine/pit | OK
186. die Hauptversammlung | annual general meeting | OK
187. der Hubschrauber | chopper/helicopter | OK
188. der Insasse | inmate/passenger/patient | OK
189. die Instandsetzung | maintenance/overhaul | OK
190. die Kante | border/butt/coast | WRONG: edge — Kante means edge; border/coast/butt do not give the primary meaning.
191. der Kindergeburtstag | child's birthday | IMPROVE: children's birthday party — Kindergeburtstag usually means the party or celebration, not just the date.
192. die Kreuzfahrt | Crusade/cruise | IMPROVE: cruise — Kreuzfahrt means cruise; Crusade is a different word/sense and would mislead learners.
193. der Kultus | cult | IMPROVE: religious worship/cultural affairs — Kultus is religious worship or official cultural/education affairs; cult alone has the wrong connotation.
194. der Leistungssport | competitive sports/high-performance sport/serious sport | OK
195. die Glasfaser | glass fiber/fiber optic cable | OK
196. das Gründungsmitglied | charter member/founder member/founding member | OK
197. die Immatrikulation | matriculation/registration | OK
198. die Informationsquelle | source of information | OK
199. der Kleinbauer | crofter/peasant/small farmer | OK
200. die Landesgrenze | state boundary | OK
201. der Neonazi | neo-Nazi | OK
202. das Nutzfahrzeug | commercial vehicle/light-duty commercial vehicle | OK
203. die Onkologie | oncology | OK
204. der Prophet | prophet | OK
205. der Rotwein | red wine | OK
206. das Rückgrat | backbone/backbone chain/spine | OK
207. die Schlüsselqualifikation | key qualification | OK
208. die Selbstbeteiligung | deductible | OK
209. die Spaltung | splitting | OK
210. die Spedition | carriage/conveyance/haulage company | OK
211. das Spinnen | spinning | OK
212. die Vergrößerung | magnification | OK
213. die Verschmutzung | pollution | OK
214. der Verteidiger | back/defence | WRONG: defender/defense lawyer — Verteidiger is a person, either a defender or defense counsel, not defense as an abstract noun.
215. das Vielfache | multiple | OK
216. die Wiege | birthplace/cradle/rocker | OK
217. der Wohnwagen | caravan/trailer | OK
218. der Adventskalender | Advent calendar | OK
219. die Anästhesie | anaesthesia | OK
220. das Anmeldeformular | application form | OK
221. die Aue | ewe/floodplain | IMPROVE: floodplain/meadow — Aue means a riverside meadow or floodplain; ewe is unrelated here.
222. die Ausfuhr | export | OK
223. das Bit | bit | OK
224. die Blase | bladder/blister/bubble | OK
225. die Blockade | blockade/eye-catcher | IMPROVE: blockade — Blockade means blockade; eye-catcher is unrelated and misleading.
226. die Datenanalyse | data analysis | OK
