1. abfragen | query | OK
2. anreisen | arrive/travel (to) | OK
3. erwischen | catch | OK
4. gegenüberstehen | face | OK
5. nominieren | designate/nominate | OK
6. notieren | note/write down | OK
7. mitspielen | play along/cooperate | OK
8. verlieben | fall in love | OK
9. entführen | kidnap/abduct | OK
10. hindeuten | indicate/point | OK
11. neigen | tend/incline | OK
12. rauchen | smoke | OK
13. räumen | clear/vacate | OK
14. aufbrechen | break open/set off | OK
15. aufzeichnen | record | OK
16. ausrüsten | equip | OK
17. beschaffen | obtain/procure | OK
18. surfen | surf | OK
19. auflegen | hang up/put on | OK
20. einteilen | divide/classify | OK
21. evaluieren | evaluate | OK
22. offenbaren | reveal | OK
23. vermieten | let/rent out | OK
24. bewilligen | approve/grant | OK
25. fertigstellen | complete/finish | OK
26. mindern | reduce | OK
27. obliegen | be the responsibility of | OK
28. überstehen | survive/get through | OK
29. untersagen | ban | OK
30. vernichten | annihilate | OK
31. fügen | join/merge | OK
32. herauskommen | come out/result | OK
33. vorbeikommen | come by/pass by | OK
34. klarstellen | clarify/make clear | OK
35. zielen | aim/direct | OK
36. antreiben | drive/urge | OK
37. freischalten | activate/unlock | OK
38. bekennen | confess/profess | OK
39. zurückkommen | come back/return | OK
40. missen | miss/do without | OK
41. riechen | smell | OK
42. überführen | convict/transport | OK
43. überqueren | cross/traverse | OK
44. wundern | surprise/wonder | OK
45. anstoßen | initiate/clink glasses | OK
46. aufwerten | upgrade/enhance | OK
47. einweihen | inaugurate/initiate | OK
48. errechnen | calculate | OK
49. regulieren | regulate/set | OK
50. verlinken | link | OK
51. zusammenschließen | merge/join together | OK
52. besorgen | get/obtain | OK
53. inszenieren | stage | OK
54. mithelfen | assist/help | OK
55. trocknen | dry | OK
56. verschlüsseln | encrypt | OK
57. abwickeln | handle/process | OK
58. einarbeiten | train | OK
59. glänzen | shine/excel | OK
60. lindern | alleviate/ease | OK
61. verschärfen | tighten/intensify | OK
62. vorbeischauen | stop by/drop in | OK
63. zustellen | block/deliver | OK
64. beibringen | teach | OK
65. küren | choose/elect | OK
66. abbiegen | bend/turn | OK
67. anrichten | cause/serve (food) | OK
68. einschlagen | hit/take (a path) | OK
69. telefonieren | telephone | OK
70. antreffen | find/encounter | OK
71. begünstigen | facilitate/favour | OK
72. enttäuschen | disappoint | OK
73. automatisieren | automate | OK
74. beabsichtigen | intend | OK
75. plädieren | advocate/plead | OK
76. schlüpfen | slip/hatch | OK
77. verbuchen | enter | OK
78. verlagern | relocate/shift | OK
79. kehren | sweep/turn | OK
80. stabilisieren | stabilise | OK
81. zaubern | do magic | OK
82. anmerken | note/remark | OK
83. ärgern | annoy | OK
84. experimentieren | experiment | OK
85. formen | form/shape | OK
86. anbinden | tie/connect | OK
87. aufmachen | open | OK
88. ergehen | be issued/fare | OK
89. ermorden | murder | OK
90. knacken | crack | OK
91. kreieren | create | OK
92. vermarkten | market | OK
93. abzeichnen | become apparent | OK
94. ähneln | resemble | OK
95. aufstehen | get up/stand up | OK
96. aufsteigen | rise/climb | OK
97. durchsuchen | search | OK
98. rollen | roll | OK
99. aussagen | state/testify | OK
100. beibehalten | maintain | OK
101. beruhigen | calm/calm down | OK
102. posten | post | OK
103. wahren | maintain/preserve | OK
104. zeugen | testify/father | OK
105. zitieren | cite/quote | OK
106. begehren | desire | OK
107. betätigen | operate/activate | OK
108. ruhen | rest | OK
109. abmelden | give notice of/log out | OK
110. bescheren | bring/give (as a gift) | OK
111. schmücken | adorn | OK
112. tippen | type/tap/bet | OK
113. verdrängen | displace/suppress | OK
114. vernachlässigen | neglect | OK
115. vertragen | get along with/tolerate | OK
116. appellieren | appeal | OK
117. füttern | feed | OK
118. nachlassen | decrease/let up | OK
119. beklagen | bemoan/complain | OK
120. meiden | avoid | OK
121. verschreiben | prescribe | OK
122. zugutekommen | benefit | OK
123. andauern | continue | OK
124. ausweichen | avoid/dodge | OK
125. befristen | set a time limit on | OK
126. erfragen | ask | OK
127. filtern | filter | OK
128. intensivieren | intensify | OK
129. erschaffen | create | OK
130. festigen | strengthen/consolidate | OK
131. klettern | climb | OK
132. kürzen | shorten/reduce | OK
133. putzen | clean | OK
134. verschlechtern | worsen/deteriorate | OK
135. abreißen | demolish/tear off | OK
136. bescheinigen | certify/confirm | OK
137. mithalten | keep up with | OK
138. stechen | sting | OK
139. verfallen | expire/decay | OK
140. kompensieren | compensate | OK
141. loswerden | get rid of | OK
142. riskieren | hazard/risk | OK
143. stöbern | browse/rummage | OK
144. veranschaulichen | exemplify/illustrate | OK
145. wiederherstellen | recover/restore | OK
146. bekräftigen | confirm/reaffirm | OK
147. eindringen | intrude | OK
148. flüchten | escape/flee | OK
149. listen | list | OK
150. festnehmen | arrest | OK
151. nützen | be useful | OK
152. rüsten | arm/prepare | OK
153. abkühlen | cool | OK
154. ausbleiben | fail to appear/happen | OK
155. erhitzen | heat/heat up | OK
156. heilen | cure/heal | OK
157. rühren | stir/move | OK
158. verzögern | delay/hold back | OK
159. absagen | cancel | OK
160. argumentieren | argue | OK
161. ausarbeiten | work out/develop | OK
162. ausbrechen | break out/escape | OK
163. begutachten | assess | OK
164. einzahlen | deposit | OK
165. fixieren | fix/focus | OK
166. importieren | import | OK
167. leuchten | shine | OK
168. übernachten | sleep over/spend the night | OK
169. aushalten | bear/endure | OK
170. hindern | hinder/prevent | OK
171. münden | flow into/lead into | OK
172. operieren | operate | OK
173. publizieren | publish | OK
174. simulieren | fake/simulate | OK
175. aufspüren | track down | OK
176. besiegen | defeat | OK
177. bestrafen | punish | OK
178. faszinieren | fascinate | OK
179. koppeln | connect/couple | OK
180. signalisieren | signal | OK
181. tagen | dawn/meet | OK
182. aussteigen | get off/exit | OK
183. deuten | interpret/point to | OK
184. konsumieren | consume | OK
185. mitbekommen | notice/receive | OK
186. promovieren | get a doctorate | OK
187. anschaffen | acquire | OK
188. unterbinden | stop | OK
189. unterstellen | assume/subordinate | OK
190. vollenden | complete | OK
191. beitreten | join | OK
192. entrichten | pay | OK
193. renovieren | refurbish/renovate | OK
194. absprechen | arrange/deny | OK
195. aufdecken | detect/uncover | OK
196. exportieren | export | OK
197. jagen | hunt/chase | OK
198. loslegen | get started | OK
199. nachholen | make up | OK
200. parken | park | OK
201. prognostizieren | predict/forecast | OK
202. übereinstimmen | agree/correspond | OK
203. zurückzahlen | reimburse | OK
204. ahnen | guess/suspect | OK
205. auslaufen | discontinue/expire/flow out | OK
206. bestücken | equip | OK
207. erwecken | arouse/awaken/evoke | OK
208. konkretisieren | make concrete/specify | OK
209. vorangehen | lead the way/precede/proceed | OK
210. zuwenden | devote/donate/turn towards | OK
211. anpacken | tackle/grab | OK
212. benachrichtigen | inform/notify | OK
213. missbrauchen | abuse | OK
214. schärfen | focus/sharpen/spice up | OK
215. verwechseln | confuse/get muddled/mix up | OK
216. visualisieren | visualise | OK
217. wegfallen | be omitted/drop out | OK
218. befähigen | enable | OK
219. blühen | bloom/blossom/come up | OK
220. einfangen | capture | OK
221. gießen | cast/pour/water | OK
222. managen | manage | OK
223. regieren | govern/reign | OK
224. spazieren | stroll/walk | OK
225. vermindern | decrease/diminish/reduce | OK
226. vorführen | demonstrate/exhibit/pillory | OK
227. zögern | hesitate | OK
228. aufarbeiten | refurbish | OK
229. beschweren | complain/weight down | OK
230. einschreiben | enroll/inscribe/register | OK
231. abweisen | dismiss/refuse to see/reject | OK
232. anfahren | begin driving/collide/driving | OK
233. diagnostizieren | diagnose | OK
234. freisetzen | lay off/release/set free | OK
235. rutschen | slide/slip | OK
236. sichten | look through/sight | OK
237. stiften | bring about/cause/donate | OK
238. verordnen | decree/prescribe | OK
239. aufwerfen | bring up/pose | OK
240. beliefern | provide/supply | OK
241. bremsen | brake/retard/slow down | OK
242. entwenden | purloin/steal | OK
243. prämieren | award a prize/give an award/grant an award | OK
244. schwanken | alternate/fluctuate/hesitate | OK
245. verzaubern | bewitch | OK
246. ausschalten | eliminate/switch off/turn off | OK
247. abschätzen | anticipate/estimate/foresee | OK
248. ausdehnen | enlarge/expand | OK
249. ausdenken | come up with/make up/think up | OK
250. konstruieren | construct/design/fabricate | OK
251. nähen | sew/stitch/suture | OK
252. respektieren | respect | OK
253. abgrenzen | define/delimit/demarcate | OK
254. abspeichern | save/store | OK
255. anhaben | harm/have on/have something switched on | OK
256. animieren | animate | OK
257. aufziehen | delude/open/raise | OK
258. differenzieren | differentiate/distinguish | OK
259. entzünden | become inflamed/ignite/inflame | OK
260. schrumpfen | shrink | OK
261. siegen | win | OK
262. streuen | scatter/sprinkle | OK
263. verstauen | stack/stow | OK
264. zurechtkommen | cope/get along/manage | OK
265. ausziehen | move out/take off clothes | OK
266. lauschen | eavesdrop/listen | OK
267. reizen | appeal/arouse/chafe | OK
268. verkehren | circulate/deal/interact | OK
269. abraten | advise against something | OK
270. anlocken | attract/lure | OK
271. gleichen | closely resemble | OK
272. miterleben | experience/witness | OK
273. niederlassen | let down/lower/settle down | OK
274. strahlen | beam/radiate | OK
275. überdenken | reconsider/rethink | OK
276. überwiegen | outweigh/predominate/prevail | OK
277. zurücktreten | resign/step back | OK
278. skizzieren | outline/sketch | OK
279. vorhaben | intend | OK
280. zurückbleiben | linger/stagnate/stay behind | OK
281. zutrauen | trust someone to be capable of | OK
282. aufräumen | clean up/tidy up | OK
283. ausblenden | blend out/fade out/hide | OK
284. befahren | drive on/serve a route/use a road | OK
285. debattieren | debate/discuss | OK
286. erschießen | shoot dead | OK
287. erziehen | educate/raise | OK
288. scheuen | fight shy/shrink/shun | OK
289. untergehen | sink | OK
290. ablenken | deflect/distract/divert | OK
291. alarmieren | alarm | OK
292. anreichern | enrich | OK
293. halbieren | bisect/halve | OK
294. vermischen | blend/mix | OK
