1. sein | be | OK
2. werden | become/get | OK
3. haben | have | OK
4. kÃ¶nnen | can/be able to | OK
5. sollen | should/shall | OK
6. geben | give | OK
7. mÃ¼ssen | must/have to | OK
8. finden | find | OK
9. machen | make/do | OK
10. kommen | come | OK
11. stehen | stand | OK
12. lassen | let/leave | OK
13. gehen | go/walk | OK
14. wollen | want | OK
15. bieten | offer | OK
16. liegen | lie/be located | OK
17. erhalten | receive/get | OK
18. zeigen | show | OK
19. sehen | see | OK
20. stellen | put/place | OK
21. nutzen | use | OK
22. gelten | apply/be valid | OK
23. fÃ¼hren | lead | OK
24. sagen | say/tell | OK
25. dÃ¼rfen | may/be allowed to | OK
26. bleiben | stay/remain | OK
27. unterstÃ¼tzen | support | OK
28. nehmen | take | OK
29. bringen | bring/take | OK
30. anbieten | offer | OK
31. bestehen | exist/consist of/insist on | OK
32. arbeiten | work | OK
33. entwickeln | develop | OK
34. bekommen | get/receive | OK
35. halten | hold/keep/stop | OK
36. wissen | know | OK
37. erreichen | reach/achieve | OK
38. stattfinden | take place | OK
39. helfen | help | OK
40. setzen | put/place/set | OK
41. suchen | search/look for | OK
42. verwenden | use | OK
43. hÃ¶ren | hear/listen | OK
44. spielen | play | OK
45. entstehen | arise/develop | OK
46. beginnen | begin/start | OK
47. lernen | learn/study | OK
48. brauchen | need | OK
49. ermÃ¶glichen | enable/make possible | OK
50. sorgen | ensure/worry/care | OK
51. informieren | inform/let know | OK
52. befinden | be located | OK
53. fÃ¶rdern | promote/support | OK
54. einsetzen | use/deploy | OK
55. treffen | meet/hit | OK
56. erklÃ¤ren | explain | OK
57. schaffen | create (irregular: schuf/geschaffen)/manage (regular: schaffte/geschafft) | OK
58. entscheiden | decide/rule | OK
59. vorstellen | introduce/imagine | OK
60. durchfÃ¼hren | carry out/conduct | OK
61. leben | live | OK
62. sprechen | speak/talk | OK
63. Ã¼bernehmen | take over/assume | OK
64. kennen | know | OK
65. handeln | act/trade | OK
66. heiÃŸen | be called/mean | OK
67. darstellen | represent | OK
68. gehÃ¶ren | belong | OK
69. benÃ¶tigen | need/require | OK
70. tragen | carry/wear | OK
71. gestalten | design/shape | OK
72. erfahren | experience/find out/learn | OK
73. gewinnen | win/gain | OK
74. verbinden | connect/combine | OK
75. bedeuten | mean | OK
76. starten | start | OK
77. enthalten | contain | OK
78. prÃ¤sentieren | present | OK
79. wÃ¤hlen | choose/vote/elect | OK
80. bilden | educate/form | OK
81. folgen | follow | OK
82. erleben | experience | OK
83. erwarten | expect | OK
84. fahren | drive/go/ride | OK
85. zÃ¤hlen | count/rank | OK
86. laufen | run/walk | OK
87. ziehen | pull/move | OK
88. dienen | serve | OK
89. verstehen | understand | OK
90. legen | put/lay | OK
91. erkennen | recognise | OK
92. gelingen | succeed/work | OK
93. schreiben | write | OK
94. einladen | invite | OK
95. nennen | call/name | OK
96. verfÃ¼gen | have/possess | OK
97. empfehlen | recommend | OK
98. verbessern | correct/improve | OK
99. planen | plan | OK
100. aufnehmen | record/accept/absorb | OK
101. besuchen | attend/visit | OK
102. kaufen | buy | OK
103. umsetzen | implement | OK
104. versuchen | try | OK
105. erscheinen | appear/publish | OK
106. berichten | report | OK
107. erstellen | create | OK
108. entdecken | discover | OK
109. Ã¤ndern | change | OK
110. fragen | ask | OK
111. beschÃ¤ftigen | employ/occupy | OK
112. funktionieren | work/function | OK
113. beachten | pay attention to/observe | OK
114. vermitteln | convey/mediate | OK
115. schÃ¼tzen | protect | OK
116. leisten | accomplish/afford | OK
117. lesen | read | OK
118. teilnehmen | participate | OK
119. begleiten | accompany | OK
120. steigen | climb/rise | OK
121. aussehen | look/appear | OK
