1. schleudern | catapult/fishtail/hurl | OK
2. streiken | be on strike/conk out/strike | OK
3. überfallen | assault/attack/invade | OK
4. überschlagen | calculate/calculate roughly/crack | OK
5. umreißen | outline/sketch | OK
6. unterordnen | subordinate | OK
7. verschulden | cause/get into debt/go into debt | OK
8. versteigern | auction/auction off | OK
9. vorzeigen | produce/show | OK
10. walten | rule over | OK
11. zurückschrecken | recoil | OK
12. zusammentreten | convene/crush underfoot/give a severe kicking | OK
13. abfüllen | bag/bottle/fill | OK
14. abtöten | deaden/devitalise/kill | OK
15. abwiegen | weigh out/weigh up | OK
16. anlangen | arrive/concern/touch | OK
17. anmuten | seem | OK
18. anpreisen | advertise/praise/recommend | OK
19. aufschließen | unlock/catch up | OK
20. ausrücken | disengage/go on a mission/march out | OK
21. bahnen | pave (a road) | OK
22. beschriften | label | OK
23. chatten | chat | OK
24. dehnen | dilate/expand/extend | OK
25. eilen | be urgent/hurry | OK
26. eingestehen | admit/confess | OK
27. entlohnen | pay/remunerate | OK
28. erschrecken | frighten/scare/startle | OK
29. extrahieren | extract | OK
30. feuern | fire | OK
31. formatieren | format | OK
32. hinwirken | work towards | OK
33. lackieren | paint/spray/varnish | OK
34. legitimieren | legitimise | OK
35. pausieren | pause | OK
36. priorisieren | prioritise | OK
37. projizieren | project | OK
38. reproduzieren | replicate | OK
39. schmeißen | chuck/deal/drop | OK
40. spicken | bribe/cheat/lard | OK
41. sponsern | sponsor | OK
42. überfluten | deluge/drown/flood | OK
43. überlasten | overcharge/overload | OK
44. überragen | be taller than/outclass/outshine | OK
45. verharren | keep/remain | OK
46. vorherrschen | prevail | OK
47. zerkleinern | chop/crush/grind | OK
48. zumachen | close/hurry up/shut | OK
49. zusammenziehen | add/contract/join | OK
50. abklingen | subside/fade away | OK
51. abtauchen | descend/disappear/duck | OK
52. attestieren | certify/confirm | OK
53. beherzigen | take to heart | OK
54. bereinigen | clear up/iron out/settle | OK
55. beschuldigen | accuse | OK
56. besteuern | tax | OK
57. bevölkern | populate | OK
58. einwenden | object | OK
59. eliminieren | eliminate | OK
60. entweichen | escape | OK
61. erraten | guess/right | OK
62. feilen | file/polish | OK
63. frieren | freeze | OK
64. hochziehen | latch on to something/lift/raise | OK
65. kratzen | scratch | OK
66. meckern | bitch/bleat/complain | OK
67. nachahmen | copy/imitate | OK
68. predigen | call for/preach | OK
69. reinschauen | look in/stop by | OK
70. stauen | build up/dam up/stow | OK
71. stricken | knit | OK
72. summieren | add up/sum up/tally up | OK
73. überfahren | run over/drive across | OK
74. überwältigen | overcome/overwhelm | OK
75. überwintern | hibernate/overwinter/spend the winter | OK
76. umrüsten | adapt/re-equipe | OK
77. vorbeiziehen | outrun/pass/pass by | OK
78. werkeln | potter about | OK
79. zurückstellen | defer/postpone/put back | OK
80. abändern | alter/change | OK
81. abdrucken | print/reproduce | OK
82. anfechten | appeal/contest | OK
83. anmachen | turn on/start | OK
84. aufdrängen | impose/obtrude | OK
85. bewachen | guard | OK
86. durchforsten | scour | OK
87. eindecken | cover/lay/prepare | OK
88. entschädigen | compensate/make up for | OK
89. ersticken | suffocate | OK
90. flattern | flutter | OK
91. großschreiben | capitalise/shift | OK
92. herangehen | approach | OK
93. kriechen | crawl/creep/slither | OK
94. kursieren | circulate | OK
95. leidtun | be sorry | OK
96. nachbauen | copy/reproduce | OK
97. nachmachen | copy/imitate | OK
98. nachsagen | repeat | OK
99. nachstellen | stalk/recreate/readjust | OK
100. pachten | lease | OK
101. pfeifen | whistle | OK
102. prallen | bounce/collide | OK
103. pumpen | lend/pump/weightlift | OK
104. schlängeln | snake | OK
105. tüfteln | fiddle about/tinker/tweak | OK
106. überblicken | survey/have an overview of | OK
107. umfunktionieren | convert/repurpose | OK
108. verlesen | misread/prune/read out | OK
109. verlorengehen | be lost/get lost | OK
110. vermengen | blend/confound/confuse | OK
111. verstreichen | elapse/expire/fill in | OK
112. versüßen | make more attractive/make more pleasant/sugar over | OK
113. vortäuschen | pretend/simulate | OK
114. wiederbeleben | reanimate/resuscitate/revive | OK
115. zünden | detonate/fire/lit | OK
116. abbestellen | ask someone not to come/cancel | OK
117. absorbieren | absorb/imbibe | OK
118. absteigen | descend | OK
119. adaptieren | adapt | OK
120. ankreuzen | tick/check | OK
121. bannen | avert/banish/enthrall | OK
122. beaufsichtigen | oversee/supervise | OK
123. bejubeln | cheer | OK
124. besinnen | bethink/consider/contemplate | OK
125. blitzen | flash/there's lightning | OK
126. diskriminieren | discriminate | OK
127. durchfallen | fail/flop | OK
128. durchmachen | endure/go through/suffer | OK
129. großziehen | bring somebody up/educate/nurse | OK
130. herantragen | approach/bring over | OK
131. herleiten | deduce/derive | OK
132. implizieren | imply | OK
133. irren | be mistaken/err/roam | OK
134. klemmen | clamp/jam | OK
135. küssen | kiss | OK
136. mobben | bully/harass | OK
137. propagieren | propagandise/propagate | OK
138. rösten | bake/broil/calcine | OK
139. schlachten | butcher/sacrifice/slaughter | OK
140. spezifizieren | specify | OK
141. verstreuen | scatter | OK
142. vorbeifahren | drive past/pass | OK
143. wiederwählen | reelect | OK
144. zusammenbauen | assemble | OK
145. abfinden | come to terms with/compensate | OK
146. absinken | fall/plummet/sag | OK
147. anrühren | stir/mix/touch | OK
148. aufblühen | bloom/blossom/blossom out | OK
149. aufkleben | affix/glue | OK
150. bebauen | build/cultivate | OK
151. beglaubigen | accredit/attest/authenticate | OK
152. brauen | brew | OK
153. editieren | edit | OK
154. einleben | immerse oneself/project oneself/settle down | OK
155. einprägen | impress/imprint/memorise | OK
156. garnieren | garnish | OK
157. improvisieren | improvise | OK
158. kicken | kick/play football | OK
159. konstituieren | assemble/constitute/convene | OK
160. lahmlegen | paralyze | OK
161. läuten | ring | OK
162. maximieren | maximise | OK
163. nahen | approach/be approaching/be imminent | OK
164. pürieren | puree | OK
165. rasten | rest | OK
166. schlemmen | gormandise/gourmandise | OK
167. schmunzeln | smile/smirk | OK
168. überdauern | outlast | OK
169. vergiften | contaminate/poison | OK
170. verhüten | prevent/use contraception | OK
171. verschlucken | choke/swallow | OK
172. weilen | linger/stay | OK
173. abbekommen | get/receive/get hit | OK
174. abfedern | cushion/spring | OK
175. ausschlagen | decline/dislodge/refuse | OK
176. bestatten | bury | OK
177. bummeln | loiter | OK
178. dirigieren | conduct | OK
179. eingefrieren | freeze | OK
180. entleeren | empty | OK
181. ertrinken | drown | OK
182. fasten | fast | OK
183. funken | cable/radio/spark | OK
184. fusionieren | merge | OK
185. hochfahren | boot | OK
186. inhaftieren | arrest | OK
187. kauen | chew | OK
188. knipsen | snap/click/take a photo | OK
189. komprimieren | compress | OK
190. kuscheln | cuddle/nestle/snuggle | OK
191. orten | locate | OK
192. rauschen | rustle/swoosh | OK
193. stationieren | deploy | OK
194. tappen | grope | OK
195. überdecken | cover/overlay | OK
196. überschätzen | overestimate/overrate | OK
197. umarmen | embrace/hug | OK
198. verschwimmen | blur | OK
199. versiegeln | seal | OK
200. zuteilwerden | be bestowed/be given/be granted | OK
201. abtrennen | separate | OK
202. abzweigen | branch off/put aside/set aside | OK
203. adoptieren | adopt | OK
204. anbrechen | begin/break/start | OK
205. ausspülen | rinse/wash out | OK
206. aussterben | become extinct/die out | OK
207. beisetzen | add/bury/entomb | OK
208. blenden | blind | OK
209. durchkommen | get through/pass through | OK
210. einscannen | scan | OK
211. einschreiten | interfere/intervene/step in | OK
212. erpressen | blackmail/extort | OK
213. freilassen | release/free | OK
214. herausziehen | cull/move away/pull out | OK
215. hinarbeiten | work towards | OK
216. hinstellen | put/put down | OK
217. konservieren | can/conserve/preserve | OK
218. mitmischen | be in on it/be involved/muscle in | OK
219. plaudern | chat/natter/tattle | OK
220. schmälern | diminish/reduce | OK
221. sprühen | spray | OK
222. stocken | falter/halt/stiffen | OK
223. therapieren | treat | OK
224. transferieren | transfer | OK
225. überreden | cajole/persuade/talk over | OK
226. wackeln | bounce/judder/shake | OK
227. zufriedenstellen | content/please/satisfy | OK
228. abtransportieren | remove/take away/take to hospital | OK
229. angeln | angle/fish | OK
230. aufrichten | erect/raise/sit up | OK
231. aufschieben | delay/postpone/push open | OK
232. ausleuchten | illuminate/light up | OK
233. ausmalen | colour in; imagine/picture | OK
234. ausrotten | eradicate | OK
235. beglückwünschen | congratulate (someone on something)/felicitate (someone has been felicitated by somebody) | OK
236. beistehen | assist/back/back up | OK
237. demontieren | disassemble/dismantle | OK
238. durchfahren | drive through/traverse | OK
239. durchspielen | play through/play without a break | OK
240. einrahmen | enframe/frame | OK
241. einsperren | lock up/imprison | OK
242. erlösen | deliver/earn/release | OK
243. erschlagen | slay | OK
244. evakuieren | evacuate | OK
245. freilegen | uncover | OK
246. glücken | succeed | OK
247. hungern | be hungry/hunger/starve | OK
248. hüten | guard/protect; beware | OK
249. jucken | itch/scratch | OK
250. konsolidieren | consolidate | OK
251. mahlen | grind/mill | OK
252. monieren | criticise | OK
253. ruinieren | ruin | OK
254. schleichen | creep/sidle/skulk | OK
255. schnüren | string/tie | OK
256. schweifen | bend/curve/rove | OK
257. stattgeben | accept/approve | OK
258. umkreisen | orbit | OK
259. verheißen | promise | OK
260. verkennen | misjudge/mistake | OK
261. verschleppen | abduct/delay/protract | OK
262. verschmutzen | besmirch/make dirty/soil | OK
263. verzerren | distort | OK
264. weitertragen | carry on/pass on | OK
265. zerschlagen | smash/break up | OK
266. zugestehen | admit/concede | OK
267. zusammensitzen | side by side/sit/together | OK
268. abholzen | chop down/clear a forest/clear an area | OK
269. abwandern | emigrate | OK
270. anprangern | denounce/pillory | OK
271. anschieben | push | OK
272. ausbeuten | deplete/exploit | OK
