1. abfeuern | fire | OK
2. absacken | sag/drop/slump | OK
3. abscheiden | separate; die/depart | OK
4. abstumpfen | blunt | OK
5. anberaumen | appoint a time for/schedule | OK
6. anvisieren | aim at/sight/target | OK
7. aufsammeln | gather/pick up | OK
8. auswiegen | weigh/weigh out | OK
9. befeuchten | moisten | OK
10. befreunden | befriend | OK
11. behüten | protect/shelter | OK
12. beiseitelegen | put aside/stash | OK
13. belangen | prosecute/take legal action against | OK
14. belügen | lie/tell someone a lie | OK
15. benützen | use | OK
16. beschatten | shadow | OK
17. beschönigen | whitewash/gloss over | OK
18. betören | bewitch | OK
19. demütigen | humiliate | OK
20. diversifizieren | diversify | OK
21. durchdrehen | crack up/freak out/go crazy | OK
22. durchwandern | hike through/wander through | OK
23. eincremen | apply cream/lotion | OK
24. einlenken | relent/turn | OK
25. einmarschieren | invade | OK
26. einstechen | perforate/prick/stab | OK
27. einverleiben | annex/assimilate/eat | OK
28. einwechseln | exchange/substitute | OK
29. entrümpeln | clean up/remove junk | OK
30. erstechen | knife/stab | OK
31. ersuchen | request | OK
32. frönen | indulge | OK
33. gegenübersehen | be confronted with | OK
34. googeln | google | OK
35. hieven | heave/place | OK
36. hissen | haul up/hoist | OK
37. hobeln | plane | OK
38. huldigen | pay homage to | OK
39. husten | cough | OK
40. jobben | work a casual/part-time job | OK
41. kalibrieren | calibrate/gauge | OK
42. katalogisieren | catalogue | OK
43. kichern | chuckle/giggle/snigger | OK
44. kramen | dig/rummage | OK
45. kriminalisieren | criminalise | OK
46. lasten | encumber/rest on/rest with | OK
47. löten | solder | OK
48. nagen | eat/gnaw | OK
49. planschen | splash/paddle | OK
50. pointieren | emphasize/accentuate | OK
51. radikalisieren | radicalise | OK
52. räuchern | smoke | OK
53. rebellieren | rebel | OK
54. recken | stretch | OK
55. reinlassen | let in | OK
56. schallen | echo/resound | OK
57. scharen | cluster | OK
58. schmeicheln | fawn/flatter | OK
59. schummeln | cheat/fudge | OK
60. schwänzen | skip class/play truant | OK
61. separieren | separate | OK
62. sprießen | sprout | OK
63. spucken | puke/spit/throw up | OK
64. spuken | haunt | OK
65. triggern | trigger | OK
66. überhitzen | overheat/superheat | OK
67. überkommen | come down/come over/handed down | OK
68. überlappen | overlap | OK
69. umhauen | blow someone's mind/fell/knock down | OK
70. upgraden | upgrade | OK
71. verarmen | become impoverished | OK
72. verkündigen | proclaim | OK
73. verlernen | forget/unlearn | OK
74. verpflegen | provide food/cater for | OK
75. verspotten | lampoon/ridicule | OK
76. vierteln | quarter | OK
77. vorfertigen | prefabricate | OK
78. vorübergehen | pass/pass by | OK
79. wachrütteln | give somebody a wake-up call/wake up | OK
80. wässern | soak/water | OK
81. wiedererlangen | recover/regain/resume | OK
82. zehren | feed on/draw on | OK
83. zerdrücken | crush/squash | OK
84. zerreiben | grind/crush | OK
85. zerteilen | divide/split up | OK
86. zwitschern | chirp/tweet | OK
87. abfordern | demand/request | OK
88. abringen | force/force out/wring | OK
89. absahnen | skim | OK
90. abschöpfen | skim | OK
91. adeln | ennoble | OK
92. aggregieren | aggregate | OK
93. anzapfen | tap into | OK
94. applaudieren | applaud | OK
95. aufatmen | breathe a sigh of relief | OK
96. aufrechnen | offset/set off | OK
97. aufrunden | round off/round up | OK
98. aufsperren | unlock | OK
99. ausfertigen | issue/prepare an official copy | OK
100. ausladen | uninvite/unload | OK
101. auspressen | squeeze | OK
102. beamen | beam/project | OK
103. beirren | confuse | OK
104. besänftigen | calm down/placate/soothe | OK
105. booten | boot/bootstrap | OK
106. buddeln | burrow/dig/dig up | OK
107. destillieren | distil/distillate | OK
108. differieren | differ | OK
109. drängeln | jostle/push | OK
110. driften | drift | OK
111. durcheinanderbringen | confuse/disorder/mix up | OK
112. durchsickern | filter/leak | OK
113. einlernen | train/teach | OK
114. elektrifizieren | electrify | OK
115. entziffern | decipher/decode/make out | OK
116. ersteigern | buy at an auction | OK
117. flitzen | flit/whiz | OK
118. föhnen | blow-dry | OK
119. frisieren | do the hair/fudge/hairdress | OK
120. gehorchen | obey | OK
121. gleichziehen | catch up | OK
122. grübeln | brood | OK
123. heraushalten | keep out | OK
124. hereinkommen | come in | OK
125. herumgehen | go around/go past/pass sth around | OK
126. hochheben | lift/raise | OK
127. innewohnen | be inherent in | OK
128. kämmen | comb | OK
129. knabbern | nibble | OK
130. knistern | crackle | OK
131. lähmen | paralyze | OK
132. liieren | ally/link up; be in a relationship | OK
133. liken | like | OK
134. möblieren | furnish | OK
135. morden | murder | OK
136. mutmaßen | conjecture | OK
137. nachrechnen | recalculate/check the calculation | OK
138. niedergehen | go down/land | OK
139. oxidieren | oxidise/oxygenate | OK
140. patentieren | patent | OK
141. patzen | blunder | OK
142. prahlen | brag/show off | OK
143. qualmen | smoke | OK
144. quietschen | creak/screech/squeak | OK
145. rahmen | frame | OK
146. rappen | rap | OK
147. rendern | render | OK
148. ritzen | scratch | OK
149. schaukeln | rock/swing | OK
150. schlürfen | sip | OK
151. schultern | shoulder/sling | OK
152. sinnen | brood/meditate/muse | OK
153. stauchen | compress/upset | OK
154. stöhnen | moan | OK
155. strafen | punish | OK
156. tapezieren | decorate/paper/wallpaper | OK
157. tönen | boast/resound/sound | OK
158. überbacken | bake au gratin/top with cheese and bake | OK
159. übertönen | dominate/drown | OK
160. umbrechen | break/break down/break up | OK
161. umverteilen | reallocate/redistribute | OK
162. verhärten | harden | OK
163. verheimlichen | conceal/hide/keep secret | OK
164. verkneifen | resist | OK
165. verschrecken | frighten/scare | OK
166. verschütten | bury alive/spill/trap | OK
167. verseuchen | contaminate | OK
168. vertauschen | swap/mix up | OK
169. verteufeln | condemn/demonise | OK
170. verwunden | wound | OK
171. zerschellen | shatter/smash | OK
172. zusammenfalten | chide/fold | OK
173. zustoßen | attack/happen to/join | OK
174. abbinden | bandage/bind/bond | OK
175. abdanken | abdicate/resign | OK
176. abhandenkommen | get lost/go missing/lose | OK
177. abkoppeln | uncouple/disconnect | OK
178. abschütteln | shake off/get rid of | OK
179. abspalten | to separate/to split off | OK
180. abtreiben | abort/drive off/drift | OK
181. abtupfen | dab away/dab off/swab | OK
182. anecken | bump into/hit/offend | OK
183. anfeinden | be hostile towards | OK
184. annähen | sew on | OK
185. annullieren | annul/cancel | OK
186. anpöbeln | verbally abuse/harass | OK
187. ansaugen | attach itself/draw in/suck in | OK
188. anspannen | become tense/harness/strain | OK
189. aufbürden | burden | OK
190. aufkündigen | denounce/revoke/terminate | OK
191. aufrücken | be promoted/move along/move up | OK
192. aufscheinen | appear/light up | OK
193. aufwirbeln | raise/swirl up/whirl up | OK
194. ausarten | degenerate | OK
195. auslachen | jeer at/laugh at/stop laughing | OK
196. ausmisten | clean out/clear out/declutter | OK
197. ausrasten | crash out/freak out/go postal | OK
198. ausrutschen | slip | OK
199. ausschlachten | cannibalise/dress/exploit | OK
200. ballen | clench/ball up; crowd together | OK
201. beichten | confess/fess up | OK
202. bejagen | hunt | OK
203. belauschen | eavesdrop | OK
204. beschwichtigen | appease/assuage/placate | OK
205. betrinken | get drunk | OK
206. bleichen | bleach | OK
207. bloßstellen | expose/expose oneself to ridicule/make a fool of | OK
208. chillen | chill | OK
209. dampfen | fume/steam/vape | OK
210. darbringen | offer | OK
211. dasitzen | sit there | OK
212. draufkommen | figure out | OK
213. dröhnen | roar | OK
214. ducken | duck | OK
215. durchnehmen | cover (a subject matter) | OK
216. durchringen | bring oneself to/finally decide | OK
217. durchschlafen | sleep through | OK
218. duzen | be on first-name terms | OK
219. einhüllen | wrap/envelop | OK
220. einsaugen | suck in | OK
221. einzäunen | fence in | OK
222. entfremden | alienate/estrange | OK
223. entriegeln | release/unbolt/unlock | OK
224. erblinden | go blind | OK
225. erbrechen | break/vomit | OK
226. ertränken | drown | OK
227. facebooken | use Facebook | OK
228. fachsimpeln | talk shop | OK
229. freikaufen | bail out/buy sb's way out of sth./pay for sb.'s release | OK
230. funkeln | flash/glitter/sparkle | OK
231. grinsen | grin/smirk | OK
232. hausen | dwell | OK
233. herbeirufen | call/cite/summon | OK
234. herumtreiben | hang around/roam the streets/run around | OK
235. herunterspielen | de-emphasise/downplay | OK
236. hineingehen | enter/go into | OK
237. hinfallen | fall down | OK
238. hoppeln | hop | OK
239. imprägnieren | impregnate/waterproof | OK
240. induzieren | induce | OK
241. kanalisieren | channel/canalize | OK
242. kapern | capture/seize/take | OK
243. kapieren | understand/get/grasp | OK
244. kompostieren | compost/put compost on | OK
245. kompromittieren | compromise | OK
246. köpfen | behead/decapitate/head | OK
247. kribbeln | tingle | OK
248. kristallisieren | crystallise | OK
249. lechzen | crave/yearn | OK
250. mitessen | eat with others/eat along | OK
251. mitschneiden | film/record | OK
252. mobilmachen | mobilise | OK
253. nachforschen | inquire into the matter/investigate | OK
254. postieren | position/station | OK
255. raspeln | grate/rasp | OK
256. reanimieren | reanimate | OK
257. resignieren | resign | OK
258. schaufeln | scoop/shovel | OK
259. schäumen | foam | OK
260. schleusen | smuggle | OK
261. schubsen | nudge/push/shove | OK
262. spannen | stretch/tighten/span | OK
263. splitten | cross-vote/split | OK
264. stanzen | press/punch/stamp | OK
265. sterilisieren | spay/sterilise | OK
266. stilisieren | stylise | OK
267. substituieren | substitute | OK
268. übereinkommen | agree/come to terms | OK
269. überstellen | commit/hand over | OK
270. unterweisen | instruct | OK
271. verallgemeinern | generalise | OK
272. verblenden | veneer; blind/dazzle | OK
273. verfluchen | curse | OK
274. vergeuden | squander/waste | OK
