1. beklatschen | applaud | OK
2. bekriegen | battle/wage war against | OK
3. bekümmern | worry/grieve; concern | OK
4. belehnen | enfeoff | OK
5. berauschen | inebriate | OK
6. bereitfinden | be prepared/be willing | OK
7. beschämen | abash/embarrass/humiliate | OK
8. beseelen | inspire/animate | OK
9. bespritzen | splash/spray | OK
10. bestuhlen | provide with seats/put seating in | OK
11. bezirzen | bewitch | OK
12. biopsieren | biopsy | OK
13. bolzen | kick around/play football | OK
14. bugsieren | drag/manoeuvre | OK
15. dabeibleiben | stick to it | OK
16. dämmern | dawn | OK
17. daten | date | OK
18. davonschwimmen | swim away/swim off | OK
19. dekarbonisieren | decarbonise/decoke | OK
20. detonieren | detonate | OK
21. diffundieren | diffuse | OK
22. dinieren | dine | OK
23. dolmetschen | interpret | OK
24. dopen | dope | OK
25. dribbeln | dribble | OK
26. düpieren | dupe | OK
27. durchleiden | endure/suffer | OK
28. durchpeitschen | flog/give a whipping/rush through | OK
29. durchplanen | plan through/plan to the last detail | OK
30. durchstechen | stick through | OK
31. dürsten | be thirsty/thirst | OK
32. einflechten | interject/weave together | OK
33. einimpfen | inoculate/vaccinate | OK
34. einkerkern | incarcerate | OK
35. einkreisen | circle | OK
36. einmotten | lock away/mothball/put in mothballs | OK
37. einnicken | nod/nod off | OK
38. einschläfern | euthanise/put down/put to sleep | OK
39. elektrisieren | electrify | OK
40. emporsteigen | climb | OK
41. enteisen | deice | OK
42. entfesseln | unbridle/unfetter/unleash | OK
43. entfetten | degrease | OK
44. entkleiden | undress | OK
45. entmündigen | deprive of legal capacity | OK
46. entthronen | dethrone | OK
47. entweihen | deconsecrate/defile/desecrate | OK
48. entwischen | escape/slip away | OK
49. entzücken | delight/enchant | OK
50. entzweien | divide/fall out | OK
51. epilieren | epilate/wax | OK
52. erbarmen | have mercy/pity | OK
53. erdulden | endure | OK
54. erkalten | cool down | OK
55. erschallen | ring out/sound | OK
56. erstaunen | amaze/astonish/astound | OK
57. evozieren | evoke | OK
58. exkommunizieren | excommunicate | OK
59. exponieren | expose | OK
60. fabrizieren | manufacture/produce | OK
61. feilbieten | offer for sale | OK
62. feilschen | bargain/haggle | OK
63. festschrauben | screw down/screw on | OK
64. filetieren | fillet | OK
65. finishen | finish | OK
66. flicken | cobble/mend/patch | OK
67. flöten | whistle | OK
68. fluchen | curse/swear | OK
69. frohlocken | exult/rejoice | OK
70. gähnen | yawn | OK
71. galoppieren | gallop | OK
72. gegenüberliegen | be opposite/face/face each other | OK
73. gegenzeichnen | countersign | OK
74. gestikulieren | gesticulate | OK
75. gieren | crave/lust after | OK
76. gleichmachen | equalise/level/make equal | OK
77. glimmen | glow/smolder | OK
78. grämen | grieve | OK
79. grünen | green/turn green | OK
80. härten | harden/temper/toughen oneself up | OK
81. hecheln | pant | OK
82. herausfischen | fish out | OK
83. herauswachsen | grow out/outgrow | OK
84. hereinspazieren | breeze in | OK
85. herumschleppen | carry around/lug around | OK
86. herumsitzen | sit around | OK
87. hineinführen | bring in/lead/lead in | OK
88. hineinschütten | pour in | OK
89. hinsagen | say without thinking | OK
90. hinwegfegen | sweep away | OK
91. hofieren | court/pay court | OK
92. immunisieren | immunise/make immune | OK
93. infiltrieren | infiltrate | OK
94. intendieren | intend | OK
95. irreführen | deceive/mislead | OK
96. kartografieren | chart/map | OK
97. keltern | press | OK
98. ketten | chain | OK
99. kidnappen | kidnap | OK
100. killen | kill | OK
101. kiten | kite | OK
102. kleckern | spill/drip | OK
103. kleinreden | downplay/play down | OK
104. knattern | crackle/flap/put-put | OK
105. knöpfen | button | OK
106. kommissionieren | pick orders | OK
107. konferieren | confer | OK
108. kräuseln | crimp/frizz/gather | OK
109. kraxeln | clamber | OK
110. kritzeln | doodle | OK
111. krümeln | crumble | OK
112. kullern | roll | OK
113. kurieren | cure | OK
114. leimen | glue | OK
115. liebkosen | caress | OK
116. linken | cheat/trick; link | OK
117. löffeln | spoon up | OK
118. losbrechen | break/break off/break out | OK
119. loten | fathom/sound | OK
120. lümmeln | slouch | OK
121. lutschen | suck | OK
122. marinieren | marinade/marinate | OK
123. marmorieren | marbelise/marble/marbleise | OK
124. materialisieren | materialise | OK
125. mattieren | frost/matt/tarnish | OK
126. maulen | moan/nag | OK
127. mediatisieren | mediatise | OK
128. mitteln | average | OK
129. motzen | grouch/grumble | OK
130. nachführen | update | OK
131. nachplappern | parrot | OK
132. nachschärfen | resharpen | OK
133. nachwürzen | spice up | OK
134. niedermachen | bash/butcher | OK
135. nippen | sip | OK
136. objektivieren | objektivise | OK
137. pasteurisieren | pasteurise | OK
