1. prozessieren | litigate/process/sue | OK
2. prusten | snort/snort with laughter | OK
3. puffern | buffer | OK
4. pulverisieren | pulverise | OK
5. quasseln | chatter/babble | OK
6. rackern | work hard | OK
7. raffinieren | refine | OK
8. randalieren | riot | OK
9. rascheln | rustle | OK
10. rationieren | ration | OK
11. rausschmeißen | throw out/kick out/fire | OK
12. rechen | rake | OK
13. rechten | argue/claim/defend | OK
14. renommieren | boast/brag/show off | OK
15. restringieren | restrict | OK
16. rippen | rip | OK
17. röcheln | gasp/wheeze | OK
18. rosten | degenerate/rust | OK
19. rubrizieren | categorize/classify | OK
20. rüffeln | reprimand | OK
21. runterlesen | read through quickly/read off | OK
22. sabbern | dribble/drool/slaver | OK
23. satinieren | calender/satinise | OK
24. schäkern | flirt/joke | OK
25. scharfstellen | focus | OK
26. schauspielern | act/play-act | OK
27. schiefliegen | be off the mark/be wrong | OK
28. schieren | candle eggs | OK
29. schippen | shovel | OK
30. schlafwandeln | sleepwalk/somnambulate | OK
31. schlitzen | slit | OK
32. schlottern | hang loose/shiver/tremble | OK
33. schnäbeln | bill/bill and coo | OK
34. schnabulieren | munch | OK
35. schnarren | buzz | OK
36. schnattern | chatter/quack | OK
37. schnorren | cadge/scrounge/sponge | OK
38. schnurren | purr | OK
39. schröpfen | cup; fleece/bleed someone financially | OK
40. schroten | bruise/crush | OK
41. schwafeln | waffle | OK
42. schwarzfahren | travel without a ticket/fare-dodge | OK
43. schwatzen | babble/chat | OK
44. schwätzen | babble/chat/talk | OK
45. schwelen | smother/smoulder | OK
46. schwellen | swell | OK
47. scouten | scout | OK
48. sedieren | sedate | OK
49. snowboarden | to snowboard | OK
50. spaten | dig with a spade | OK
51. spoilern | spoil | OK
52. spuren | lay a track/toe the line | OK
53. spurten | sprint | OK
54. staffieren | furnish/equip/adorn | OK
55. stammeln | maffle/stammer | OK
56. staubsaugen | hoover/vacuum | OK
57. stibitzen | pilfer | OK
58. sticheln | sew with small stitches/taunt/tease | OK
59. strudeln | swirl | OK
60. subjektivieren | subjectivise | OK
61. sühnen | atone/expiate | OK
62. supponieren | suppose | OK
63. synkopieren | syncopate | OK
64. tafeln | feast | OK
65. taumeln | stagger | OK
66. thesaurieren | hoard/accumulate/retain earnings | OK
67. tippeln | toddle/patter along | OK
68. trampeln | tramp/trample/tread | OK
69. tranchieren | carve | OK
70. triangulieren | triangulate | OK
71. triefen | drip | OK
72. trippeln | patter/take quick little steps | OK
73. trollen | troll | OK
74. tuscheln | whisper | OK
75. überanstrengen | overexert/overstrain | OK
76. überblättern | skip | OK
77. überdüngen | eutrophicate/over-fertilise | OK
78. übereinanderlegen | lay one on top of another | OK
79. übereinanderliegen | lie one on top of another | OK
80. überfragen | be stumped; ask too much of someone | OK
81. überheben | be presumptuous/relieve/strain oneself | OK
82. übersäen | strew/cover with | OK
83. überschäumen | brim over/foam over | OK
84. überschwappen | overflow | OK
85. übersprudeln | brim over/bubble over | OK
86. übersteuern | override/overdrive/oversteer | OK
87. überwallen | overflow | OK
88. umflechten | braid around/encircle by braiding | OK
89. umgarnen | ensnare | OK
90. umlaufen | circulate/knock over | OK
91. umsäumen | hem/surround | OK
92. umspannen | span/encompass | OK
93. umstoßen | knock over/overthrow | OK
94. unieren | unify | OK
95. unterhöhlen | undermine | OK
96. unterjochen | subjugate | OK
97. upcyceln | upcycle | OK
98. valorisieren | valorise | OK
99. ventilieren | ventilate | OK
100. veräppeln | kid | OK
101. verätzen | burn/cauterise/erode | OK
102. verbalisieren | verbalise | OK
103. verbluten | bleed to death | OK
104. verbocken | mess up/screw up | OK
105. verdreschen | beat up/thrash | OK
106. verdüstern | darken | OK
107. verestern | esterify | OK
108. verfechten | advocate/assert/champion | OK
109. verfertigen | produce | OK
110. verfilzen | become felted/become matted | OK
111. verflachen | flatten | OK
112. verfrühen | be premature | OK
113. verfugen | grout/point | OK
114. vergällen | make bitter/spoil | OK
115. vergilben | turn yellow | OK
116. vergittern | bar/grate | OK
117. vergöttern | idolise/worship | OK
118. verheben | strain oneself by lifting | OK
119. verhexen | bewitch/jinx | OK
120. verholen | warp | OK
121. verholzen | lignify | OK
122. verkabeln | cable/wire | OK
123. verkippen | tilt | OK
124. verklappen | dump at sea | OK
125. verknappen | become scarce/cut down the supply/run short | OK
126. verkokeln | char/scorch | OK
127. verkuppeln | set up/matchmake | OK
128. vermauern | brick up/wall in/wall up | OK
129. verminen | mine | OK
130. vermöbeln | batter sb./beat up sb. | OK
131. vermurksen | mess up | OK
132. vernarben | scar | OK
133. verpatzen | botch/bungle/mess up | OK
134. verpesten | pollute/contaminate/stink out | OK
135. verpetzen | snitch | OK
136. verpfeifen | rat out/snitch | OK
137. verrecken | die/perish (slang/coarse) | OK
138. verreiben | rub/grind | OK
139. verrennen | get stuck on the wrong idea | OK
140. versacken | sink | OK
141. verschachern | barter away/sell off | OK
142. verschimmeln | go mouldy | OK
143. verschlimmbessern | make worse while trying to improve | OK
144. verschulen | make too school-like/over-school | OK
145. verschwistern | twin/affiliate as sister organizations | OK
146. verselbstständigen | hive off | OK
147. versengen | scorch/singe | OK
148. versiebenfachen | increase sevenfold/septuple | OK
149. vertäuen | moor | OK
150. vertausendfachen | increase a thousandfold | OK
151. vertrödeln | dawdle away/idle away/waste | OK
152. verunmöglichen | make impossible | OK
153. verwahrlosen | degenerate/get in a bad state/neglect | OK
154. verweichlichen | grow soft/make soft/render effeminate | OK
155. verwinden | get over/overcome/twist | OK
156. verwursten | process into sausage; cobble together/repurpose | OK
157. verzollen | clear through customs/pay duty on | OK
158. vierteilen | draw and quarter/quarter | OK
159. vögeln | fuck (vulgar) | OK
160. vorausfliegen | fly ahead | OK
161. vorbeischwimmen | swim past | OK
162. vorglühen | pre-drink/predrink/pregame | OK
163. vorsagen | prompt/recite/repeat | OK
164. vorspiegeln | pretend | OK
165. vorwärtsschieben | inch forward/push forward/push forwards | OK
166. wabern | drift/flicker/swirl | OK
167. wachküssen | wake up with kisses | OK
168. waten | wade | OK
169. wegknabbern | gnaw away/nibble away | OK
170. wegreißen | rip off | OK
171. wegrennen | run off | OK
172. wegtrainieren | train away | OK
173. wichteln | do a secret Santa | OK
174. widerhallen | resonate | OK
175. widerklingen | resound | OK
176. wiederkäuen | ruminate | OK
177. wiedervereinigen | reunify | OK
178. wohltun | do good | OK
179. wringen | wring | OK
180. zäunen | fence | OK
181. zerbersten | burst | OK
182. zerfetzen | savage/shred/tear in pieces | OK
183. zerfließen | melt | OK
184. zerfurchen | furrow | OK
185. zerklüften | fissure/make rugged | OK
186. zerknittern | crease/crumple | OK
187. zerknüllen | crumple up/screw up/scrunch up | OK
188. zerlaufen | melt | OK
189. zermalmen | crush | OK
190. zernagen | chew to pieces | OK
191. zerrinnen | come to nothing/disappear/fade away | OK
192. zerstieben | disperse | OK
193. zetern | complain | OK
194. zubeißen | bite | OK
195. zuckern | sugar | OK
196. zuflüstern | whisper | OK
197. zugewinnen | gain | OK
198. zukleben | glue shut/seal with tape | OK
199. zumischen | add to/mix | OK
200. zurückspulen | rewind | OK
201. zurückzucken | recoil | OK
202. zusammenflicken | improvise/jury-rig/mend | OK
203. zusammenhocken | hang out together/huddle together/sit close together | OK
204. zusammenklauben | gather up | OK
205. zusammenkrachen | clash/collapse | OK
206. zusammenkramen | gather | OK
207. zusammenräumen | tidy up | OK
208. zusammenrichten | prepare/get ready | OK
209. zutreten | step (towards) | OK
210. zutrinken | drink to/raise one's glass | OK
211. zwirbeln | twirl | OK
212. geschehen | happen/occur | OK
213. freuen | (reflexive: sich freuen) be glad/be happy | OK
214. verdeutlichen | clarify/make clear | OK
215. gebärden | use sign language/gesticulate | OK
216. rüberkommen | come across (as) | OK
217. involvieren | involve | OK
218. verschränken | cross/fold (arms, legs) | OK
219. auftun | (reflexive) open up/present itself | OK
220. antrainieren | (reflexive) train oneself in/acquire by training | OK
221. einbinden | incorporate/integrate | OK
222. anfallen | arise/accrue (of work, costs) | OK
223. wirtschaften | manage resources/economise | OK
224. hinauszögern | delay/postpone | OK
225. verjüngen | rejuvenate | OK
226. verirren | get lost | OK
227. ausströmen | emit/escape (of gas, smell) | OK
228. einschleichen | (reflexive) creep in | OK
229. anschreien | shout at | OK
230. geradestehen | take responsibility (für etw.) | OK
231. konfrontieren | confront | OK
232. auflockern | loosen up/lighten (mood, atmosphere) | OK
233. einreißen | tear down/get out of hand | OK
234. anbelangen | concern (was X anbelangt — as far as X is concerned) | OK
235. hineinpassen | fit in | OK
236. einfließen | flow into/be incorporated | OK
237. unterlaufen | slip past/occur (jdm. unterläuft ein Fehler) | OK
238. nachwachsen | grow back/regrow | OK
239. schämen | be ashamed | OK
240. mitgeben | give to take along/pass on | OK
241. vorspielen | play/perform for someone; pretend | OK
242. erschließen | open up/make accessible; infer | OK
243. einleuchten | make sense/be obvious | OK
244. beschreiten | take/follow (a path) | OK
245. aufpoppen | pop up | OK
246. danebengehen | go wrong/miss the mark | OK
247. hineinversetzen | put oneself into/empathise with | OK
