1. die Doppelseite | doubles angle | WRONG: double-page spread - Doppelseite means a two-page spread, not an angle.
2. die Dorfschule | village school | OK
3. die Villa | villa | OK
4. die Douglasie | douglas fir | OK
5. der Dresscode | dress code | OK
6. der Drittligist | third-division team | OK
7. der Drücker | doorbell button/pushy salesman | OK
8. die Drucktechnik | typography | IMPROVE: printing technology/printing technique - Drucktechnik is broader than typography and usually refers to printing methods.
9. das Maskottchen | mascot | OK
10. der Dunst | haze | OK
11. die Dynastie | dynasty | OK
12. die Eigenkapitalquote | equity ratio | OK
13. der Eigenname | proper name/proper noun | OK
14. das Eigentumsverhältnis | ownership background | IMPROVE: ownership structure/property relations - 'Ownership background' is unnatural and less clear.
15. der Eigenwert | eigenvalue | OK
16. der Eigner | owner | OK
17. der Einbürgerungstest | citizenship test | OK
18. die Einfriedung | enclosure | OK
19. das Eingabegerät | control input/input device/input unit | OK
20. das Eingeständnis | confession | IMPROVE: admission/concession - Eingestaendnis is usually a neutral admission, not necessarily a confession.
21. die Einkaufstüte | shopping bag | OK
22. der Einwurf | insertion/interjection/objection | IMPROVE: throw-in/objection - Einwurf commonly means a sports throw-in or an objection, which the current gloss misses.
23. die Eisenbahnbrücke | railroad bridge/railway bridge | OK
24. die Eisschicht | ice class | WRONG: ice layer - Eisschicht means a layer of ice, not an ice class.
25. das Elbufer | Elbe riverbank | OK
26. der Elfenbeinturm | ivory tower | OK
27. der Emigrant | emigrant | OK
28. die Empfängnisverhütung | contraception | OK
29. die Endphase | final phase | OK
30. die Entfremdung | alienation | OK
31. der Enthusiast | enthusiast | OK
32. die Entschärfung | defusing/disarming | OK
33. die Entzündungsreaktion | inflammation reaction | OK
34. die Erbinformation | estate information | WRONG: genetic information - Erbinformation means hereditary or genetic information, not estate information.
35. die Erdatmosphäre | atmosphere of Earth | OK
36. das Erdkabel | underground cable | OK
37. die Eremitage | hermitage | OK
38. die Ernennungsurkunde | certificate of appointment | OK
39. das Erscheinungsdatum | apparition date | WRONG: publication date/release date - Erscheinungsdatum is the date something appears or is published, not an apparition date.
40. die Erstauflage | circulation | WRONG: first edition - Erstauflage means first edition or first print run, not circulation by itself.
41. die Erstaufnahme | original recording | WRONG: initial reception/first admission - Erstaufnahme usually means first admission or reception, not an original recording.
42. das Erstlingswerk | act | WRONG: debut work/first work - Erstlingswerk means an artist's first work, not an act.
43. der Erwerbslose | unemployed person | OK
44. die Erzählerin | narrator (female) | OK
