1. die Blutabnahme | blood decrease | WRONG: blood draw/blood sample collection - Blutabnahme means taking a blood sample, not a decrease in blood.
2. die Blutbildung | blood creation | WRONG: blood formation/hematopoiesis - Blutbildung is the formation of blood cells, not generic creation.
3. die Blutgruppe | blood group/blood type | OK
4. das Blutplättchen | platelet | OK
5. der Blutspender | blood donor | OK
6. das Blutzuckermessgerät | blood glucose monitoring system/glucometer/glucose metre | OK
7. die Bodenfreiheit | ground game | WRONG: ground clearance - Bodenfreiheit means vehicle ground clearance, not ground game.
8. der Bodybuilder | bodybuilder | OK
9. die Bordsteinkante | kerb | OK
10. die Bowlingbahn | bowling alley | OK
11. die Brasserie | series | WRONG: brasserie - Brasserie is a type of restaurant, not a series.
12. das Brauchwasser | process water/non-potable water | OK
13. der Briefkopf | letterhead | OK
14. das Brotbacken | breadmaking | OK
15. die Brünette | brunette | OK
16. die Brunft | rut/rutting season | OK
17. die Brutstätte | breeding ground/hotbed | OK
18. die Sozialpädagogin | paedagogue | WRONG: social pedagogue/social educator - Sozialp?dagogin is a social-education professional, not a generic pedagogue.
19. das Büdchen | kiosk (Rhineland) | OK
20. das Büfett | buffet/sideboard | OK
21. der Bulgare | Bulgarian | OK
22. die Bulimie | bulimia | OK
23. das Bundesarchiv | Federal Archives | OK
24. die Bundesjugendspiele | national youth games | IMPROVE: Federal Youth Games - This is the established German school-sports event name.
25. der Bundesnachrichtendienst | Federal Intelligence Service | OK
26. der Bundesratspräsident | federal council chairman | IMPROVE: President of the Federal Council - Bundesratspr?sident is a president/chair of the Bundesrat, not just any council chairman.
27. der Bundestagswahlkampf | Bundestag election campaign | OK
28. der Bundeswahlleiter | Federal Returning Officer | OK
29. der Busen | bosom/breast/cleavage | OK
30. der Bußgeldkatalog | catalogue of fines/list of fines | OK
31. die Charakteristik | characteristic/characteristic curve/characterisation | OK
32. das Chinesisch | Chinese | OK
33. die Chlamydie | chlamydia | OK
34. der Choral | chorale | OK
35. der Choreograph | graph | WRONG: choreographer - Choreograph is a choreographer, not a graph.
36. der Christkindlmarkt | Christmas market | OK
37. die Cocktailbar | cocktail bar | OK
38. das Computernetz | computer network | OK
39. die Crema | crema (coffee foam) | OK
40. die Dachkonstruktion | roof construction/roof structure | OK
41. die Dachrinne | eaves trough/rain gutter | OK
42. der Unterrichtsraum | classroom | OK
43. der Dampfgarer | steamer | OK
44. die Darmwand | intestinal wall | OK
45. die Daseinsberechtigung | right to exist | OK
46. der Dateityp | file type | OK
47. der Dauerbetrieb | continuous operation/continuous service | OK
48. die Desorientierung | disorientation | OK
49. das Detox | detox | OK
50. die Deutschlehrerin | German female | WRONG: German teacher (female) - Deutschlehrerin means a female teacher of German, not a German female.
51. das Dia | slide | OK
52. die DIA | DIA | OK
53. die Dienstanweisung | duty directive | WRONG: service instruction/official instruction - Dienstanweisung is an official instruction, not a duty directive.
54. der Dienstgeber | employer | OK
55. der Dienstsitz | duty domicile | WRONG: official seat/office - Dienstsitz means the official place of work, not a domicile.
56. der Dienstweg | official channels | OK
57. der Diffusor | diffuser | OK
58. das Digitalisat | digital copy | OK
59. die Direktive | directive | OK
60. die Direktverbindung | direct connection | OK
61. das Disagio | accretion of discount/disagio/discount point | OK
62. der Sozialverband | association | IMPROVE: social welfare association/social association - Sozialverband is more specific than a generic association.
63. der Diskutant | discussant | OK
64. der Dispositionskredit | drawing credit/overdraft | OK
65. das Disziplinarverfahren | action | WRONG: disciplinary proceedings - Disziplinarverfahren means disciplinary proceedings, not a generic action.
66. die Dohle | jackdaw | OK
67. der Dorsch | cod/codfish/pollock | OK
68. das Drängen | urging/pressing | OK
69. der Drehtag | filming day | OK
70. der Dreitürer | three-door car | OK
71. der Drittplatzierte | third-place finisher | OK
72. der Drogendealer | drug dealer/pusher | OK
73. die Drossel | choke/throstle/throttle | IMPROVE: thrush; throttle - The bird sense thrush is common; the current gloss emphasizes technical senses.
74. das Druckbild | pressing idea | WRONG: print image/printed appearance - Druckbild refers to the appearance of print, not an idea.
75. das Druckverfahren | pressing action | WRONG: printing process - Druckverfahren means a printing process, not a pressing action.
76. der Druide | druid | OK
77. der Dübel | dowel/wall plug | OK
78. die Durchführbarkeit | feasibility | OK
79. das Durchgangslager | transit camp | OK
80. das Durchschnittseinkommen | average income | OK
81. der Durchschnittsverdienst | average earnings | OK
82. die Illustration | illustration | OK
