1. das Schauspiel | drama/play/playhouse | IMPROVE: drama/play — Playhouse is Schauspielhaus, while Schauspiel means drama or play.
2. die Sonnenenergie | solar energy/solar power | OK
3. die Sozialpolitik | social policy | OK
4. der Spätsommer | late summer | OK
5. die Speiseröhre | foodpipe/oesophagus | OK
6. die Abwägung | assessment/consideration/weighing up | OK
7. der Stadtrundgang | city walking tour | OK
8. das Standardwerk | standard act | WRONG: standard work/reference work — Standardwerk means an authoritative standard reference, not a standard act.
9. die Sternwarte | observatory | OK
10. das Naturschutzgebiet | nature reserve | OK
11. das Süße | something sweet/sweets | OK
12. der Tagebau | open-cast mining/open-pit mining/opencut mining | OK
13. die Tagesklinik | day hospital | OK
14. der Tätigkeitsbereich | activity area | IMPROVE: field of activity — The natural translation is field of activity; activity area is a calque.
15. die Textdatei | flatfile/text file | OK
16. die Trinkwasserversorgung | drinking water supply | OK
17. die Tuberkulose | tuberculosis | OK
18. der Umwelteinfluss | environmental impact | OK
19. der Autohersteller | automaker/automobile manufacturer/car manufacturer | OK
20. die Verhütung | contraception | OK
21. die Verjährung | laps of time/limitation of actions/prescription | IMPROVE: statute of limitations/limitation period — Verj?hrung is the legal limitation period; laps of time is not idiomatic.
22. die Verkürzung | abbreviation/abridgement/contraction | IMPROVE: shortening — The core meaning is shortening; abbreviation and abridgement are narrower cases.
23. der Verteiler | distributor | OK
24. die Völkerverständigung | understanding among nations | OK
25. die Wache | guard/police station/sentinel | OK
26. das Wählerverzeichnis | electoral register/electoral roll | OK
27. der Warnhinweis | warning/warning label | OK
28. die Sporthalle | gymnasium/sports hall | OK
29. der Weihnachtsmann | Father Christmas/Santa Claus/fathead | IMPROVE: Father Christmas/Santa Claus — Fathead is unrelated to Weihnachtsmann.
30. die Tochtergesellschaft | subsidiary/subsidiary company | OK
31. die Predigt | sermon | OK
32. der Workout | workout | OK
33. die Zensur | censorship/grade/mark | OK
34. die Zusatzversicherung | addition affirmation | WRONG: supplementary insurance/additional insurance — Zusatzversicherung means additional insurance, not addition affirmation.
35. das Abi | high-school diploma (Abitur, informal) | IMPROVE: Abitur/school-leaving qualification — Abi is the informal German Abitur, not simply a high-school diploma.
36. das Achtelfinale | last sixteen/round of sixteen | OK
37. der Ballon | balloon | OK
38. die Ader | artery/blood vessel/core | IMPROVE: vein/blood vessel — Ader primarily means vein; artery is Arterie.
39. die Akteurin | actress | IMPROVE: actor/participant (female) — Akteurin can mean an actor or stakeholder, not only an actress.
40. der Allradantrieb | all-wheel drive | OK
41. der Außenseiter | outsider | OK
42. die Bauchspeicheldrüse | pancreas | OK
43. das Benehmen | behaviour/conduct | OK
44. das Besteck | cutlery/flatware/silverware | OK
45. der Betriebswirt | business host | WRONG: business economist/business administrator — Betriebswirt is a business graduate/professional, not a business host.
46. der Bewegungsablauf | motion process/movement sequence | OK
47. die Bildungsstätte | educational institution | OK
48. die Unterbrechung | adjournment/break/interrupt | IMPROVE: interruption/break — Unterbrechung is interruption; interrupt is a verb.
49. die Braunkohle | brown coal/lignite | OK
50. das Bühnenbild | stage design | OK
51. die Programmiersprache | programming language | OK
52. der Camper | camper | OK
53. der Consultant | consultant | OK
54. das Crowdfunding | crowdfunding | OK
55. die Dienstzeit | working hours/length of service | OK
56. die Elektrode | electrode | OK
57. der Endpunkt | endpoint | OK
58. das Enkelkind | grandchild | OK
59. das Wehr | weir | OK
60. die Enteignung | expropriation | OK
61. die Entwicklungspolitik | development policy | OK
62. die Nominierung | nomination | OK
63. die Eskalation | escalation | OK
64. der Esstisch | dining-table | OK
65. die Fahrradtour | bicycle tour | OK
66. der Fahrzeugführer | driver | OK
67. die Fallstudie | case study | OK
68. die Faustregel | rule of thumb | OK
69. die Festanstellung | permanent position | OK
70. der Festsaal | banquet hall/festive hall | OK
71. der Festtag | festive day | OK
