1. der Ansturm | onslaught/rush | OK
2. der Antrittsbesuch | start footstep attendance | WRONG: inaugural visit - Antrittsbesuch is a first official visit after taking office.
3. der Aprilscherz | April Fool/April Fool's day gag/April Fool's day joke | IMPROVE: April Fool's joke - This is the standard learner gloss for an Aprilscherz.
4. der Äquator | equator | OK
5. die Arge | ARGE (joint working agency) | OK
6. die Gesundheitsministerin | health minister | OK
7. die Gewichtsabnahme | weight loss | OK
8. die Aufenthaltsgenehmigung | residence permit | OK
9. die Aufgeschlossenheit | open-mindedness | OK
10. die Aufrüstung | armament/upgrade | OK
11. das Aufsichtsratsmitglied | member of the supervisory board/non-executive director | OK
12. der Augenzeuge | eyewitness | OK
13. die Ausbildungsrichtung | education direction | IMPROVE: field of training/specialization - Ausbildungsrichtung means a training track or specialization, not a literal direction.
14. der Ausfluss | end flow | WRONG: outflow/discharge - Ausfluss means outflow or discharge, not end flow.
15. das Ausgangsmaterial | feedstock | IMPROVE: starting material/feedstock - Starting material is the broader primary gloss; feedstock is more technical.
16. die Ausgeglichenheit | even temper/mental balance | OK
17. das Badegewässer | bathing water/bathing waters/swimming waters | OK
18. die Baguette | French stick/baguette | OK
19. der Bandscheibenvorfall | prolapsed intervertebral disc | OK
20. das Bankett | banquet/hard shoulder | OK
21. das Barrel | barrel | OK
22. der Bastler | do-it-yourselfer/tinkerer | OK
23. der Baukredit | building credit | IMPROVE: construction loan/building loan - Baukredit is a loan for building, not idiomatic building credit.
24. der Baumwipfel | treetop | OK
25. die Behaglichkeit | comfort/comfortableness/cosiness | OK
26. der Behindertensport | sport | WRONG: disabled sport/adaptive sport - Behindertensport specifically means sport for disabled people.
27. die Bejagung | hunting (of game) | OK
28. der Benefit | benefit | OK
29. die Bergbahn | mountain railway/funicular | OK
30. die Beschulung | schooling | OK
31. die Beschwerdeführerin | complaint driver | WRONG: complainant/appellant - This is the woman filing a complaint or appeal.
32. der Bevölkerungsrückgang | population decline | OK
33. die Beweislast | burden of proof | OK
34. der Bildrand | idea edge | WRONG: edge of the picture/image border - Bildrand refers to the edge of an image, not an idea edge.
35. der Bildschirmrand | screen edge | OK
36. der Bindestrich | hyphen | OK
37. die Blasenentzündung | cystitis | OK
38. das Blaulicht | emergency flashing light/flashing lights | OK
39. der Blickkontakt | eye contact | OK
40. die Blockflöte | recorder | OK
41. die Böe | gust | OK
42. das Bohrloch | borehole/drill hole | OK
43. das Bollwerk | bastion/bulkhead/bulwark | OK
44. das Breitbandnetz | net | WRONG: broadband network - Breitbandnetz is specifically a broadband network.
45. der Buchmarkt | book market | OK
46. der Buddhist | Buddhist | OK
47. der Bundesfinanzhof | federal fiscal court | OK
48. die Büroarbeit | office work | OK
49. das Busunternehmen | bus company/bus operator | OK
50. das Cash | cash | OK
51. der Chemieunterricht | chemistry lessons | OK
52. der Chorleiter | choirmaster/choister | OK
53. das Datenfeld | array/data array/data field | OK
54. der Datentyp | data type | OK
55. das Diktat | dictate/dictation | IMPROVE: dictation - Diktat as a noun is best glossed as dictation.
56. die Dividendenrendite | dividend return | IMPROVE: dividend yield - Dividendenrendite is the standard finance term dividend yield.
57. die Doppelspitze | dual leadership | OK
58. das Druckerzeugnis | print product | IMPROVE: printed product/publication - Druckerzeugnis means a printed item, not the awkward print product.
59. das Editorial | editorial | OK
60. die Eichel | acorn/acorns/clitoral glans | OK
61. das Gigawatt | gigawatt | OK
62. das Einhalten | compliance/observance | OK
63. das Einkommensteuergesetz | Income Tax Act | OK
64. das Einstiegsgehalt | entrance content | WRONG: starting salary - Einstiegsgehalt means the salary at career entry.
65. die Einzugsermächtigung | debit authorisation | OK
66. die Eisbahn | ice rink | OK
67. die Eisenbahnstrecke | iron railroad track | WRONG: railway line - Eisenbahnstrecke is a railway line, not a literal iron railroad track.
68. der Elektrolyt | electrolyte | OK
69. der Endpreis | end price | IMPROVE: final price - Final price is the natural English gloss for Endpreis.
70. die Entschlüsselung | decipherment/decoding/decryption | OK
71. das Erholungsgebiet | recovery area | WRONG: recreation area - Erholungsgebiet is an area for recreation, not recovery in the medical sense.
72. die Ermittlungsbehörde | determining agency | WRONG: investigating authority - This is an authority that investigates.
73. die Ermutigung | encouragement | OK
74. der Eroberer | conqueror | OK
75. die Erregung | excitation | OK
76. der Erstligist | top-division team | OK
77. der Erwartungshorizont | anticipation horizon | IMPROVE: horizon of expectations - This is the established term for Erwartungshorizont.
78. die Eurovision | euro vision | WRONG: Eurovision - Eurovision is a proper name, not a literal euro vision.
79. die Exklusivität | exclusivity | OK
80. das Fabelwesen | mythical creature | OK
81. das Fabrikat | brand/make/product | OK
82. der Fahrersitz | driver's seat | OK
83. das Fahrgefühl | affection | WRONG: driving experience/feel - This means the feel or experience of driving.
84. der Fehlbetrag | deficit | OK
85. die Fensterscheibe | window pane | OK
86. die Ferienwoche | holiday week | OK
87. das Fertighaus | prefab/prefabricate house/prefabricated house | OK
88. der Fettgehalt | fat content | OK
89. der Filmpreis | film award | OK
90. die Filmtablette | film-coated tablet | OK
91. das Filmteam | film team | OK
92. der Fischfang | fishing | OK
93. das Fläschchen | small bottle/vial | OK
94. der Flop | flop | OK
95. das Floß | float/raft | OK
96. das Flugticket | flight ticket | OK
97. die Frechheit | brashness/cheek/impudence | OK
98. der Freitagvormittag | Friday forenoon | IMPROVE: Friday morning - Vormittag is normally morning; forenoon is rare learner-unfriendly English.
99. der Friedensnobelpreis | Nobel Peace Prize | OK
100. der Friseursalon | hairdressing salon | OK
101. der Frühlingsanfang | beginning of spring/start of spring | OK
102. der Frühstückstisch | breakfast table | OK
103. das Grinsen | grin | OK
104. die Fundgrube | gold mine/treasure trove | OK
105. die Fundsache | lost property | OK
106. das Fußballstadion | football stadium | OK
107. das Gameplay | gameplay | OK
108. das Gaspedal | accelerator/accelerator pedal/throttle control | OK
109. das Gefahrenpotenzial | danger potential | IMPROVE: hazard potential - Gefahrenpotenzial is better rendered as hazard or risk potential.
110. die Gefahrenquelle | danger fountain | WRONG: source of danger - Gefahrenquelle literally means a danger source.
111. das Gefilde | realm/domain | OK
112. das Geflecht | web/wicker | OK
113. das Gehöft | farm | OK
114. der Geisel | hostage | OK
115. die Gelbbauchunke | fire-bellied toad | WRONG: yellow-bellied toad - Gelbbauchunke is the yellow-bellied toad species.
116. der Gemeindeverband | municipality association | IMPROVE: association of municipalities - Gemeindeverband is an association or union of municipalities.
117. die Gemeinschaftsaufgabe | community abandonment | WRONG: joint task - Gemeinschaftsaufgabe means a shared or joint task.
118. das Gemeinschaftsgefühl | community affection | WRONG: sense of community - This means a communal feeling or sense of belonging.
119. die Geoinformatik | geoinformatics | OK
120. das Geschichtsbuch | history book | OK
121. das Großereignis | event | WRONG: major event - This is specifically a major event.
122. die Gesellschafterin | shareholder/companion (female) | OK
123. die Gestaltungsfreiheit | arrangement freedom | WRONG: creative freedom/freedom of design - Gestaltungsfreiheit is freedom to shape or design something.
124. die Gesundheitsbehörde | health department | OK
125. der Gesundheitssektor | health sector | OK
126. der Gewahrsam | arrest/custody/detention | OK
127. die Glasscheibe | pane of glas | IMPROVE: glass pane - The current gloss has a typo and glass pane is the natural phrase.
128. die Glasur | enamel/glaze/gloss | OK
129. der Glockenturm | belfry/bell tower | OK
130. die Grabung | excavation/dig | OK
131. das Grafikdesign | graphic design | OK
132. der Großkunde | client | WRONG: major customer/key account - This means a large or major customer, not just any client.
133. die Grundfreiheit | basis freedom | WRONG: fundamental freedom - Grundfreiheit is a legal/political fundamental freedom.
134. der Mordfall | homicide case/murder case | OK
135. das Hacken | hacking/chopping | OK
136. der Halbsatz | composition | WRONG: half sentence/clause - Halbsatz means a sentence fragment or clause, not composition.
137. die Musikwissenschaft | musicology | OK
138. die Handlungsweise | behaviour | OK
139. die Hauptuntersuchung | MOT/MOT test/Ministry of Transport test | OK
140. der Hautausschlag | rash/skin rash | OK
141. die Hautstelle | patch of skin | OK
142. die Hebebühne | lifting platform/lifting ramp | OK
143. die Herzklappe | cardiac valve/heart valve | OK
144. die Herzschwäche | heart flaw | WRONG: heart failure - This means cardiac insufficiency or heart failure.
145. die Hochkultur | advanced cultural | WRONG: high culture/advanced civilization - Hochkultur is a noun, not the adjective phrase advanced cultural.
146. das Hochmoor | high moor/moor/moorland | IMPROVE: raised bog - Hochmoor is normally called a raised bog in English.
147. der Hochschulrat | college advice | WRONG: university council - Hochschulrat is a university council, not college advice.
148. der Hochschulstandort | university location | OK
149. der Holländer | Brabander/Dutch rabbit/Hollander | IMPROVE: Dutchman - This primarily means a Dutch person; the current glosses are obscure.
150. der Holzbau | timber building | OK
151. der Holzeinschlag | timber element | WRONG: logging/timber harvesting - Holzeinschlag means cutting or harvesting timber.
152. die Holzkohle | charcoal | OK
153. das Holzpellet | wood pellet | OK
154. die Hunderasse | dog breed | OK
155. der Indexfonds | fist bond | WRONG: index fund - Indexfonds is an index fund, not a fist bond.
156. der Industriepark | industrial park/industry park | OK
157. die Inhaftierung | imprisonment/detention | OK
158. die Inselgruppe | archipelago | OK
159. die Intuition | intuition | OK
160. das Iren | irene | WRONG: Irish people/the Irish - Iren means Irish people, not the name Irene.
161. der Jagdschein | hunting licence | OK
162. die Muskelkraft | muscle force | IMPROVE: muscle strength - Muskelkraft is more naturally muscle strength.
163. das Jurastudium | law studies/study of law | OK
164. der Kammerchor | chamber choir | OK
165. der Kanadier | Canadian/Canadian canoe | OK
166. das Känguru | kangaroo/macropod | OK
167. die Gründerzeit | Gründerzeit | OK
168. die Kapuze | hood | OK
169. die Kehle | chamfer/throat | OK
170. der Kellerraum | basement room/cellar room | OK
171. das Keyboard | keyboard | OK
172. der Kinostart | cinema release | OK
173. der Kirchplatz | church square | OK
174. der Kiwi | kiwi | OK
175. die Klarinette | clarinet/clarionet | OK
176. der Klimaforscher | climatologist | OK
177. der Klinikaufenthalt | clinic delay | WRONG: hospital stay - Klinikaufenthalt means a stay in a clinic or hospital.
178. der Nachtrag | addendum/postscript | OK
179. das Koma | coma | OK
180. die Komik | comedy/humour | OK
181. die Kommerzialisierung | commercialisation | OK
182. der Nebenraum | region | WRONG: side room/adjoining room - Nebenraum is an adjoining or secondary room, not a region.
183. der Kommunikationspartner | communication partner | OK
184. das Kommunikationssystem | communication system | OK
185. der Konkurs | bankruptcy | OK
186. die Kraftanstrengung | force effort | WRONG: effort/exertion - Kraftanstrengung means a strenuous effort.
187. die Kreditwirtschaft | banking industry | OK
188. der Ausbruch | break-out/eruption/escape | OK
189. der Kunstschaffende | artist/creative professional | OK
190. die Lagerfläche | storage space | OK
191. die Landesfläche | country area | IMPROVE: land area - This means the area of a state or country.
192. der Lebensgefährte | companion/partner/significant other | OK
193. die Lebensgewohnheit | life habit | IMPROVE: habit/lifestyle habit - Lebensgewohnheit is a life habit, more naturally just habit.
194. die Legehenne | layer/laying hen | OK
195. die Lehrmethode | apprenticeship method | WRONG: teaching method - Lehrmethode is a method of teaching, not apprenticeship.
196. das Lehrwerk | textbook | OK
197. das Leitwort | motto/key word | OK
198. die Liebeserklärung | declaration of love | OK
199. die Elektromobilität | electromobility | OK
200. der Lieblingsplatz | favourite spot | OK
201. der Lieferwagen | box van/delivery truck/delivery van | OK
202. das Lipid | lipid | OK
203. die Lira | lira | OK
204. der Liveticker | ticker | IMPROVE: live ticker - Liveticker is a live ticker, not just any ticker.
205. die Lüftungsanlage | air handling system/ventilating system/ventilation facility | OK
206. die Notunterkunft | emergency shelter | OK
207. die Magnetresonanztomographie | magnetic resonance imaging | OK
208. die Männlichkeit | manliness | OK
209. das Markenrecht | march law | WRONG: trademark law - Markenrecht is law relating to brands/trademarks.
210. das Marktforschungsinstitut | market institute for scientific research | WRONG: market research institute - Marktforschungsinstitut is an institute for market research.
211. der Massentourismus | overtourism/tourism | IMPROVE: mass tourism - Massentourismus is mass tourism; overtourism is related but narrower.
212. der Matsch | mud/sludge/slush | OK
213. der Ortseingang | town entrance | OK
214. die Mehrzweckhalle | hall | WRONG: multi-purpose hall - Mehrzweckhalle is specifically a hall for multiple uses.
215. der Menschenaffe | great apes | IMPROVE: great ape - The German entry is singular, so great ape is the useful gloss.
216. die Mikrosystemtechnik | micro systems technology/microsystems technology | OK
217. die Minibar | bar | WRONG: minibar - Minibar means minibar, not a generic bar.
218. der Minusgrad | minus degree | OK
219. das Pack | rabble | OK
220. die Mitbürgerin | burgess | WRONG: fellow citizen - This is a female fellow citizen.
221. der Mod | mod | OK
222. der Modem | modem | OK
