1. die Blutuntersuchung | blood test | OK
2. die Bodenprobe | soil sample | OK
3. der Bordstein | curb/kerbstone/kerb | OK
4. die Borreliose | borreliosis | IMPROVE: Lyme disease/borreliosis - Lyme disease is the common learner-friendly name for Borreliose.
5. die Brache | fallow/fallow ground/fallow land | OK
6. die Brandgefahr | fire hazard | OK
7. die Brennerei | distillery | OK
8. das Kinderlexikon | child encyclopedia | IMPROVE: children's encyclopedia - The natural English compound is children's encyclopedia.
9. das Brillenglas | spectacles glass | WRONG: spectacle lens/eyeglass lens - Brillenglas is a lens for glasses, not spectacles glass.
10. die Brombeere | blackberry/boysenberry/bramble | WRONG: blackberry - Brombeere means blackberry; boysenberry is a different berry.
11. der Brotaufstrich | spread | OK
12. der Brückenschlag | backbend beat | WRONG: bridge-building/bridging - Br?ckenschlag means creating a bridge or connection, not a backbend beat.
13. das Bruttoeinkommen | gross income | OK
14. der Bundesaußenminister | Federal Minister of Foreign Affairs | OK
15. der Bundestagspräsident | Bundestag chairman | IMPROVE: President of the Bundestag - This is the established title, not a generic chairman.
16. die Bürgergesellschaft | civil society | OK
17. die Bürgermeisterwahl | mayor adoption | WRONG: mayoral election - B?rgermeisterwahl is an election for mayor, not an adoption.
18. das Bürgertum | bourgeoisie/middle class | OK
19. der Bürgerverein | association of citizens/citizen club/citizens' association | OK
20. das Büromaterial | stationery | IMPROVE: office supplies - B?romaterial is broader than stationery.
21. die Steuerklasse | tax bracket/tax class | OK
22. die Christuskirche | church | IMPROVE: Christ Church - The noun names a specific Christ Church, not just any church.
23. der Sticker | sticker | OK
24. der Couscous | couscous | OK
25. der Kleingarten | bran garden | WRONG: allotment garden - Kleingarten means an allotment garden, not bran garden.
26. der Strafraum | penalty area | OK
27. die Dampflok | steam loco | IMPROVE: steam locomotive - Steam locomotive is clearer and more standard than steam loco.
28. das Damwild | fallow deer | OK
29. der Datenklau | data theft | OK
30. die Dauerkarte | season ticket | OK
31. die Demontage | dismantling | OK
32. das Denkvermögen | assets | WRONG: thinking ability - Denkverm?gen means mental capacity, not assets.
33. das Dienstfahrzeug | company car/company vehicle/office car | OK
34. der Dinkel | spelt | OK
35. das Direktmandat | decree | WRONG: direct mandate - Direktmandat is an elected direct mandate, not a decree.
36. der Diskussionsbeitrag | discussion contribution | OK
37. die Dramaturgie | drama department/dramatic composition/dramaturgy | OK
38. die Druckerpatrone | cartridge/ink cartridge/print cartridge | OK
39. der Druckknopf | press stud/push-button/snap fastener | OK
40. die Druckluft | compressed air | OK
41. der Dünndarm | small intestine | OK
42. die Durchdringung | imbuing/penetration/permeation | OK
43. das Eckpunktepapier | corner document | WRONG: key issues paper - Eckpunktepapier is a policy paper outlining key points.
44. der Eigenverbrauch | own consumption | OK
45. das Eiland | island/isle/islet | OK
46. das Einfallstor | gateway/entry point | OK
47. das Einzelunternehmen | sole proprietorship/sole trader | OK
48. das Elektrofahrrad | electric bicycle | OK
49. die Emotionalität | emotionality | OK
50. die Endreinigung | end cleaner's | WRONG: final cleaning - Endreinigung means final cleaning, not end cleaner's.
51. die Entleerung | emptying/evacuation | OK
52. der Entsafter | juicer | OK
53. der Straftatbestand | criminal offence/statutory offence | OK
54. die Entwertung | cancellation/devaluation | OK
55. die Erblindung | blindness | OK
56. die Erbschaftsteuer | inheritance tax/estate tax | OK
57. der Erdrutsch | landslide/landslip | OK
58. das Erfahrungswissen | experience knowledge | IMPROVE: expertise/experiential knowledge - Erfahrungswissen is knowledge from experience, not a natural English compound.
59. die Erleuchtung | enlightenment | OK
60. die Ernährungsgewohnheit | food habit | IMPROVE: eating habits - Eating habits is the natural plural for Ern?hrungsgewohnheit.
61. der Ernährungswissenschaftler | nutritionist | OK
62. das Erntedankfest | harvest festival | OK
63. die Ersatzschule | replacement school | WRONG: private school/alternative school - Ersatzschule is a type of private alternative school, not a replacement school.
64. das Erz | ore | OK
65. der Estrich | attic/floor screed/screed | IMPROVE: screed - For learners, Estrich primarily means floor screed.
66. die Etagenwohnung | apartment/flat | OK
67. das Europarecht | law | IMPROVE: European law - Europarecht is specifically European law.
68. der Exkurs | digression | OK
69. der Exodus | Book of Exodus/Exodus | OK
70. der Exploit | exploit | OK
71. das Fachblatt | trade journal | OK
72. die Klimakrise | climate crisis | OK
73. der Fahrweg | method | WRONG: track/route - Fahrweg means a path, track, or route for travel, not method.
74. der Faschismus | fascism | OK
75. der Feldhamster | Black-bellied hamster/European hamster/common hamster | OK
76. der Fenchel | fennel | OK
77. der Fensterrahmen | window frame | OK
78. der Fernbus | long-distance bus/long-distance coach | OK
79. die Koalitionsverhandlung | coalition negotiation | OK
80. das Fertiggericht | TV dinner/convenience food/instant meal | OK
81. das Festgeld | term deposit/time deposit | OK
82. der Fetisch | fetish | OK
83. die Fettleibigkeit | adiposity/obesity | OK
84. der Feuerwerkskörper | firecracker/firework/pyrotechnic article | OK
85. die Filialbank | branch bank | OK
86. das Filialnetz | branch net | IMPROVE: branch network - Filialnetz means a network of branches.
87. die Firmenfeier | company celebration | OK
88. die Firmung | confirmation | OK
89. der Fischbestand | Pisces existence | WRONG: fish stock - Fischbestand means a fish population or stock.
90. das Tagesgeldkonto | instant access savings account | OK
91. der Flachbildfernseher | flat-screen TV | OK
92. das Taschenbuch | paperback/pocketbook | OK
93. der Fleischer | butcher | OK
94. das Fließband | assembly line/conveyor belt | OK
95. die Flurbereinigung | enclosure/land consolidation | OK
96. der Folgeantrag | follow-up application | OK
97. das Teleskop | telescope | OK
98. der Fressfeind | kisser enemy | WRONG: predator - Fressfeind means a natural predator.
99. der Friedensvertrag | peace treaty | OK
100. die Fruchtfliege | crop bow tie | WRONG: fruit fly - Fruchtfliege means fruit fly.
101. das Fruchtwasser | amniotic fluid/waters | OK
102. die Frühgeschichte | protohistory | IMPROVE: early history - Early history is the more useful learner gloss.
103. die Frühzeit | early days | OK
104. die Fußballerin | footballer (female) | OK
105. die Gardine | curtain | OK
106. der Gastprofessor | visiting professor | OK
107. die Gattin | wife | OK
108. der Gebrauchsgegenstand | implement/utensil | OK
109. der Gefährder | potential threat (security term) | OK
110. das Gefahrgut | danger estate | WRONG: dangerous goods - Gefahrgut means hazardous or dangerous goods.
111. die Geflügelpest | avian influenza/bird flu/fowl plague | OK
112. das Gefrierfach | freezer compartment | OK
113. die Gefühlswelt | emotional world | OK
114. der Gegenpol | opposite pole | OK
115. der Generaldirektor | general director | OK
116. der Generalist | all-rounder/generalist | OK
117. die Genesis | Book of Genesis/Genesis | OK
118. die Genitalverstümmelung | MGM/genital mutilation | OK
119. der Gepäckträger | luggage carrier/luggage rack/porter | OK
120. das Geschäftsleben | business life | OK
121. das Geschicklichkeitsspiel | dexterity game | OK
122. die Geschlechtergerechtigkeit | gender equality | OK
123. die Geschlechtsidentität | gender identity | OK
124. das Geschwisterkind | sibling | OK
125. die Gezeit | tide | OK
126. die Glastür | glass door | OK
127. das Glaubensbekenntnis | creed/statement of faith | OK
128. die GroKo | grand coalition (Große Koalition) | OK
129. die Großbaustelle | building ground | WRONG: major construction site - Gro?baustelle means a large construction site.
130. der Großeinsatz | large-scale operation | OK
131. der Kochtopf | cooking pot/pot | OK
132. die Grundfrage | basis issue | IMPROVE: basic question/fundamental question - Grundfrage is a basic or fundamental question.
133. das Gruppengespräch | group conversation | IMPROVE: group discussion - Gruppengespr?ch is usually a group discussion or interview.
134. der Gusto | taste/inclination | OK
135. die Gynäkologin | gynaecologist | OK
136. die Haarfarbe | hair colour | OK
137. der Halm | culm/stalk | OK
138. das Halteverbot | clearway/no standing at any time/stopping restriction | OK
139. die Handchirurgie | hand surgery | OK
140. das Handelsgesetzbuch | business code | WRONG: Commercial Code - Handelsgesetzbuch is the commercial code.
141. der Handelsplatz | emporium | IMPROVE: trading center/marketplace - Emporium is archaic; Handelsplatz means a trading center or marketplace.
142. die Handhabe | tangible evidence | WRONG: means/leverage - Handhabe means a handle, means, or legal leverage, not tangible evidence.
143. der Handzettel | hand note | WRONG: flyer/handout - Handzettel means a flyer or handout.
144. der Harn | urine | OK
145. die Hausärztin | family doctor (f.)/GP (f.) | OK
146. die Hautpflege | skin care | OK
147. der Heilungsprozess | cure lawsuit | WRONG: healing process - Heilungsprozess means healing process.
148. der Heimbewohner | asylum inhabitant | WRONG: care home resident - Heimbewohner is a resident of a home or care facility.
149. das Temperament | character/temper/temperament | OK
150. der Herpes | herpes | OK
151. der Herzschrittmacher | pacemaker | OK
152. die Hilfsaktion | relief action | OK
153. die Hinterbliebenenrente | annuity | WRONG: survivors' pension - Hinterbliebenenrente is a pension for surviving dependents.
154. die Hinwendung | idiom | WRONG: turning toward - Hinwendung means turning toward or devotion to something.
155. das Hoheitsgebiet | territory | OK
156. der Höhenzug | mountain range/range of hills | OK
157. die Hornisse | hornet | OK
158. die Hotelbar | hotel bar | OK
159. der Humanismus | humanism | OK
160. die Hypothek | mortgage | OK
161. die Identifikationsnummer | identification number/identifying number | OK
162. die Illustratorin | illustrator | OK
163. die Induktion | electromagnetic induction/induction/mathematical induction | OK
164. der Infizierte | infected person | OK
165. der Teufelskreis | vicious circle | OK
166. der Inserent | advertiser | OK
167. das Interessengebiet | area of interest | OK
168. der Internetdienst | Internet service | OK
169. die Invalidität | disability/invalidity | OK
170. die Irreführung | command | WRONG: misleading/deception - Irref?hrung means misleading or deception, not command.
171. das Isotop | isotope | OK
172. der Jackpot | jackpot/stake | OK
173. die Jahresgebühr | annual fee | OK
174. der Jahresüberschuss | net income for the year | OK
175. der Jemand | somebody | OK
176. das Joch | acre/ridge/yoke | OK
177. der Jogger | jogger | OK
178. das Kaleidoskop | kaleidoscope | OK
179. das Kammerorchester | chamber orchestra | OK
180. die Konfliktpartei | clash party | WRONG: party to a conflict - Konfliktpartei is a side or party in a conflict.
181. das Katasteramt | land register office | IMPROVE: cadastral office - Katasteramt is the cadastral office, not the land register office.
182. die Kegelbahn | skittle alley | OK
183. der Kelch | goblet | OK
184. der Kerle | blokes/guys | OK
185. die Kettensäge | chainsaw | OK
186. das Kinderauge | child eye | IMPROVE: child's eye - The possessive form is the natural English gloss.
187. die Kinderkrankheit | children's disease/children's illness/paediatric disease | OK
188. das Kinderlied | nursery rhyme | OK
189. der Kirchenraum | church interior/church space | OK
190. der Kit | kit | OK
191. der Kleinbuchstabe | minuscule/small letter | OK
192. das Kleingeld | change | OK
193. die Klimaveränderung | climate change | OK
194. der Klon | clone | OK
195. der Knackpunkt | crux | OK
196. der Knappe | knave | WRONG: squire - Knappe as a noun means a squire, not a knave.
197. der Kobold | kobold/sprite | OK
198. die Koexistenz | coexistence | OK
199. das Kohlenmonoxid | carbon monoxide | OK
200. die Kohorte | cohort | OK
201. die Konservierung | conservation/momification/mothballing | OK
202. das Kompendium | compendium | OK
203. die Tombola | raffle | OK
204. das Konservierungsmittel | conservation average | WRONG: preservative - Konservierungsmittel means preservative.
205. der Torwart | goal keeper/goalie/goalkeeper | OK
206. die Kontrollstelle | random checkpoint | IMPROVE: checkpoint/control point - Kontrollstelle is a control point or checkpoint, not necessarily random.
207. die Kopfverletzung | head injury | OK
208. das Kopfzerbrechen | headache | OK
209. der Körperbau | physique | OK
210. der Körperkontakt | body contact | OK
211. die Körperstelle | part of the body | OK
212. der Kraftakt | force act | WRONG: feat of strength - Kraftakt is a feat of strength or major effort.
213. das Krankenbett | bed | WRONG: hospital bed/sickbed - Krankenbett means a bed for a sick person or hospital bed.
214. der Krankenversicherte | health-insurance holder | OK
215. das Krankheitssymptom | disease symptom | OK
216. der Kreuzweg | crossroads/Way of the Cross | WRONG: Way of the Cross - Kreuzweg in this sense is the Way of the Cross, not crossroads.
217. der Kronprinz | crown prince | OK
218. das Küchenpapier | kitchen towel/paper towel | OK
219. das Kulturleben | cultural life | OK
220. das Kunstleder | artificial leather | OK
221. die Kurseinheit | course unit | OK
222. der Kursverlust | course loss | WRONG: price loss/loss in value - Kursverlust means a fall in price or exchange value.
223. der Kurzschluss | short circuit | OK
224. die Laboruntersuchung | lab analysis | OK
225. der Lagerplatz | storage area | OK
226. das Landen | landing | OK
227. die Länderei | properties | OK
228. das Landesarchiv | country archive | WRONG: state archive - Landesarchiv is a state or regional archive.
229. der Landeshaushalt | state budget | OK
230. die Landesliga | country league | WRONG: regional league/state league - Landesliga is a regional or state league, not a national league.
231. der Landweg | overland route | OK
232. der Laudator | laudator | OK
233. das Trainingsprogramm | exercise program/training program | OK
234. die Lawine | avalanche/landslide | OK
235. der Lebensabend | evening of life/eventide | IMPROVE: old age/later years - Lebensabend means one's later years, not just the literal evening of life.
236. die Lebenskraft | life force | OK
237. der Lebensmittelhandel | grocery trade | OK
238. der Lebensmut | life confidence | IMPROVE: courage to face life/zest for life - Lebensmut is courage or zest for life.
239. die Lebensperspektive | life perspective | OK
240. die Legasthenie | dyslexia | OK
241. der Lehm | loam | OK
242. die Lehranstalt | apprenticeship asylum | OK
243. der Leipziger | person from Leipzig | OK
244. die Leistungsbeschreibung | statement of work | OK
245. der Leistungssportler | competitive athlete | OK
246. die Leitplanke | crash barrier/guardrail | OK
247. der Lenkungsausschuss | steering board | IMPROVE: steering committee - Lenkungsausschuss is normally a steering committee.
248. die Lesart | construal/version | IMPROVE: reading/interpretation - Lesart means a reading or interpretation.
249. die Leuchtdiode | light emitting diode | OK
250. der Liebende | lover | OK
251. der Liquid | liquid/liquid consonant | OK
252. der Literaturhinweis | literature advice | WRONG: literature reference/bibliographic reference - Literaturhinweis is a reference to literature, not advice.
253. die Rückseite | back/reverse | OK
254. die Tribüne | stand | OK
255. der Löwenanteil | lion's share | OK
256. der Luftkurort | climatic health resort/health resort | OK
257. der Magier | magician | OK
258. der Mailserver | mail server | OK
259. das Marktpotenzial | market potential | OK
260. die Massenproduktion | mass production | OK
261. die Massentierhaltung | factory farming | OK
262. die Materialwirtschaft | material economics | WRONG: materials management - Materialwirtschaft means materials management.
263. die Meeresforschung | lake research | WRONG: marine research - Meeresforschung is research on seas and oceans.
264. die Meeresschildkröte | sea turtle/tortoise | OK
265. das Meinungsbild | intention idea | WRONG: opinion poll/snapshot of opinion - Meinungsbild means a picture or poll of opinions.
266. das Meldewesen | message being | WRONG: reporting system - Meldewesen means a reporting or registration system.
267. die Messestadt | expo centre | IMPROVE: trade fair city - Messestadt refers to a city known for trade fairs.
268. die Messlatte | expo bar | WRONG: measuring stick/benchmark - Messlatte means a measuring stick or figurative benchmark.
269. der Metal | metal | OK
270. das Metier | profession | OK
271. die Datenverarbeitung | data processing | OK
272. die Mikrobe | microbe | OK
273. der Mikrometer | micrometer/micrometre | OK
274. der Milchzahn | baby tooth/deciduous tooth/milk tooth | OK
275. der Mitautor | author | IMPROVE: co-author - Mitautor specifically means co-author.
276. der Mitherausgeber | anthologist | WRONG: co-editor - Mitherausgeber means co-editor, not anthologist.
277. der Mobilfunktarif | mobile communications pay scale | WRONG: mobile phone plan/mobile tariff - Mobilfunktarif is a mobile phone tariff or plan.
278. die Molkerei | dairy | OK
279. die Monographie | monograph/treatise | OK
280. das Morden | murdering/killing | OK
281. der Müllsack | garbage bag | OK
282. die Mumie | mummy | OK
283. der Kontur | contour/outline | OK
284. die Musikwiedergabe | music playback | OK
285. der Muskelkater | aching, sore muscles/muscle ache/muscle fever | OK
286. die Muße | leisure | OK
287. der Mutterkonzern | parent company | OK
288. der Muttermund | cervical os/cervix | OK
289. der Nachbarstaat | neighbouring state | OK
290. die Nachforschung | inquiry | OK
291. die Tutorin | tutor (female) | OK
292. die Nachnutzung | use | WRONG: subsequent use/reuse - Nachnutzung means later or subsequent use.
293. das Nadelholz | needle timber | WRONG: softwood/coniferous wood - Nadelholz means wood from conifers, usually softwood.
294. die Nahrungsmittelallergie | food allergy | OK
295. die Nationalhymne | national anthem | OK
296. die Nebenstraße | road | WRONG: side street - Nebenstra?e is a side street, not just any road.
297. die Neubauwohnung | new building accommodation | WRONG: new-build apartment - Neubauwohnung means an apartment in a new building.
298. das Neutrino | neutrino | OK
299. die Normalisierung | normalisation | OK
300. der Notfallplan | emergency plan | OK
301. die Nummerierung | numbering | OK
302. der Nutzungsart | type of use | OK
303. die Umweltbedingung | environmental condition/environmental factors | OK
304. der Onlinedienst | duty | WRONG: online service - Onlinedienst means online service.
305. der Oppositionelle | oppositionist | OK
306. die Orchestermusik | orchestra music | OK
307. die Organisatorin | organiser (female) | OK
308. der Orkan | hurricane/hurricane-force winds | OK
309. der Ornithologe | ornithologist | OK
310. die Orthese | orthosis/orthotic | OK
311. die Öse | cringle/eye/eyelet | OK
312. das Par | par | OK
313. die Umweltpolitik | environmental policy | OK
314. das Passbild | passport photo | OK
315. der Patzer | blunder/gaffe | OK
316. das Pedal | pedal/pedal keyboard | OK
317. die Pelletheizung | pellet heating | OK
318. die Verschwiegenheit | confidentiality/discretion | OK
319. die Personalberatung | personnel consulting/HR consulting | OK
320. die Pfandflasche | deposit bottle/returnable bottle | OK
321. das Pflichtenheft | functional specification/requirement specification/statement of work | OK
322. das Photon | photon | OK
323. die Physiologie | physiology | OK
324. die Pilzinfektion | fungus infection | IMPROVE: fungal infection - Fungal infection is the standard medical phrase.
325. die Verwahrung | deposit/indefinite detention | IMPROVE: safekeeping/custody - Verwahrung primarily means safekeeping or custody.
326. der Platzhalter | placeholder/wildcard | OK
327. der Plausch | chat/natter | OK
328. die Plazenta | placenta | OK
329. der Plot | plot | OK
330. die Pneumologie | pneumology | OK
331. die Pointe | punch line/punchline | OK
332. die Polizeiarbeit | police work | OK
333. der Pollenflug | pollen drift | IMPROVE: pollen count/airborne pollen - Pollenflug refers to pollen in the air, often reported as the pollen count.
334. die Viehzucht | livestock breeding | OK
335. das Polstermöbel | furniture | WRONG: upholstered furniture - Polsterm?bel means upholstered furniture, not furniture in general.
336. das Postamt | post office | OK
337. der Pott | jug/pot/tub | OK
338. die PR | PR | OK
339. die Präfektur | prefecture | OK
340. die Präzisierung | specification/refinement | OK
341. der Primat | primate | OK
342. das Privatvermögen | assets | OK
343. das Produktionsmittel | capital good | IMPROVE: means of production - Produktionsmittel is usually translated as means of production.
344. der Proviant | provisions for the road | OK
345. der Putsch | coup d'état/putsch | OK
346. die Putzfrau | cleaner/cleaning lady | OK
347. das Qualifying | qualifying | OK
348. das Qualitativ | qualitative aspect | OK
349. die Qualitätsverbesserung | code quality | WRONG: quality improvement - Qualit?tsverbesserung means quality improvement.
350. die Quellenangabe | fountain declaration | WRONG: source reference/citation - Quellenangabe means a source reference or citation.
351. das Quorum | quorum | OK
352. der Quotient | quotient/ratio | OK
353. die Raffinerie | refinery | OK
354. die Raffinesse | chimney | WRONG: sophistication/refinement - Raffinesse means sophistication or refinement.
355. die Randgruppe | fringe group | OK
356. die Ratifizierung | ratification | OK
357. die Raute | lozenge/rhomb/rhombus | OK
358. der Recruiter | recruiter | OK
359. der Reformationstag | Reformation Day | OK
360. die Rehaklinik | rehab clinic/rehabilitation clinic | OK
361. der Reiseantritt | start of a journey | OK
362. die Koralle | coral | OK
363. der Rekordwert | record value | OK
364. das Rektorat | advice | WRONG: rectorate - Rektorat means the rectorate or rector's office.
365. das Remake | remake | OK
366. der Rettungssanitäter | ambulance officer/paramedic | OK
367. der Riemen | oar/strap | OK
368. die Rippe | rib | OK
369. das Roaming | roaming | OK
370. die Römerzeit | Roman time | IMPROVE: Roman period/Roman times - R?merzeit means the Roman period or Roman times.
371. die Routineuntersuchung | routine check/routine check-up/routine examination | OK
372. die Ruhestätte | resting place | OK
373. die Savanne | savanna/savannah | OK
374. das Schachspiel | chess | OK
375. der Schaltschrank | cabinet | IMPROVE: switch cabinet/control cabinet - Schaltschrank is an electrical switch or control cabinet.
376. der Scheiß | shit | OK
377. der Schenkel | drumsticks/thigh | OK
378. das Korpus | corpus | OK
379. der Schichtdienst | shift work | OK
380. der Schlichter | mediator | OK
381. der Schlossberg | castle hill | OK
382. die Schmalspurbahn | narrow gauge railroad/narrow gauge railway | OK
383. die Schmetterlingsart | butterfly species | OK
384. das Schnarchen | snoring | OK
385. die Schneedecke | snow cover/snow layer/snow mantle | OK
386. die Vielfältigkeit | diversity | OK
387. der Volksentscheid | referendum | OK
388. der Schulpsychologe | school psychologist | OK
389. die Schwächung | weakening | OK
390. die Schwerelosigkeit | weightlessness | OK
391. der Seehafen | seaport | OK
392. die Seenot | distress at sea/maritime distress | OK
393. der Seminarteilnehmer | department participant | WRONG: seminar participant - Seminarteilnehmer means a seminar participant.
394. die Sicherheitsfrage | assurance issue | WRONG: security question - Sicherheitsfrage means security question.
395. der Siebdruck | screen-printing | OK
396. die Volkspartei | folk party | IMPROVE: people's party/mass party - Volkspartei is a broad-based people's or mass party.
397. der Skipper | captain/skipper | OK
398. der Slalom | slalom | OK
399. die Vorhand | hand | WRONG: forehand - Vorhand is the forehand in sports contexts.
400. die Sonderanfertigung | probe fabrication | WRONG: custom-made product/custom design - Sonderanfertigung is a custom-made item or custom design.
401. die Sonnenstrahlung | solar radiation | OK
402. der Soul | soul/soul music | OK
403. der Sozialist | socialist | OK
404. die Spätfolge | late consequence | OK
405. das Spätmittelalter | Late Middle Ages | OK
406. das Spatzen | sparrows | OK
407. das Sperrgebiet | restricted area | OK
408. der Spielbeginn | start of the game | OK
409. der Spielbereich | game area | OK
410. der Spielmannszug | marching band | OK
411. der Spitzensportler | top athlete | OK
412. die Vorsichtsmaßnahme | care action | WRONG: precautionary measure - Vorsichtsma?nahme means precautionary measure.
413. der Waldbestand | forest existence | WRONG: forest stand - Waldbestand means a forest stand or forest stock.
414. die Sprosse | crosspiece/prong/round | WRONG: rung/sprout - Sprosse can mean a ladder rung or a plant sprout; round is wrong.
415. die Spyware | spyware | OK
416. die Staatsverschuldung | government debt/public debt | OK
417. das Starkregenereignis | heavy rain event | OK
418. der Statistiker | statistician | OK
419. die Sterbeurkunde | death certificate | OK
420. die Steuerpflicht | tax liability | OK
421. die Stochastik | stochastics | OK
422. die Strafbarkeit | criminal liability/punishability | OK
423. der Strafzoll | fine customs | WRONG: penalty duty/punitive tariff - Strafzoll is a punitive customs duty or tariff.
424. der Stratege | strategist | OK
425. das Strategiespiel | strategy game | OK
426. die Wasserleitung | water conduit/water pipe | OK
427. der Stresstest | stress testing | OK
428. der Stromkunde | electricity customer | OK
429. die Stromquelle | current source | OK
430. der Wasserturm | water tower | OK
431. der Stunt | stunt | OK
432. die Stute | mare | OK
433. der Stuten | mares/sweet bread (regional) | WRONG: sweet bread - With der, Stuten is a regional sweet bread, not the plural mares.
434. der Sumpf | marsh/morass/swamp | OK
435. das Süßwasser | fresh water/freshwater/soft water | OK
436. die Tabellenspitze | top of the table | OK
437. der Weggefährte | companion/travel | IMPROVE: companion - Weggef?hrte means a companion, not travel by itself.
438. der Tätigkeitsschwerpunkt | activity centre of gravity | WRONG: focus of activity - T?tigkeitsschwerpunkt means a main area or focus of activity.
439. die Tätowierung | tattoo | OK
440. die Teilnehmerliste | attendee listing/list of attendees/list of participants | OK
441. der Telefonanruf | phone call/telephone call | OK
442. der Telefonanschluss | phone annexation | WRONG: telephone connection - Telefonanschluss means a telephone connection or line.
443. die Telefonseelsorge | telephone counseling/telephone helpline | OK
444. das Terabyte | terabyte | OK
445. der Terminplan | timetable | OK
446. das Weihnachtslied | carol | OK
447. das Textil | textile | OK
448. die Therapiemaßnahme | therapeutic measure | OK
449. der Thunfisch | tuna/tuna fish/tunny | OK
450. das Tiefland | lowland | OK
451. die Tierseuche | epizootic/epizootic disease | OK
452. der Tischkicker | foosball/table football/table soccer | OK
453. das Trainerteam | coach team | OK
454. das Treppchen | podium | OK
455. der Trüffel | truffle | OK
456. der Trumpf | trump card | OK
457. das Tumorgewebe | tumor fabric | WRONG: tumor tissue - Tumorgewebe means tumor tissue.
458. der Tümpel | pond/pool | OK
459. die Übersee | overseas | OK
