1. der Arbeitsminister | Secretary of Labour/Secretary of State for Employment | IMPROVE: labor minister/minister of labor - Current gloss is too country-specific for the general German title.
2. die Arbeitsministerin | labour minister/minister of labor (female) | OK
3. das Arbeitszeitgesetz | hours of work act | IMPROVE: Working Hours Act - This fixed legal term is more natural than literal "hours of work act."
4. der Armenier | Armenian | OK
5. die Artikelserie | article series | OK
6. die Artikulation | articulation | OK
7. die Artischocke | artichoke/globe artichoke | OK
8. das Ärzteteam | team of doctors | OK
9. der Asiate | Asian (person) | OK
10. die Atemübung | breathing exercise | OK
11. der Atlas | atlas; satin | OK
12. der Gorilla | gorilla | OK
13. die Aubergine | aubergine/eggplant | OK
14. das Auerhuhn | heather cock/western capercaillie/wood grouse | IMPROVE: western capercaillie - "Heather cock" is uncommon; western capercaillie is clearer for learners.
15. das Aufgebot | announcement/banns/banns of marriage | IMPROVE: contingent/lineup/banns - "Announcement" is too broad; Aufgebot often means a lineup or wedding banns.
16. die Auflockerung | easing | OK
17. die Aufräumarbeit | cleaning-up operation | OK
18. die Augenkrankheit | eye disease | OK
19. der Augenring | dark circle/eye-circle | OK
20. der Augenwinkel | corner of the eye | OK
21. die Ausbildungsphase | education phase | IMPROVE: training phase - Ausbildung is training or vocational education, not general education here.
22. der Gourmet | gourmet | OK
23. die Außenterrasse | patio | OK
24. die Außenwirtschaft | economics | WRONG: foreign trade - Au?enwirtschaft means external trade or economic relations, not economics in general.
25. die Äußerlichkeit | outward appearance/triviality | OK
26. die Autorenlesung | author reading | OK
27. das Autorennen | motor race | OK
28. die Autorisierung | authorisation | OK
29. die Babynahrung | baby food | OK
30. die Backstage | backstage | OK
31. die Graduiertenschule | school | WRONG: graduate school - Current "school" omits the specific postgraduate meaning.
32. die Bandage | bandage | OK
33. das Bankensystem | banking system | OK
34. das Barbecue | barbecue | OK
35. der Barfußpfad | pathway | WRONG: barefoot path - Current "pathway" omits the defining barefoot-use meaning.
36. das Basiskonto | base account | WRONG: basic account - Basiskonto is the banking term for a basic account.
